Formula for Index,Index,conceptId,Primary Source,conceptId,Secondary Source,conceptId,Source Question,GridID/Source Question Name,"Deprecated, New, or Revised","Date Deprecated, New, or Revised Variable Pushed to Prod",conceptId,Question Text- v1,Revised Question Text,Variable Label,Variable Name,Connect Value for Select all that apply questions - Surveys Only,Variable Type,Variable Length,conceptId,Format/Value - r0,Revised Format/Value,Required,PII,Notes,Derivation Notes,Dictionary,State Attribute,Default Variable,Date added or modified,Question Type,IMS Review Notes
1713,1713,129084651,Survey,726699695,Background and Overall Health,317093647,Mother - How old was your mother when they were first told by a doctor or other health professional that they have or had esophageal cancer?,MOMCANC3G,,,206625031,Age at diagnosis,,Mom esophageal cancer age,SrvBOH_MomEsCancAge_v1r0,MOMCANC3G_AGE,Num,3,,N/A,,No,No,Connect Format/Values - Only display if MOMCANC2= 6,,,,,9/28/21,"Or (xor=) Question (either/or text boxes without radio button), Loops"
1714,1714,129084651,Survey,726699695,Background and Overall Health,317093647,Mother - How old was your mother when they were first told by a doctor or other health professional that they have or had esophageal cancer?,MOMCANC3G,,,261863326,Year at diagnosis,,Mom esophageal cancer year,SrvBOH_MomEsCancYr_v1r0,MOMCANC3G_YEAR,Year,4,,N/A,,No,No,Connect Format/Values - Only display if MOMCANC2= 6,,,,,9/28/21,"Or (xor=) Question (either/or text boxes without radio button), Loops"
1715,1715,129084651,Survey,726699695,Background and Overall Health,684692228,"Mother - How old was your mother when they were first told by a doctor or other health professional that they have or had Head and neck (Including cancers of the mouth, sinuses, nose, or throat. Not including brain or skin cancers.) cancer?",MOMCANC3H,,,206625031,Age at diagnosis,,"Mom Head and neck (Including cancers of the mouth, sinuses, nose, or throat. Not including brain or skin cancers.) cancer age",SrvBOH_MomHNCancAge_v1r0,MOMCANC3H_AGE,Num,3,,N/A,,No,No,Connect Format/Values - Only display if MOMCANC2= 7,,,,,9/28/21,"Or (xor=) Question (either/or text boxes without radio button), Loops"
1716,1716,129084651,Survey,726699695,Background and Overall Health,684692228,"Mother - How old was your mother when they were first told by a doctor or other health professional that they have or had Head and neck (Including cancers of the mouth, sinuses, nose, or throat. Not including brain or skin cancers.) cancer?",MOMCANC3H,,,261863326,Year at diagnosis,,"Mom Head and neck (Including cancers of the mouth, sinuses, nose, or throat. Not including brain or skin cancers.) cancer year",SrvBOH_MomHNCancYr_v1r0,MOMCANC3H_YEAR,Year,4,,N/A,,No,No,Connect Format/Values - Only display if MOMCANC2= 7,,,,,9/28/21,"Or (xor=) Question (either/or text boxes without radio button), Loops"
1717,1717,129084651,Survey,726699695,Background and Overall Health,671347092,Mother - How old was your mother when they were first told by a doctor or other health professional that they have or had kidney cancer?,MOMCANC3I,,,206625031,Age at diagnosis,,Mom kidney cancer age,SrvBOH_MomKidnCancAge_v1r0,MOMCANC3I_AGE,Num,3,,N/A,,No,No,Connect Format/Values - Only display if MOMCANC2= 8,,,,,9/28/21,"Or (xor=) Question (either/or text boxes without radio button), Loops"
1718,1718,129084651,Survey,726699695,Background and Overall Health,671347092,Mother - How old was your mother when they were first told by a doctor or other health professional that they have or had kidney cancer?,MOMCANC3I,,,261863326,Year at diagnosis,,Mom kidney cancer year,SrvBOH_MomKidnCancYr_v1r0,MOMCANC3I_YEAR,Year,4,,N/A,,No,No,Connect Format/Values - Only display if MOMCANC2= 8,,,,,9/28/21,"Or (xor=) Question (either/or text boxes without radio button), Loops"
1719,1719,129084651,Survey,726699695,Background and Overall Health,875221479,Mother - How old was your mother when they were first told by a doctor or other health professional that they have or had Leukemia (blood and bone marrow) cancer?,MOMCANC3J,,,206625031,Age at diagnosis,,Mom Leukemia (blood and bone marrow) cancer age,SrvBOH_MomLeukAge_v1r0,MOMCANC3J_AGE,Num,3,,N/A,,No,No,Connect Format/Values - Only display if MOMCANC2= 9,,,,,9/28/21,"Or (xor=) Question (either/or text boxes without radio button), Loops"
1720,1720,129084651,Survey,726699695,Background and Overall Health,875221479,Mother - How old was your mother when they were first told by a doctor or other health professional that they have or had Leukemia (blood and bone marrow) cancer?,MOMCANC3J,,,261863326,Year at diagnosis,,Mom Leukemia (blood and bone marrow) cancer year,SrvBOH_MomLeukYr_v1r0,MOMCANC3J_YEAR,Year,4,,N/A,,No,No,Connect Format/Values - Only display if MOMCANC2= 9,,,,,9/28/21,"Or (xor=) Question (either/or text boxes without radio button), Loops"
1721,1721,129084651,Survey,726699695,Background and Overall Health,186170949,Mother - How old was your mother when they were first told by a doctor or other health professional that they have or had Liver cancer?,MOMCANC3K,,,206625031,Age at diagnosis,,Mom Liver cancer age,SrvBOH_MomLivCancAge_v1r0,MOMCANC3K_AGE,Num,3,,N/A,,No,No,Connect Format/Values - Only display if MOMCANC2= 10,,,,,9/28/21,"Or (xor=) Question (either/or text boxes without radio button), Loops"
1722,1722,129084651,Survey,726699695,Background and Overall Health,186170949,Mother - How old was your mother when they were first told by a doctor or other health professional that they have or had Liver cancer?,MOMCANC3K,,,261863326,Year at diagnosis,,Mom Liver cancer year,SrvBOH_MomLivCancYr_v1r0,MOMCANC3K_YEAR,Year,4,,N/A,,No,No,Connect Format/Values - Only display if MOMCANC2= 10,,,,,9/28/21,"Or (xor=) Question (either/or text boxes without radio button), Loops"
1723,1723,129084651,Survey,726699695,Background and Overall Health,726451917,Mother - How old was your mother when they were first told by a doctor or other health professional that they have or had Lung or bronchial cancer?,MOMCANC3L,,,206625031,Age at diagnosis,,Mom Lung or bronchial cancer age,SrvBOH_MomLungCancAge_v1r0,MOMCANC3L_AGE,Num,3,,N/A,,No,No,Connect Format/Values - Only display if MOMCANC2= 11,,,,,9/28/21,"Or (xor=) Question (either/or text boxes without radio button), Loops"
1724,1724,129084651,Survey,726699695,Background and Overall Health,726451917,Mother - How old was your mother when they were first told by a doctor or other health professional that they have or had Lung or bronchial cancer?,MOMCANC3L,,,261863326,Year at diagnosis,,Mom Lung or bronchial cancer year,SrvBOH_MomLungCancYr_v1r0,MOMCANC3L_YEAR,Year,4,,N/A,,No,No,Connect Format/Values - Only display if MOMCANC2= 11,,,,,9/28/21,"Or (xor=) Question (either/or text boxes without radio button), Loops"
1725,1725,129084651,Survey,726699695,Background and Overall Health,213545903,Mother - How old was your mother when they were first told by a doctor or other health professional that they have or had Non-Hodgkin's lymphoma cancer?,MOMCANC3M,,,206625031,Age at diagnosis,,Mom Non-Hodgkin's lymphoma cancer age,SrvBOH_MomNHLympAge_v1r0,MOMCANC3M_AGE,Num,3,,N/A,,No,No,Connect Format/Values - Only display if MOMCANC2= 12,,,,,9/28/21,"Or (xor=) Question (either/or text boxes without radio button), Loops"
1726,1726,129084651,Survey,726699695,Background and Overall Health,213545903,Mother - How old was your mother when they were first told by a doctor or other health professional that they have or had Non-Hodgkin's lymphoma cancer?,MOMCANC3M,,,261863326,Year at diagnosis,,Mom Non-Hodgkin's lymphoma cancer year,SrvBOH_MomNHLympYr_v1r0,MOMCANC3M_YEAR,Year,4,,N/A,,No,No,Connect Format/Values - Only display if MOMCANC2= 12,,,,,9/28/21,"Or (xor=) Question (either/or text boxes without radio button), Loops"
1727,1727,129084651,Survey,726699695,Background and Overall Health,765903702,Mother - How old was your mother when they were first told by a doctor or other health professional that they have or had Lymphoma cancer?,MOMCANC3N,,,206625031,Age at diagnosis,,Mom Lymphoma cancer age,SrvBOH_MomLympAge_v1r0,MOMCANC3N_AGE,Num,3,,N/A,,No,No,Connect Format/Values - Only display if MOMCANC2= 13,,,,,9/28/21,"Or (xor=) Question (either/or text boxes without radio button), Loops"
1728,1728,129084651,Survey,726699695,Background and Overall Health,765903702,Mother - How old was your mother when they were first told by a doctor or other health professional that they have or had Lymphoma cancer?,MOMCANC3N,,,261863326,Year at diagnosis,,Mom Lymphoma cancer year,SrvBOH_MomLympYr_v1r0,MOMCANC3N_YEAR,Year,4,,N/A,,No,No,Connect Format/Values - Only display if MOMCANC2= 13,,,,,9/28/21,"Or (xor=) Question (either/or text boxes without radio button), Loops"
1729,1729,129084651,Survey,726699695,Background and Overall Health,773974223,Mother - How old was your mother when they were first told by a doctor or other health professional that they have or had Melanoma (skin) cancer?,MOMCANC3O,,,206625031,Age at diagnosis,,Mom Melanoma (skin) cancer age,SrvBOH_MomMelanomaAge_v1r0,MOMCANC3O_AGE,Num,3,,N/A,,No,No,Connect Format/Values - Only display if MOMCANC2= 14,,,,,9/28/21,"Or (xor=) Question (either/or text boxes without radio button), Loops"
1730,1730,129084651,Survey,726699695,Background and Overall Health,773974223,Mother - How old was your mother when they were first told by a doctor or other health professional that they have or had Melanoma (skin) cancer?,MOMCANC3O,,,261863326,Year at diagnosis,,Mom Melanoma (skin) cancer year,SrvBOH_MomMelanomaYr_v1r0,MOMCANC3O_YEAR,Year,4,,N/A,,No,No,Connect Format/Values - Only display if MOMCANC2= 14,,,,,9/28/21,"Or (xor=) Question (either/or text boxes without radio button), Loops"
1731,1731,129084651,Survey,726699695,Background and Overall Health,433604862,Mother - How old was your mother when they were first told by a doctor or other health professional that they have or had Non-melanoma skin (basal or squamous) cancer?,MOMCANC3P,,,206625031,Age at diagnosis,,Mom Non-melanoma skin (basal or squamous) cancer age,SrvBOH_MomNMSkCancAge_v1r0,MOMCANC3P_AGE,Num,3,,N/A,,No,No,Connect Format/Values - Only display if MOMCANC2= 15,,,,,9/28/21,"Or (xor=) Question (either/or text boxes without radio button), Loops"
1732,1732,129084651,Survey,726699695,Background and Overall Health,433604862,Mother - How old was your mother when they were first told by a doctor or other health professional that they have or had Non-melanoma skin (basal or squamous) cancer?,MOMCANC3P,,,261863326,Year at diagnosis,,Mom Non-melanoma skin (basal or squamous) cancer year,SrvBOH_MomNMSkCancYr_v1r0,MOMCANC3P_YEAR,Year,4,,N/A,,No,No,Connect Format/Values - Only display if MOMCANC2= 15,,,,,9/28/21,"Or (xor=) Question (either/or text boxes without radio button), Loops"
1733,1733,129084651,Survey,726699695,Background and Overall Health,521369040,Mother - How old was your mother when they were first told by a doctor or other health professional that they have or had Ovarian cancer?,MOMCANC3Q,,,206625031,Age at diagnosis,,Mom Ovarian cancer age,SrvBOH_MomOvaCancAge_v1r0,MOMCANC3Q_AGE,Num,3,,N/A,,No,No,Connect Format/Values - Only display if MOMCANC2= 16,,,,,9/28/21,"Or (xor=) Question (either/or text boxes without radio button), Loops"
1734,1734,129084651,Survey,726699695,Background and Overall Health,521369040,Mother - How old was your mother when they were first told by a doctor or other health professional that they have or had Ovarian cancer?,MOMCANC3Q,,,261863326,Year at diagnosis,,Mom Ovarian cancer year,SrvBOH_MomOvaCancYr_v1r0,MOMCANC3Q_YEAR,Year,4,,N/A,,No,No,Connect Format/Values - Only display if MOMCANC2= 16,,,,,9/28/21,"Or (xor=) Question (either/or text boxes without radio button), Loops"
1735,1735,129084651,Survey,726699695,Background and Overall Health,497311092,Mother - How old was your mother when they were first told by a doctor or other health professional that they have or had Pancreatic cancer?,MOMCANC3R,,,206625031,Age at diagnosis,,Mom Pancreatic cancer age,SrvBOH_MomPanCancAge_v1r0,MOMCANC3R_AGE,Num,3,,N/A,,No,No,Connect Format/Values - Only display if MOMCANC2= 17,,,,,9/28/21,"Or (xor=) Question (either/or text boxes without radio button), Loops"
1736,1736,129084651,Survey,726699695,Background and Overall Health,497311092,Mother - How old was your mother when they were first told by a doctor or other health professional that they have or had Pancreatic cancer?,MOMCANC3R,,,261863326,Year at diagnosis,,Mom Pancreatic cancer year,SrvBOH_MomPanCancYr_v1r0,MOMCANC3R_YEAR,Year,4,,N/A,,No,No,Connect Format/Values - Only display if MOMCANC2= 17,,,,,9/28/21,"Or (xor=) Question (either/or text boxes without radio button), Loops"
1737,1737,129084651,Survey,726699695,Background and Overall Health,625249910,Mother - How old was your mother when they were first told by a doctor or other health professional that they have or had Stomach cancer?,MOMCANC3S,,,206625031,Age at diagnosis,,Mom Stomach cancer age,SrvBOH_MomStomCancAge_v1r0,MOMCANC3S_AGE,Num,3,,N/A,,No,No,Connect Format/Values - Only display if MOMCANC2= 18,,,,,9/28/21,"Or (xor=) Question (either/or text boxes without radio button), Loops"
1738,1738,129084651,Survey,726699695,Background and Overall Health,625249910,Mother - How old was your mother when they were first told by a doctor or other health professional that they have or had Stomach cancer?,MOMCANC3S,,,261863326,Year at diagnosis,,Mom Stomach cancer year,SrvBOH_MomStomCancYr_v1r0,MOMCANC3S_YEAR,Year,4,,N/A,,No,No,Connect Format/Values - Only display if MOMCANC2= 18,,,,,9/28/21,"Or (xor=) Question (either/or text boxes without radio button), Loops"
1739,1739,129084651,Survey,726699695,Background and Overall Health,838564850,Mother - How old was your mother when they were first told by a doctor or other health professional that they have or had Thyroid cancer?,MOMCANC3T,,,206625031,Age at diagnosis,,Mom Thyroid cancer age,SrvBOH_MomThyCancAge_v1r0,MOMCANC3T_AGE,Num,3,,N/A,,No,No,Connect Format/Values - Only display if MOMCANC2= 19,,,,,9/28/21,"Or (xor=) Question (either/or text boxes without radio button), Loops"
1740,1740,129084651,Survey,726699695,Background and Overall Health,838564850,Mother - How old was your mother when they were first told by a doctor or other health professional that they have or had Thyroid cancer?,MOMCANC3T,,,261863326,Year at diagnosis,,Mom Thyroid cancer year,SrvBOH_MomThyCancYr_v1r0,MOMCANC3T_YEAR,Year,4,,N/A,,No,No,Connect Format/Values - Only display if MOMCANC2= 19,,,,,9/28/21,"Or (xor=) Question (either/or text boxes without radio button), Loops"
1741,1741,129084651,Survey,726699695,Background and Overall Health,633764113,Mother - How old was your mother when they were first told by a doctor or other health professional that they have or had Uterine (endometrial) cancer?,MOMCANC3U,,,206625031,Age at diagnosis,,Mom Uterine (endometrial) cancer age,SrvBOH_MomUtCancAge_v1r0,MOMCANC3U_AGE,Num,3,,N/A,,No,No,Connect Format/Values - Only display if MOMCANC2= 20,,,,,9/28/21,"Or (xor=) Question (either/or text boxes without radio button), Loops"
1742,1742,129084651,Survey,726699695,Background and Overall Health,633764113,Mother - How old was your mother when they were first told by a doctor or other health professional that they have or had Uterine (endometrial) cancer?,MOMCANC3U,,,261863326,Year at diagnosis,,Mom Uterine (endometrial) cancer year,SrvBOH_MomUtCancYr_v1r0,MOMCANC3U_YEAR,Year,4,,N/A,,No,No,Connect Format/Values - Only display if MOMCANC2= 20,,,,,9/28/21,"Or (xor=) Question (either/or text boxes without radio button), Loops"
1743,1743,129084651,Survey,726699695,Background and Overall Health,882263738,Mother - How old was your mother when they were first told by a doctor or other health professional that they have or had response from MOMCANC2/another type of cancer?,MOMCANC3V,,,206625031,Age at diagnosis,,Mom response from MOMCANC2/another type of cancer age,SrvBOH_MomOtherCancAge_v1r0,MOMCANC3V_AGE,Num,3,,N/A,,No,No,Connect Format/Values - Only display if MOMCANC2= 21,,,,,9/28/21,"Or (xor=) Question (either/or text boxes without radio button), Loops"
1744,1744,129084651,Survey,726699695,Background and Overall Health,882263738,Mother - How old was your mother when they were first told by a doctor or other health professional that they have or had response from MOMCANC2/another type of cancer?,MOMCANC3V,,,261863326,Year at diagnosis,,Mom response from MOMCANC2/another type of cancer year,SrvBOH_MomOtherCancYr_v1r0,MOMCANC3V_YEAR,Year,4,,N/A,,No,No,Connect Format/Values - Only display if MOMCANC2= 21,,,,,9/28/21,"Or (xor=) Question (either/or text boxes without radio button), Loops"
1745,1745,129084651,Survey,726699695,Background and Overall Health,671308090,Mother - How old was your mother when they were first told by a doctor or other health professional that they have or had cancer?,MOMCANC3W,,,206625031,Age at diagnosis,,Mom cancer age,SrvBOH_MomCancerAge_v1r0,MOMCANC3W_AGE,Num,3,,N/A,,No,No,Connect Format/Values - Only display if MOMCANC2= 22,,,,,9/28/21,"Or (xor=) Question (either/or text boxes without radio button), Loops"
1746,1746,129084651,Survey,726699695,Background and Overall Health,671308090,Mother - How old was your mother when they were first told by a doctor or other health professional that they have or had cancer?,MOMCANC3W,,,261863326,Year at diagnosis,,Mom cancer year,SrvBOH_MomCancerYr_v1r0,MOMCANC3W_YEAR,Year,4,,N/A,,No,No,Connect Format/Values - Only display if MOMCANC2= 22,,,,,9/28/21,"Or (xor=) Question (either/or text boxes without radio button), Loops"
1747,1747,129084651,Survey,726699695,Background and Overall Health,,,,,,367374606,Is your biological father still living?,,Dad living,SrvBOH_DadLiving_v1r0,DAD,Num,2,104430631,0=No,,No,No,,,,,,,Optional Multiple Choice,
1748,1748,,,,,,,,,,,,,,,,,,353358909,1 =Yes,,,,,,,,,,,
1749,1749,,,,,,,,,,,,,,,,,,178420302,77 = Unavailable/Unknown,,,,,,,,,6/24/21,,
1750,1750,129084651,Survey,726699695,Background and Overall Health,178774803,How old is your father today?,DADAGE,,,178774803,How old is your father today?,,father age,SrvBOH_DadAge_v1r0,DADAGE,Num,2,178420302,77 = Unavailable/Unknown,,No,No,,,,,,8/23/21,Text Box Plus Check Box,
1751,1751,129084651,Survey,726699695,Background and Overall Health,178774803,How old is your father today?,DADAGE,,,334956961,"How old is your father today?, Number",,"father age, number",SrvBOH_DadAgeNum_v1r0,DAD_AGE,Num,3,,N/A,,No,No,,,,,,9/14/21,Text Box Plus Check Box,
1752,1752,129084651,Survey,726699695,Background and Overall Health,628078826,At what age did your father die?,DADDEATH,,,628078826,At what age did your father die?,,father age at death,SrvBOH_DadAgeDeath_v1r0,DADDEATH,Num,2,178420302,77 = Unavailable/Unknown,,No,No,,,,,,8/23/21,Text Box Plus Check Box,
1753,1753,129084651,Survey,726699695,Background and Overall Health,628078826,At what age did your father die?,DADDEATH,,,517670352,"At what age did your father die?, Number",,"father age at death, number",SrvBOH_DadAgeDeathNum_v1r0,DADDEATH_num,Num,3,,N/A,,No,No,,,,,,9/14/21,Text Box Plus Check Box,
1754,1754,129084651,Survey,726699695,Background and Overall Health,,,,,,659784914,"[If Dad=01] Has a doctor or other health professional ever said that your father has or had any type of cancer? [If Dad=00, 77, NON-RESPONSE] Did a doctor or other health professional ever say that your father had any type of cancer?",,Dad living,SrvBOH_DadCanc_v1r0,DADCANC,Num,2,104430631,0=No,,No,No,,,,,,,Optional Multiple Choice,
1755,1755,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,
1756,1756,,,,,,,,,,,,,,,,,,178420302,77 = Unavailable/Unknown,,,,,,,,,6/24/21,,
1757,1757,129084651,Survey,726699695,Background and Overall Health,173240848,Father- Which type(s) of cancer? Select all that apply.,DADCANC2,,,939782495,Anal,,Anal,SrvBOH_DAnalCancer_v1r0,0,Num,1,104430631,0=No,,No,No,,,,,,,Optional Select All that Apply,
1758,1758,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,
1759,1759,129084651,Survey,726699695,Background and Overall Health,173240848,Father- Which type(s) of cancer? Select all that apply.,DADCANC2,,,135725957,Bladder,,Bladder,SrvBOH_DBladderCancer_v1r0,1,Num,1,104430631,0=No,,No,No,,,,,,,Optional Select All that Apply,
1760,1760,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,
1761,1761,129084651,Survey,726699695,Background and Overall Health,173240848,Father- Which type(s) of cancer? Select all that apply.,DADCANC2,,,518416174,Brain,,Brain,SrvBOH_DBrainCancer_v1r0,2,Num,1,104430631,0=No,,No,No,,,,,,,Optional Select All that Apply,
1762,1762,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,
1763,1763,129084651,Survey,726699695,Background and Overall Health,173240848,Father- Which type(s) of cancer? Select all that apply.,DADCANC2,,,847945207,Breast,,Breast,SrvBOH_DBreastCancer_v1r0,3,Num,1,104430631,0=No,,No,No,,,,,,,Optional Select All that Apply,
1764,1764,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,
1765,1765,129084651,Survey,726699695,Background and Overall Health,173240848,Father- Which type(s) of cancer? Select all that apply.,DADCANC2,,,942970912,Colon/rectal,,Colon/rectal,SrvBOH_DColonCancer_v1r0,4,Num,1,104430631,0=No,,No,No,,,,,,,Optional Select All that Apply,
1766,1766,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,
1767,1767,129084651,Survey,726699695,Background and Overall Health,173240848,Father- Which type(s) of cancer? Select all that apply.,DADCANC2,,,596122041,Esophageal,,Esophageal,SrvBOH_DEsophagealCanc_v1r0,5,Num,1,104430631,0=No,,No,No,,,,,,,Optional Select All that Apply,
1768,1768,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,
1769,1769,129084651,Survey,726699695,Background and Overall Health,173240848,Father- Which type(s) of cancer? Select all that apply.,DADCANC2,,,489400183,"Head and neck (Including cancers of the mouth, sinuses, nose, or throat. Not including brain or skin cancers.)",,"Head and neck (Including cancers of the mouth, sinuses, nose, or throat. Not including brain or skin cancers.)",SrvBOH_DHNCancer_v1r0,6,Num,1,104430631,0=No,,No,No,,,,,,,Optional Select All that Apply,
1770,1770,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,
1771,1771,129084651,Survey,726699695,Background and Overall Health,173240848,Father- Which type(s) of cancer? Select all that apply.,DADCANC2,,,863246236,Kidney,,Kidney,SrvBOH_DKidneyCancer_v1r0,7,Num,1,104430631,0=No,,No,No,,,,,,,Optional Select All that Apply,
1772,1772,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,
1773,1773,129084651,Survey,726699695,Background and Overall Health,173240848,Father- Which type(s) of cancer? Select all that apply.,DADCANC2,,,607793249,Leukemia (blood and bone marrow),,Leukemia (blood and bone marrow),SrvBOH_DLeukemia_v1r0,8,Num,1,104430631,0=No,,No,No,,,,,,,Optional Select All that Apply,
1774,1774,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,
1775,1775,129084651,Survey,726699695,Background and Overall Health,173240848,Father- Which type(s) of cancer? Select all that apply.,DADCANC2,,,532172400,Liver,,Liver,SrvBOH_DLiverCancer_v1r0,9,Num,1,104430631,0=No,,No,No,,,,,,,Optional Select All that Apply,
1776,1776,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,
1777,1777,129084651,Survey,726699695,Background and Overall Health,173240848,Father- Which type(s) of cancer? Select all that apply.,DADCANC2,,,754745617,Lung or bronchial,,Lung or bronchial,SrvBOH_DLungCancer_v1r0,10,Num,1,104430631,0=No,,No,No,,,,,,,Optional Select All that Apply,
1778,1778,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,
1779,1779,129084651,Survey,726699695,Background and Overall Health,173240848,Father- Which type(s) of cancer? Select all that apply.,DADCANC2,,,665036297,Non-Hodgkin's lymphoma,,Non-Hodgkin's lymphoma,SrvBOH_DNHLymphoma_v1r0,11,Num,1,104430631,0=No,,No,No,,,,,,,Optional Select All that Apply,
1780,1780,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,
1781,1781,129084651,Survey,726699695,Background and Overall Health,173240848,Father- Which type(s) of cancer? Select all that apply.,DADCANC2,,,200837530,Lymphoma,,Lymphoma,SrvBOH_DLymphoma_v1r0,12,Num,1,104430631,0=No,,No,No,,,,,,,Optional Select All that Apply,
1782,1782,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,
1783,1783,129084651,Survey,726699695,Background and Overall Health,173240848,Father- Which type(s) of cancer? Select all that apply.,DADCANC2,,,990319383,Melanoma (skin),,Melanoma (skin),SrvBOH_DMelanoma_v1r0,13,Num,1,104430631,0=No,,No,No,,,,,,,Optional Select All that Apply,
1784,1784,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,
1785,1785,129084651,Survey,726699695,Background and Overall Health,173240848,Father- Which type(s) of cancer? Select all that apply.,DADCANC2,,,487917585,Non-melanoma skin (basal or squamous),,Non-melanoma skin (basal or squamous),SrvBOH_DNMSkinCancer_v1r0,14,Num,1,104430631,0=No,,No,No,,,,,,,Optional Select All that Apply,
1786,1786,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,
1787,1787,129084651,Survey,726699695,Background and Overall Health,173240848,Father- Which type(s) of cancer? Select all that apply.,DADCANC2,,,482225200,Pancreatic,,Pancreatic,SrvBOH_DPancreaticCanc_v1r0,15,Num,1,104430631,0=No,,No,No,,,,,,,Optional Select All that Apply,
1788,1788,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,
1789,1789,129084651,Survey,726699695,Background and Overall Health,173240848,Father- Which type(s) of cancer? Select all that apply.,DADCANC2,,,295976386,Prostate,,Prostate,SrvBOH_DProstateCancer_v1r0,16,Num,1,104430631,0=No,,No,No,,,,,,,Optional Select All that Apply,
1790,1790,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,
1791,1791,129084651,Survey,726699695,Background and Overall Health,173240848,Father- Which type(s) of cancer? Select all that apply.,DADCANC2,,,764891959,Stomach,,Stomach,SrvBOH_DStomachCancer_v1r0,17,Num,1,104430631,0=No,,No,No,,,,,,,Optional Select All that Apply,
1792,1792,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,
1793,1793,129084651,Survey,726699695,Background and Overall Health,173240848,Father- Which type(s) of cancer? Select all that apply.,DADCANC2,,,248374037,Testicular,,Testicular,SrvBOH_DTesticularCanc_v1r0,18,Num,1,104430631,0=No,,No,No,,,,,,,Optional Select All that Apply,
1794,1794,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,
1795,1795,129084651,Survey,726699695,Background and Overall Health,173240848,Father- Which type(s) of cancer? Select all that apply.,DADCANC2,,,139822395,Thyroid,,Thyroid,SrvBOH_DThyroidCancer_v1r0,19,Num,1,104430631,0=No,,No,No,,,,,,,Optional Select All that Apply,
1796,1796,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,
1797,1797,129084651,Survey,726699695,Background and Overall Health,173240848,Father- Which type(s) of cancer? Select all that apply.,DADCANC2,,,807835037,Other |__|,,Another type of cancer: Please describe,SrvBOH_DOtherCancer_v1r0,55,Num,1,104430631,0=No,,No,No,,,,,,9/23/21,Optional Select All that Apply,
1798,1798,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,
1799,1799,129084651,Survey,726699695,Background and Overall Health,173240848,Father- Which type(s) of cancer? Select all that apply.,DADCANC2,,,195093589,Father - another type of cancer: Please describe [text box],,Another type of cancer: Please describe [text box],SrvBOH_DOtherCancerDes_v1r0,DADCANC2_TB,Char,300,,N/A,,No,No,,,,,,8/9/21,Optional Select All that Apply,
1800,1800,129084651,Survey,726699695,Background and Overall Health,173240848,Father- Which type(s) of cancer? Select all that apply.,DADCANC2,,,178420302,Unavailable/Unknown,,"I know they had cancer, but don't know what type",SrvBOH_DCancerUnknown_v1r0,77,Num,1,104430631,0=No,,No,No,,,,,,9/23/21,Optional Select All that Apply,
1801,1801,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,
1802,1802,129084651,Survey,726699695,Background and Overall Health,345146692,Father - How old was your Father when they were first told by a doctor or other health professional that they have or had anal cancer?,DADCANC3A,,,206625031,Age at diagnosis,,Dad anal cancer age,SrvBOH_DadAnalCancAge_v1r0,DADCANC3A_AGE,Num,3,,N/A,,No,No,Connect Format/Values - Only display if DADCANC2= 0,,,,,9/28/21,"Or (xor=) Question (either/or text boxes without radio button), Loops"
1803,1803,129084651,Survey,726699695,Background and Overall Health,345146692,Father - How old was your Father when they were first told by a doctor or other health professional that they have or had anal cancer?,DADCANC3A,,,261863326,Year at diagnosis,,Dad anal cancer year,SrvBOH_DadAnalCancYr_v1r0,DADCANC3A_YEAR,Year,4,,N/A,,No,No,Connect Format/Values - Only display if DADCANC2= 0,,,,,9/28/21,"Or (xor=) Question (either/or text boxes without radio button), Loops"
