Formula for Index,Index,conceptId,Primary Source,conceptId,Secondary Source,conceptId,Current Source Question,V1 Source Question,GridID/Source Question Name,"Deprecated, New, or Revised","Date Deprecated, New, or Revised Variable Pushed to Prod",conceptId,Current Question Text,V1 Question Text,Variable Label,Variable Name,Connect Value for Select all that apply questions - Surveys Only,Variable Type,Variable Length,conceptId,Current Format/Value,R0 Format/Value,Required,PII,Notes,Derivation Notes,Dictionary,State Attribute,Default Variable,Date added or modified,GCP Document/Table,Question Type,IMS Review Notes
726,726,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,
727,727,819848608,Biospecimen,973670172,Urine Tube 1,248868659,Deviation? (Select all that apply),,,,,728366619,Deviation- Low volume - (tube/container partially filled but still usable),,UT1 Dev - Vol Low But Usable,BioCol_Dev_v1r0_LowVolUT1,,Num,1,104430631,0 = No,,Yes if yes to deviation for a specimen and no other deviation selected,No,Default no,,"Biospecimen Clinical, Biospecimen Research",No,Yes,9/7/23,Biospecimen Table Nesed structure: d_Tube/Bag/Object_d_248868659_d_728366619,,Added new variable.
728,728,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,
729,729,819848608,Biospecimen,143615646,Mouthwash Tube 1,248868659,Deviation? (Select all that apply),,,,,728366619,Deviation- Low volume - (tube/container partially filled but still usable),,MWT1 Dev - Vol Low But Usable,BioCol_Dev_v1r0_LowVolMWT1,,Num,1,104430631,0 = No,,Yes if yes to deviation for a specimen and no other deviation selected,No,Default no,,"Biospecimen Clinical, Biospecimen Research",No,Yes,9/7/23,Biospecimen Table Nesed structure: d_Tube/Bag/Object_d_248868659_d_728366619,,Added new variable.
730,730,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,
731,731,819848608,Biospecimen,454453939,EDTA Tube 1,248868659,Deviation? (Select all that apply),,,,,728366619,Deviation- Low volume - (tube/container partially filled but still usable),,EDTAT1 Dev- Vol Low But Usable,BioCol_Dev_v1r0_LowVolEDTAT1,,Num,1,104430631,0 = No,,Yes if yes to deviation for a specimen and no other deviation selected,No,Default no,,"Biospecimen Clinical, Biospecimen Research",No,Yes,9/7/23,Biospecimen Table Nesed structure: d_Tube/Bag/Object_d_248868659_d_728366619,,Added new variable.
732,732,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,
733,733,819848608,Biospecimen,677469051,EDTA Tube 2,248868659,Deviation? (Select all that apply),,,,,728366619,Deviation- Low volume - (tube/container partially filled but still usable),,EDTAT2 Dev- Vol Low But Usable,BioCol_Dev_v1r0_LowVolEDTAT2,,Num,1,104430631,0 = No,,Yes if yes to deviation for a specimen and no other deviation selected,No,Default no,,"Biospecimen Clinical, Biospecimen Research",No,Yes,9/7/23,Biospecimen Table Nesed structure: d_Tube/Bag/Object_d_248868659_d_728366619,,Added new variable.
734,734,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,
735,735,819848608,Biospecimen,683613884,EDTA Tube 3,248868659,Deviation? (Select all that apply),,,,,728366619,Deviation- Low volume - (tube/container partially filled but still usable),,EDTAT3 Dev- Vol Low But Usable,BioCol_Dev_v1r0_LowVolEDTAT3,,Num,1,104430631,0 = No,,Yes if yes to deviation for a specimen and no other deviation selected,No,Default no,,"Biospecimen Clinical, Biospecimen Research",No,Yes,9/7/23,Biospecimen Table Nesed structure: d_Tube/Bag/Object_d_248868659_d_728366619,,Added new variable.
736,736,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,
737,737,819848608,Biospecimen,838567176,Heparin Tube 1,248868659,Deviation? (Select all that apply),,,,,728366619,Deviation- Low volume - (tube/container partially filled but still usable),,HT1 Dev- Vol Low But Usable,BioCol_Dev_v1r0_LowVolHT1,,Num,1,104430631,0 = No,,Yes if yes to deviation for a specimen and no other deviation selected,No,Default no,,"Biospecimen Clinical, Biospecimen Research",No,Yes,9/7/23,Biospecimen Table Nesed structure: d_Tube/Bag/Object_d_248868659_d_728366619,,Added new variable.
738,738,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,
739,739,819848608,Biospecimen,958646668,Heparin Tube 2,248868659,Deviation? (Select all that apply),,,,,728366619,Deviation- Low volume - (tube/container partially filled but still usable),,HT2 Dev- Vol Low But Usable,BioCol_Dev_v1r0_LowVolHT2,,Num,1,104430631,0 = No,,Yes if yes to deviation for a specimen and no other deviation selected,No,Default no,,"Biospecimen Clinical, Biospecimen Research",No,Yes,9/7/23,Biospecimen Table Nesed structure: d_Tube/Bag/Object_d_248868659_d_728366619,,Added new variable.
740,740,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,
741,741,819848608,Biospecimen,299553921,Serum Separator Tube 1,248868659,Deviation? (Select all that apply),,,,,453343022,Deviation- Other,,SST1 Dev - Oth,BioCol_Dev_v1r0_OtherSST1,,Num,1,104430631,0 = No,,Yes if yes to deviation for a specimen and no other deviation selected,No,Default no,,"Biospecimen Clinical, Biospecimen Research",No,Yes,9/7/23,Biospecimen Table Nesed structure: d_Tube/Bag/Object_d_248868659_d_453343022,,"Updated Variable Name from BioCol_Dev_v1r0_Other to BioCol_Dev_v1r0_OtherSST1. Updated Variable Label, Secondary Source and CID."
742,742,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,
743,743,819848608,Biospecimen,703954371,Serum Separator Tube 2,248868659,Deviation? (Select all that apply),,,,,453343022,Deviation- Other,,SST2 Dev - Oth,BioCol_Dev_v1r0_OtherSST2,,Num,1,104430631,0 = No,,Yes if yes to deviation for a specimen and no other deviation selected,No,Default no,,"Biospecimen Clinical, Biospecimen Research",No,Yes,9/7/23,Biospecimen Table Nesed structure: d_Tube/Bag/Object_d_248868659_d_453343022,,Added new Variable
744,744,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,
745,745,819848608,Biospecimen,376960806,Serum Separator Tube 3,248868659,Deviation? (Select all that apply),,,,,453343022,Deviation- Other,,SST3 Dev - Oth,BioCol_Dev_v1r0_OtherSST3,,Num,1,104430631,0 = No,,Yes if yes to deviation for a specimen and no other deviation selected,No,Default no,,"Biospecimen Clinical, Biospecimen Research",No,Yes,9/7/23,Biospecimen Table Nesed structure: d_Tube/Bag/Object_d_248868659_d_453343022,,Added new variable.
746,746,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,
747,747,819848608,Biospecimen,232343615,Serum Separator Tube 4,248868659,Deviation? (Select all that apply),,,,,453343022,Deviation- Other,,SST4 Dev - Oth,BioCol_Dev_v1r0_OtherSST4,,Num,1,104430631,0 = No,,Yes if yes to deviation for a specimen and no other deviation selected,No,Default no,,"Biospecimen Clinical, Biospecimen Research",No,Yes,9/7/23,Biospecimen Table Nesed structure: d_Tube/Bag/Object_d_248868659_d_453343022,,Added new variable.
748,748,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,
749,749,819848608,Biospecimen,589588440,Serum Separator Tube 5,248868659,Deviation? (Select all that apply),,,,,453343022,Deviation- Other,,SST5 Dev - Oth,BioCol_Dev_v1r0_OtherSST5,,Num,1,104430631,0 = No,,Yes if yes to deviation for a specimen and no other deviation selected,No,Default no,,"Biospecimen Clinical, Biospecimen Research",No,Yes,9/7/23,Biospecimen Table Nesed structure: d_Tube/Bag/Object_d_248868659_d_453343022,,Added new variable.
750,750,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,
751,751,819848608,Biospecimen,652357376,ACD Tube 1,248868659,Deviation? (Select all that apply),,,,,453343022,Deviation- Other,,ACDT1 Dev - Oth,BioCol_Dev_v1r0_OtherACDT1,,Num,1,104430631,0 = No,,Yes if yes to deviation for a specimen and no other deviation selected,No,Default no,,"Biospecimen Clinical, Biospecimen Research",No,Yes,9/7/23,Biospecimen Table Nesed structure: d_Tube/Bag/Object_d_248868659_d_453343022,,Added new variable.
752,752,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,
753,753,819848608,Biospecimen,505347689,STRECK Tube 1,248868659,Deviation? (Select all that apply),,,,,453343022,Deviation- Other,,STRECKT1 Dev - Oth,BioCol_Dev_v1r0_OtherSTRT1,,Num,1,104430631,0 = No,,Yes if yes to deviation for a specimen and no other deviation selected,No,Default no,,"Biospecimen Clinical, Biospecimen Research",No,Yes,9/7/23,Biospecimen Table Nesed structure: d_Tube/Bag/Object_d_248868659_d_453343022,,Added new variable.
754,754,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,
755,755,819848608,Biospecimen,973670172,Urine Tube 1,248868659,Deviation? (Select all that apply),,,,,453343022,Deviation- Other,,UT1 Dev - Oth,BioCol_Dev_v1r0_OtherUT1,,Num,1,104430631,0 = No,,Yes if yes to deviation for a specimen and no other deviation selected,No,Default no,,"Biospecimen Clinical, Biospecimen Research",No,Yes,9/7/23,Biospecimen Table Nesed structure: d_Tube/Bag/Object_d_248868659_d_453343022,,Added new variable.
756,756,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,
757,757,819848608,Biospecimen,143615646,Mouthwash Tube 1,248868659,Deviation? (Select all that apply),,,,,453343022,Deviation- Other,,MWT1 Dev - Oth,BioCol_Dev_v1r0_OtherMWT1,,Num,1,104430631,0 = No,,Yes if yes to deviation for a specimen and no other deviation selected,No,Default no,,"Biospecimen Clinical, Biospecimen Research",No,Yes,9/7/23,Biospecimen Table Nesed structure: d_Tube/Bag/Object_d_248868659_d_453343022,,Added new variable.
758,758,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,
759,759,819848608,Biospecimen,454453939,EDTA Tube 1,248868659,Deviation? (Select all that apply),,,,,453343022,Deviation- Other,,EDTAT1 Dev - Oth,BioCol_Dev_v1r0_OtherEDTAT1,,Num,1,104430631,0 = No,,Yes if yes to deviation for a specimen and no other deviation selected,No,Default no,,"Biospecimen Clinical, Biospecimen Research",No,Yes,9/7/23,Biospecimen Table Nesed structure: d_Tube/Bag/Object_d_248868659_d_453343022,,Added new variable.
760,760,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,
761,761,819848608,Biospecimen,677469051,EDTA Tube 2,248868659,Deviation? (Select all that apply),,,,,453343022,Deviation- Other,,EDTAT2 Dev - Oth,BioCol_Dev_v1r0_OtherEDTAT2,,Num,1,104430631,0 = No,,Yes if yes to deviation for a specimen and no other deviation selected,No,Default no,,"Biospecimen Clinical, Biospecimen Research",No,Yes,9/7/23,Biospecimen Table Nesed structure: d_Tube/Bag/Object_d_248868659_d_453343022,,Added new variable.
762,762,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,
763,763,819848608,Biospecimen,683613884,EDTA Tube 3,248868659,Deviation? (Select all that apply),,,,,453343022,Deviation- Other,,EDTAT3 Dev - Oth,BioCol_Dev_v1r0_OtherEDTAT3,,Num,1,104430631,0 = No,,Yes if yes to deviation for a specimen and no other deviation selected,No,Default no,,"Biospecimen Clinical, Biospecimen Research",No,Yes,9/7/23,Biospecimen Table Nesed structure: d_Tube/Bag/Object_d_248868659_d_453343022,,Added new variable.
764,764,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,
765,765,819848608,Biospecimen,838567176,Heparin Tube 1,248868659,Deviation? (Select all that apply),,,,,453343022,Deviation- Other,,HT1 Dev - Oth,BioCol_Dev_v1r0_OtherHT1,,Num,1,104430631,0 = No,,Yes if yes to deviation for a specimen and no other deviation selected,No,Default no,,"Biospecimen Clinical, Biospecimen Research",No,Yes,9/7/23,Biospecimen Table Nesed structure: d_Tube/Bag/Object_d_248868659_d_453343022,,Added new variable.
766,766,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,
767,767,819848608,Biospecimen,958646668,Heparin Tube 2,248868659,Deviation? (Select all that apply),,,,,453343022,Deviation- Other,,HT2 Dev - Oth,BioCol_Dev_v1r0_OtherHT2,,Num,1,104430631,0 = No,,Yes if yes to deviation for a specimen and no other deviation selected,No,Default no,,"Biospecimen Clinical, Biospecimen Research",No,Yes,9/7/23,Biospecimen Table Nesed structure: d_Tube/Bag/Object_d_248868659_d_453343022,,Added new variable.
768,768,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,
769,769,819848608,Biospecimen,299553921,Serum Separator Tube 1,,,,,,,762124027,Discard Flag,,SST1 Discard flag,BioCol_Discard_v1r0_SST1,,Num,1,104430631,0 = No,,Autoflag as yes if Deviation-broken equals YES,No,"Default is no, Autoflag as yes if CID 472864016, 956345366, 810960823, OR 684617815 = YES",,"Biospecimen Clinical, Biospecimen Research",No,Yes,9/7/23,Biospecimen Table Nested structure: d_Tube/Bag/Object_d_762124027,,"Updated Variable Name from BioCol_Discard_v1r0 to BioCol_Discard_v1r0_SST1. Updated Variable Label, Secondary Source and CID."
770,770,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,
771,771,819848608,Biospecimen,703954371,Serum Separator Tube 2,,,,,,,762124027,Discard Flag,,SST2 Discard flag,BioCol_Discard_v1r0_SST2,,Num,1,104430631,0 = No,,Yes if Deviation-broken equals YES,No,"Default is no, Autoflag as yes if CID 472864016, 956345366, 810960823, OR 684617815 = YES",,"Biospecimen Clinical, Biospecimen Research",No,Yes,9/7/23,Biospecimen Table Nested structure: d_Tube/Bag/Object_d_762124027,,Added new Variable
772,772,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,
773,773,819848608,Biospecimen,376960806,Serum Separator Tube 3,,,,,,,762124027,Discard Flag,,SST3 Discard flag,BioCol_Discard_v1r0_SST3,,Num,1,104430631,0 = No,,Yes if Deviation-broken equals YES,No,"Default is no, Autoflag as yes if CID 472864016, 956345366, 810960823, OR 684617815 = YES",,"Biospecimen Clinical, Biospecimen Research",No,Yes,9/7/23,Biospecimen Table Nested structure: d_Tube/Bag/Object_d_762124027,,Added new variable.
774,774,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,
775,775,819848608,Biospecimen,232343615,Serum Separator Tube 4,,,,,,,762124027,Discard Flag,,SST4 Discard flag,BioCol_Discard_v1r0_SST4,,Num,1,104430631,0 = No,,Yes if Deviation-broken equals YES,No,"Default is no, Autoflag as yes if CID 472864016, 956345366, 810960823, OR 684617815 = YES",,"Biospecimen Clinical, Biospecimen Research",No,Yes,9/7/23,Biospecimen Table Nested structure: d_Tube/Bag/Object_d_762124027,,Added new variable.
776,776,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,
777,777,819848608,Biospecimen,589588440,Serum Separator Tube 5,,,,,,,762124027,Discard Flag,,SST5 Discard flag,BioCol_Discard_v1r0_SST5,,Num,1,104430631,0 = No,,Yes if Deviation-broken equals YES,No,"Default is no, Autoflag as yes if CID 472864016, 956345366, 810960823, OR 684617815 = YES",,"Biospecimen Clinical, Biospecimen Research",No,Yes,9/7/23,Biospecimen Table Nested structure: d_Tube/Bag/Object_d_762124027,,Added new variable.
778,778,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,
779,779,819848608,Biospecimen,652357376,ACD Tube 1,,,,,,,762124027,Discard Flag,,ACDT1 Discard flag,BioCol_Discard_v1r0_ACDT1,,Num,1,104430631,0 = No,,Yes if Deviation-broken equals YES,No,"Default is no, Autoflag as yes if CID 472864016, 956345366, 810960823, OR 684617815 = YES",,"Biospecimen Clinical, Biospecimen Research",No,Yes,9/7/23,Biospecimen Table Nested structure: d_Tube/Bag/Object_d_762124027,,Added new variable.
780,780,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,
781,781,819848608,Biospecimen,505347689,STRECK Tube 1,,,,,,,762124027,Discard Flag,,STRECKT1 Discard flag,BioCol_Discard_v1r0_STRT1,,Num,1,104430631,0 = No,,Yes if Deviation-broken equals YES,No,"Default is no, Autoflag as yes if CID 472864016, 956345366, 810960823, OR 684617815 = YES",,"Biospecimen Clinical, Biospecimen Research",No,Yes,9/7/23,Biospecimen Table Nested structure: d_Tube/Bag/Object_d_762124027,,Added new variable.
782,782,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,
783,783,819848608,Biospecimen,973670172,Urine Tube 1,,,,,,,762124027,Discard Flag,,UT1 Discard flag,BioCol_Discard_v1r0_UT1,,Num,1,104430631,0 = No,,Yes if Deviation-broken equals YES,No,"Default is no, Autoflag as yes if CID 472864016, 956345366, 810960823, OR 684617815 = YES",,"Biospecimen Clinical, Biospecimen Research",No,Yes,9/7/23,Biospecimen Table Nested structure: d_Tube/Bag/Object_d_762124027,,Added new variable.
784,784,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,
785,785,819848608,Biospecimen,143615646,Mouthwash Tube 1,,,,,,,762124027,Discard Flag,,MWT1 Discard flag,BioCol_Discard_v1r0_MWT1,,Num,1,104430631,0 = No,,Yes if Deviation-broken equals YES,No,"Default is no, Autoflag as yes if CID 472864016, 956345366, 810960823, OR 684617815 = YES",,"Biospecimen Clinical, Biospecimen Research",No,Yes,9/7/23,Biospecimen Table Nested structure: d_Tube/Bag/Object_d_762124027,,Added new variable.
786,786,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,
787,787,819848608,Biospecimen,454453939,EDTA Tube 1,,,,,,,762124027,Discard Flag,,EDTAT1 Discard flag,BioCol_Discard_v1r0_EDTAT1,,Num,1,104430631,0 = No,,Yes if Deviation-broken equals YES,No,"Default is no, Autoflag as yes if CID 472864016, 956345366, 810960823, OR 684617815 = YES",,"Biospecimen Clinical, Biospecimen Research",No,Yes,9/7/23,Biospecimen Table Nested structure: d_Tube/Bag/Object_d_762124027,,Added new variable.
788,788,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,
789,789,819848608,Biospecimen,677469051,EDTA Tube 2,,,,,,,762124027,Discard Flag,,EDTAT2 Discard flag,BioCol_Discard_v1r0_EDTAT2,,Num,1,104430631,0 = No,,Yes if Deviation-broken equals YES,No,"Default is no, Autoflag as yes if CID 472864016, 956345366, 810960823, OR 684617815 = YES",,"Biospecimen Clinical, Biospecimen Research",No,Yes,9/7/23,Biospecimen Table Nested structure: d_Tube/Bag/Object_d_762124027,,Added new variable.
790,790,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,
791,791,819848608,Biospecimen,683613884,EDTA Tube 3,,,,,,,762124027,Discard Flag,,EDTAT3 Discard flag,BioCol_Discard_v1r0_EDTAT3,,Num,1,104430631,0 = No,,Yes if Deviation-broken equals YES,No,"Default is no, Autoflag as yes if CID 472864016, 956345366, 810960823, OR 684617815 = YES",,"Biospecimen Clinical, Biospecimen Research",No,Yes,9/7/23,Biospecimen Table Nested structure: d_Tube/Bag/Object_d_762124027,,Added new variable.
792,792,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,
793,793,819848608,Biospecimen,838567176,Heparin Tube 1,,,,,,,762124027,Discard Flag,,HT1 Discard flag,BioCol_Discard_v1r0_HT1,,Num,1,104430631,0 = No,,Yes if Deviation-broken equals YES,No,"Default is no, Autoflag as yes if CID 472864016, 956345366, 810960823, OR 684617815 = YES",,"Biospecimen Clinical, Biospecimen Research",No,Yes,9/7/23,Biospecimen Table Nested structure: d_Tube/Bag/Object_d_762124027,,Added new variable.
794,794,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,
795,795,819848608,Biospecimen,958646668,Heparin Tube 2,,,,,,,762124027,Discard Flag,,HT2 Discard flag,BioCol_Discard_v1r0_HT2,,Num,1,104430631,0 = No,,Yes if Deviation-broken equals YES,No,"Default is no, Autoflag as yes if CID 472864016, 956345366, 810960823, OR 684617815 = YES",,"Biospecimen Clinical, Biospecimen Research",No,Yes,9/7/23,Biospecimen Table Nested structure: d_Tube/Bag/Object_d_762124027,,Added new variable.
796,796,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,
797,797,819848608,Biospecimen,299553921,Serum Separator Tube 1,,,,,,,338286049,Not Collected - Details (Optional),,SST1 Not Collected Details,BioCol_NCDets_v1r0_SST1,,Char,800,,N/A,,No,No,"As long as PII isn't included in the notes, do we need to screen for this?",,"Biospecimen Clinical, Biospecimen Research",No,No,9/7/23,Biospecimen Table Nested structure: d_Tube/Bag/Object_d_338286049,,"Updated Variable Name from BioCol_NCDets_v1r0 to BioCol_NCDets_v1r0_SST1. Updated Variable Label, Secondary Source and CID."
798,798,819848608,Biospecimen,703954371,Serum Separator Tube 2,,,,,,,338286049,Not Collected - Details (Optional),,SST2 Not Collected Details,BioCol_NCDets_v1r0_SST2,,Char,800,,N/A,,No,No,"As long as PII isn't included in the notes, do we need to screen for this?",,"Biospecimen Clinical, Biospecimen Research",No,No,9/7/23,Biospecimen Table Nested structure: d_Tube/Bag/Object_d_338286049,,Added new Variable
799,799,819848608,Biospecimen,376960806,Serum Separator Tube 3,,,,,,,338286049,Not Collected - Details (Optional),,SST3 Not Collected Details,BioCol_NCDets_v1r0_SST3,,Char,800,,N/A,,No,No,"As long as PII isn't included in the notes, do we need to screen for this?",,"Biospecimen Clinical, Biospecimen Research",No,No,9/7/23,Biospecimen Table Nested structure: d_Tube/Bag/Object_d_338286049,,Added new variable.
800,800,819848608,Biospecimen,232343615,Serum Separator Tube 4,,,,,,,338286049,Not Collected - Details (Optional),,SST4 Not Collected Details,BioCol_NCDets_v1r0_SST4,,Char,800,,N/A,,No,No,"As long as PII isn't included in the notes, do we need to screen for this?",,"Biospecimen Clinical, Biospecimen Research",No,No,9/7/23,Biospecimen Table Nested structure: d_Tube/Bag/Object_d_338286049,,Added new variable.
801,801,819848608,Biospecimen,589588440,Serum Separator Tube 5,,,,,,,338286049,Not Collected - Details (Optional),,SST5 Not Collected Details,BioCol_NCDets_v1r0_SST5,,Char,800,,N/A,,No,No,"As long as PII isn't included in the notes, do we need to screen for this?",,"Biospecimen Clinical, Biospecimen Research",No,No,9/7/23,Biospecimen Table Nested structure: d_Tube/Bag/Object_d_338286049,,Added new variable.
802,802,819848608,Biospecimen,652357376,ACD Tube 1,,,,,,,338286049,Not Collected - Details (Optional),,ACDT1 Not Collected Details,BioCol_NCDets_v1r0_ACDT1,,Char,800,,N/A,,No,No,"As long as PII isn't included in the notes, do we need to screen for this?",,"Biospecimen Clinical, Biospecimen Research",No,No,9/7/23,Biospecimen Table Nested structure: d_Tube/Bag/Object_d_338286049,,Added new variable.
803,803,819848608,Biospecimen,505347689,STRECK Tube 1,,,,,,,338286049,Not Collected - Details (Optional),,STRECKT1 Not Collected Details,BioCol_NCDets_v1r0_STRT1,,Char,800,,N/A,,No,No,"As long as PII isn't included in the notes, do we need to screen for this?",,"Biospecimen Clinical, Biospecimen Research",No,No,9/7/23,Biospecimen Table Nested structure: d_Tube/Bag/Object_d_338286049,,Added new variable.
804,804,819848608,Biospecimen,973670172,Urine Tube 1,,,,,,,338286049,Not Collected - Details (Optional),,UT1 Not Collected Details,BioCol_NCDets_v1r0_UT1,,Char,800,,N/A,,No,No,"As long as PII isn't included in the notes, do we need to screen for this?",,"Biospecimen Clinical, Biospecimen Research",No,No,9/7/23,Biospecimen Table Nested structure: d_Tube/Bag/Object_d_338286049,,Added new variable.
805,805,819848608,Biospecimen,143615646,Mouthwash Tube 1,,,,,,,338286049,Not Collected - Details (Optional),,MWT1 Not Collected Details,BioCol_NCDets_v1r0_MWT1,,Char,800,,N/A,,No,No,"As long as PII isn't included in the notes, do we need to screen for this?",,"Biospecimen Clinical, Biospecimen Research",No,No,9/7/23,Biospecimen Table Nested structure: d_Tube/Bag/Object_d_338286049,,Added new variable.
806,806,819848608,Biospecimen,454453939,EDTA Tube 1,,,,,,,338286049,Not Collected - Details (Optional),,EDTAT1 Not Collected Details,BioCol_NCDets_v1r0_EDTAT1,,,,,,,,,,,,,,,,,
807,807,819848608,Biospecimen,677469051,EDTA Tube 2,,,,,,,338286049,Not Collected - Details (Optional),,EDTAT2 Not Collected Details,BioCol_NCDets_v1r0_EDTAT2,,,,,,,,,,,,,,,,,
808,808,819848608,Biospecimen,683613884,EDTA Tube 3,,,,,,,338286049,Not Collected - Details (Optional),,EDTAT3 Not Collected Details,BioCol_NCDets_v1r0_EDTAT3,,,,,,,,,,,,,,,,,
809,809,819848608,Biospecimen,838567176,Heparin Tube 1,,,,,,,338286049,Not Collected - Details (Optional),,HT1 Not Collected Details,BioCol_NCDets_v1r0_HT1,,,,,,,,,,,,,,,,,
810,810,819848608,Biospecimen,958646668,Heparin Tube 2,,,,,,,338286049,Not Collected - Details (Optional),,HT2 Not Collected Details,BioCol_NCDets_v1r0_HT2,,,,,,,,,,,,,,,,,
811,811,819848608,Biospecimen,173836415,Collection Details,266600170,0 = Baseline,,,,,561681068,Autogenerated date/time stamp for research collection of blood sample,,BL D/T Rsrch Blood Collected,BioFin_ResearchBldTmBL_v1r0,,ISO,24,,example: 2020-07-17T15:21:26.763Z,,Yes if BioFin_BaseBloodCol_v1r0 equals 1,No,"ISO to be converted to SAS format. Nested under Collection Environment. Set by us for research, not used for Clinical.",,"Biospecimen Clinical, Biospecimen Research, Study Manager Data Dictionary",No,No,9/7/23,"Participants Table Nested structure: d_173836415_d_266600170_d_561681068 (2nd CID will change depending on BL/F-U1,2,3)",,Updated Secondary Source to Collection Details and Variable name BioFin_ResearchBldTime_v1r0 with BioFin_ResearchBldTmBL_v1r0
812,812,819848608,Biospecimen,173836415,Collection Details,496823485,1 = Follow-up 1,,,,,561681068,Autogenerated date/time stamp for research collection of blood sample,,F1 D/T Rsrch Blood Collected,BioFin_ResearchBldTmF1_v1r0,,ISO,24,,example: 2020-07-17T15:21:26.763Z,,Yes if BioFin_BaseBloodCol_v1r0 equals 1,No,"ISO to be converted to SAS format. Nested under Collection Environment. Set by us for research, not used for Clinical.",,"Biospecimen Clinical, Biospecimen Research, Study Manager Data Dictionary",No,No,9/7/23,"Participants Table Nested structure: d_173836415_d_266600170_d_561681068 (2nd CID will change depending on BL/F-U1,2,3)",,Added new variable.
813,813,819848608,Biospecimen,173836415,Collection Details,650465111,2 = Follow-up 2,,,,,561681068,Autogenerated date/time stamp for research collection of blood sample,,F2 D/T Rsrch Blood Collected,BioFin_ResearchBldTmF2_v1r0,,ISO,24,,example: 2020-07-17T15:21:26.763Z,,Yes if BioFin_BaseBloodCol_v1r0 equals 1,No,"ISO to be converted to SAS format. Nested under Collection Environment. Set by us for research, not used for Clinical.",,"Biospecimen Clinical, Biospecimen Research, Study Manager Data Dictionary",No,No,9/7/23,"Participants Table Nested structure: d_173836415_d_266600170_d_561681068 (2nd CID will change depending on BL/F-U1,2,3)",,Added new variable.
814,814,819848608,Biospecimen,173836415,Collection Details,303552867,3 = Follow-up 3,,,,,561681068,Autogenerated date/time stamp for research collection of blood sample,,F3 D/T Rsrch Blood Collected,BioFin_ResearchBldTmF3_v1r0,,ISO,24,,example: 2020-07-17T15:21:26.763Z,,Yes if BioFin_BaseBloodCol_v1r0 equals 1,No,"ISO to be converted to SAS format. Nested under Collection Environment. Set by us for research, not used for Clinical.",,"Biospecimen Clinical, Biospecimen Research, Study Manager Data Dictionary",No,No,9/7/23,"Participants Table Nested structure: d_173836415_d_266600170_d_561681068 (2nd CID will change depending on BL/F-U1,2,3)",,Added new variable.
