Formula for Index,Formula for Index,conceptId,Primary Source,conceptId,Secondary Source,conceptId,Current Source Question,V1 Source Question,GridID/Source Question Name,"Deprecated, New, or Revised","Date Deprecated, New, or Revised Variable Pushed to Prod",conceptId,Current Question Text,V1 Question Text,Variable Label,Variable Name,Connect Value for Select all that apply questions - Surveys Only,Variable Type,Variable Length,conceptId,Current Format/Value,R0 Format/Value,Required,PII,Notes,Derivation Notes,Dictionary,State Attribute,Default Variable,Date added or modified,GCP Document/Table,Question Type,IMS Review Notes
1794,1794,819848608,Biospecimen,948781977,Shipping - Pack box,,,,,New,,956354350,Bag/Container/Thing 36,,Bag 36,BioPack_Bag36_v1r0,,N/A,N/A,,N/A,,Yes,No,"Information about thing contents, such as tubes packed in it or who scanned the label is nested under thing concept ID.",,Master Data Dictionary,No,No,10/10/23,,,
1795,1795,819848608,Biospecimen,948781977,Shipping - Pack box,,,,,New,,925165180,Bag/Container/Thing 37,,Bag 37,BioPack_Bag37_v1r0,,N/A,N/A,,N/A,,Yes,No,"Information about thing contents, such as tubes packed in it or who scanned the label is nested under thing concept ID.",,Master Data Dictionary,No,No,10/10/23,,,
1796,1796,819848608,Biospecimen,948781977,Shipping - Pack box,,,,,New,,832614280,Bag/Container/Thing 38,,Bag 38,BioPack_Bag38_v1r0,,N/A,N/A,,N/A,,Yes,No,"Information about thing contents, such as tubes packed in it or who scanned the label is nested under thing concept ID.",,Master Data Dictionary,No,No,10/10/23,,,
1797,1797,819848608,Biospecimen,948781977,Shipping - Pack box,,,,,New,,301569492,Bag/Container/Thing 39,,Bag 39,BioPack_Bag39_v1r0,,N/A,N/A,,N/A,,Yes,No,"Information about thing contents, such as tubes packed in it or who scanned the label is nested under thing concept ID.",,Master Data Dictionary,No,No,10/10/23,,,
1798,1798,819848608,Biospecimen,948781977,Shipping - Pack box,,,,,New,,685888031,Bag/Container/Thing 40,,Bag 40,BioPack_Bag40_v1r0,,N/A,N/A,,N/A,,Yes,No,"Information about thing contents, such as tubes packed in it or who scanned the label is nested under thing concept ID.",,Master Data Dictionary,No,No,10/10/23,,,
1799,1799,819848608,Biospecimen,948781977,Shipping - Pack box,,,,,,,255283733,Orphan Bag/Container/Thing Flag,,Orphan Bag,BioPack_OrphanBag_v1r0,,Num,1,104430631,0=No,,Yes,No,,,Master Data Dictionary,No,No,3/30/22,Boxes Table Not nested (d_255283733),,
1800,1800,,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,
1801,1801,819848608,Biospecimen,948781977,Shipping - Pack box,,,,,,,842312685,Contains Orphan Flag,,Contains Orphan Flag,BioPack_ContainsOrphan_v1r0,,Num,1,104430631,0=No,,Yes,No,,,Master Data Dictionary,No,No,3/30/22,Boxes Table Not nested (d_842312685),,
1802,1802,,,,,,,,,,,,,,,,,,,353358909,1=Yes,,,,,,,,,,,,
1803,1803,819848608,Biospecimen,948781977,Shipping - Pack box,,,,,,,234868461,Samples Within,,Samples Within,BioPack_SamplesWithin_v1r0,,Num,1,,N/A,,Yes,No,Variable repurposed from a binary flag.  Current variable contains an array/list of all of the sample tubes included in the bag/container.,,Master Data Dictionary,No,No,5/19/22,,,
1804,1804,819848608,Biospecimen,948781977,Shipping - Pack box,,,,,,,522094118,Orphan Bag/Container Scan,,Orphan Bag Scan,BioPack_BagScan_v1r0,,Char,14,,Example: CXA000001 0001,,Yes if marked as Collected,No,,,Master Data Dictionary,No,No,3/30/22,,,
1805,1805,692924902,Rapid Case Ascertainment,195399696,Operations,,,,,New,,525972260,Was the Connect participant diagnosed with cancer?,,Cancer Diagnosis,RCAOper_CancerFlag_v1r0,,Num,1,104430631,0 = No,,Yes,No,Operational variable. Nested under cancer occurrence,,Master Data Dictionary,No,No,11/25/22,Not nested (d_525972260),,
1806,1806,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,
1807,1807,692924902,Rapid Case Ascertainment,195399696,Operations,,,,,New,,793981056,"What occurrence number is this? (1, 2, 3, etc)",,Occurrence Number,RCAOper_OccurrenceNum_v1r0,,Num,2,,N/A,,Yes,No,"Will be used to track the number of occurrences for participant. Initial use: cancerOccurrences. Each occurrence goes in a separate Firestore doc. This is an integer value and tracks the number of the occurrences for the specific occurrence type. Ex: If a participant has been diagnosed with cancer twice, the occurrence number would be 1 for the first diagnosis, 2 for the second.",,Master Data Dictionary,No,No,12/20/23,Not Nested (d_793981056),,
1808,1808,692924902,Rapid Case Ascertainment,637153953,Occurrence,,,,,New,,345545422,What date was the participant identified as having cancer (the date of case ID)?,,Cancer Date,RCAOcc_CancerDt_v1r0,,ISO,24,,example: 2020-07-17T15:21:26.763Z,,Yes,No,Operational variable. Nested under cancer occurrence,,Master Data Dictionary,No,No,9/29/23,Nested (d_637153953_d_345545422),,
1809,1809,692924902,Rapid Case Ascertainment,637153953,Occurrence,740819233,What is the primary site of the cancer diagnosed on 'date of case ID'?,,,New,,149205077,What is the primary site of the cancer diagnosed on 'date of case ID'? Categorical,,Primary Site of Cancer,RCAOcc_PrimCancSite_v1r0,,Num,2,939782495,0=Anal,,Yes,No,Operational variable. Nested under cancer occurrence (637153953) and source question (740819233),,Master Data Dictionary,No,No,1/18/24,Nested (d_637153953_d_740819233_d_TBD),,
1810,1810,,,,,,,,,,,,,,,,,,,135725957,1=Bladder,,,,,,,,,,,,
1811,1811,,,,,,,,,,,,,,,,,,,518416174,2=Brain,,,,,,,,,,,,
1812,1812,,,,,,,,,,,,,,,,,,,847945207,3=Breast,,,,,,,,,,,,
1813,1813,,,,,,,,,,,,,,,,,,,283025574,4=Cervical,,,,,,,,,,,,
1814,1814,,,,,,,,,,,,,,,,,,,942970912,5=Colon/rectal,,,,,,,,,,,,
1815,1815,,,,,,,,,,,,,,,,,,,596122041,6=Esophageal,,,,,,,,,,,,
1816,1816,,,,,,,,,,,,,,,,,,,489400183,"7=Head and neck (Including cancers of the mouth, sinuses, nose, or throat. Not including brain or skin cancers.)",,,,,,,,,,,,
1817,1817,,,,,,,,,,,,,,,,,,,863246236,8=Kidney,,,,,,,,,,,,
1818,1818,,,,,,,,,,,,,,,,,,,607793249,9=Leukemia (blood and bone marrow),,,,,,,,,,,,
1819,1819,,,,,,,,,,,,,,,,,,,532172400,10=Liver,,,,,,,,,,,,
1820,1820,,,,,,,,,,,,,,,,,,,754745617,11=Lung or bronchial,,,,,,,,,,,,
1821,1821,,,,,,,,,,,,,,,,,,,665036297,12=Non-Hodgkin's lymphoma,,,,,,,,,,,,
1822,1822,,,,,,,,,,,,,,,,,,,200837530,13=Lymphoma,,,,,,,,,,,,
1823,1823,,,,,,,,,,,,,,,,,,,990319383,14=Melanoma (skin),,,,,,,,,,,,
1824,1824,,,,,,,,,,,,,,,,,,,487917585,15=Non-melanoma skin (basal or squamous),,,,,,,,,,,,
1825,1825,,,,,,,,,,,,,,,,,,,603181162,16=Ovarian,,,,,,,,,,,,
1826,1826,,,,,,,,,,,,,,,,,,,482225200,17=Pancreatic,,,,,,,,,,,,
1827,1827,,,,,,,,,,,,,,,,,,,295976386,18=Prostate,,,,,,,,,,,,
1828,1828,,,,,,,,,,,,,,,,,,,764891959,19=Stomach,,,,,,,,,,,,
1829,1829,,,,,,,,,,,,,,,,,,,248374037,20=Testicular,,,,,,,,,,,,
1830,1830,,,,,,,,,,,,,,,,,,,139822395,21=Thyroid,,,,,,,,,,,,
1831,1831,,,,,,,,,,,,,,,,,,,723614811,22=Uterine (endometrial),,,,,,,,,,,,
1832,1832,,,,,,,,,,,,,,,,,,,807835037,23=Other |__|,,,,,,,,,,,,
1833,1833,,,,,,,,,,,,,,,,,,,178420302,77=Unavailable/Unknown,,,,,,,,,,,,
1834,1834,692924902,Rapid Case Ascertainment,637153953,Occurrence,740819233,What is the primary site of the cancer diagnosed on 'date of case ID'?,,,New,,868006655,What is the primary site of the cancer diagnosed on 'date of case ID'? Text,,Primary Cancer Site- Other Describe,RCAOcc_OthCancerDesc_v1r0,,Char,800,,N/A,,Yes,No,Operational variable. Nested under cancer occurrence (637153953) and the source question (740819233). Only the cancer type should be entered (ex: Gallbladder Cancer) to minimize extraneous verbiage for the response.,,Master Data Dictionary,No,No,1/18/24,Nested (d_637153953_d_740819233_d_868006655),,
1835,1835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836,1836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1837,1837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1838,1838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1839,1839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1840,1840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1841,1841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1842,1842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1843,1843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1844,1844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1845,1845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1846,1846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1847,1847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1848,1848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1849,1849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1850,1850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1851,1851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852,1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1853,1853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1854,1854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1855,1855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,1856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857,1857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1858,1858,,,,,,,,,,,,,,,,,,,,,,Yes,No,Operational variable. Nested under cancer occurrence,,Master Data Dictionary,No,No,9/29/23,Nested (d_637153953_d_740819233_d_178420302),,
1859,1859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1860,1860,692924902,Rapid Case Ascertainment,637153953,Occurrence,,,,,New,,599128909,What is the ICD code for the primary cancer site diagnosed on 'date of case ID'?,,Primary Cx ICD,,,Char,800,,N/A,,Yes,No,Operational variable. Nested under cancer occurrence. Variable is text (alpha- numeric),,Master Data Dictionary,No,No,9/29/23,Nested (d_637153953_d_599128909),,
1861,1861,692924902,Rapid Case Ascertainment,637153953,Occurrence,,,,,New,,129461711,Which version of ICD coding did you use to report the primary cancer site?,,ICD Vers,RCAOcc_ICDCodeVer_v1r0,,Num,1,253857383,0 = ICD-O-3,,Yes,No,Operational variable. Nested under cancer occurrence,,Master Data Dictionary,No,No,9/29/23,Nested (d_637153953_d_129461711),,
1862,1862,,,,,,,,,,,,,,,,,,,570098144,1 = ICD 10,,,,,,,,,,,,
1863,1863,,,,,,,,,,,,,,,,,,,829764411,2 = ICD 9,,,,,,,,,,,,
1864,1864,,,,,,,,,,,,,,,,,,,807835037,55 = Other |__|,,,,,,,,,,,,
1865,1865,692924902,Rapid Case Ascertainment,637153953,Occurrence,,,,,New,,457270069,What is the preliminary stage information for the cancer diagnosed on 'date of case ID'?,,Prelim Cx Stage,RCAOcc_PrelimCancStg_v1r0,,Char,800,,N/A,,No,No,Operational variable. Nested under cancer occurrence,,Master Data Dictionary,No,No,9/29/23,Nested (d_637153953_d_457270069),,
1866,1866,692924902,Rapid Case Ascertainment,637153953,Occurrence,,,,,New,,772638539,How many tumors were reported for the cancer diagnosed on 'date of case ID'?,,N Tumors,RCAOcc_TumorNum_v1r0,,Num,3,,N/A,,Yes,No,Operational variable. Nested under cancer occurrence,,Master Data Dictionary,No,No,9/29/23,Nested (d_637153953_d_772638539),,
1867,1867,129084651,Survey,726699695,Background and Overall Health,,,,,New,3/31/23,794613585,GitHub/Survey Version for BOH,,BOH Surv Vers,SrvBOH_SrvVersionBOH_v1r0,,Char,11,,N/A,,Yes,No,,,Study Manager,No,No,3/22/23,,,
1868,1868,129084651,Survey,536735468,"Baseline Survey Status- Module Medications, Reproductive Health, Exercise, and Sleep",,,,,New,3/31/23,932127832,GitHub/Survey Version for MRE,,MRE Surv Vers,SrvMRE_SrvVersionMRE_v1r0,,Char,11,,N/A,,Yes,No,,,Study Manager,No,No,3/22/23,,,
1869,1869,129084651,Survey,716117817,Where You Live and Work,,,,,New,3/31/23,180097038,GitHub/Survey Version for LAW,,LAW Surv Vers,SrvLAW_SrvVersionLAW_v1r0,,Char,11,,N/A,,Yes,No,,,Study Manager,No,No,3/22/23,,,
1870,1870,129084651,Survey,965707586,"Smoking, Alcohol, and Sun Exposure",,,,,New,3/31/23,951528844,GitHub/Survey Version for SAS,,SAS Surv Vers,SrvSAS_SrvVersionSAS_v1r0,,Char,11,,N/A,,Yes,No,,,Study Manager,No,No,3/22/23,,,
1871,1871,129084651,Survey,299215535,Blood/Urine/Mouthwash,,,,,New,3/31/23,227848247,GitHub/Survey Version for Biospecimen Research,,Biospec Rsrch Surv Vers,SrvBio_SrvVersionBioR_v1r0,,Char,11,,N/A,,Yes,No,,,Study Manager,No,No,3/22/23,,,
1872,1872,129084651,Survey,826163434,Blood/Urine,,,,,New,3/31/23,220355297,GitHub/Survey Version for Biospecimen Clinical,,Biospec Clin Surv Vers,SrvBio_SrvVersionBioC_v1r0,,Char,11,,N/A,,Yes,No,,,Study Manager,No,No,3/31/23,,,
1873,1873,129084651,Survey,793330426,COVID-19,,,,,New,3/31/23,931332817,GitHub/Survey Version for COVID-19,,COV Surv Vers,SrvCov_SrvVersionCov_v1r0,,Char,11,,N/A,,Yes,No,,,Study Manager,No,No,3/22/23,,,
1874,1874,129084651,Survey,912367929,Menstrual cycle,,,,,New,3/31/23,901199566,GitHub/Survey Version for Menstrual Cycle,,Mens Surv Vers,SrvMC_SrvVersionMC_v1r0,,Char,11,,N/A,,Yes,No,,,Study Manager,No,No,3/22/23,,,
1875,1875,129084651,Survey,166676176,Social Security,,,,,New,3/31/23,628939958,GitHub/Survey Version for SSN,,SSN Surv Vers,SrvSS_SrvVersionSSN_v1r0,,Char,11,,N/A,,Yes,No,,,Study Manager,No,No,3/31/23,,,
1876,1876,129084651,Survey,390351864,Mouthwash,,,,,New,,850585325,GitHub/Survey Version for Mouthwash,,MW Surv Vers,SrvMW_SrvVersionMW_v1r0,,Char,11,,N/A,,Yes,No,,,Study Manager,No,No,10/18/23,,,
1877,1877,332961895,Study Manager,581036703,Metrics,,,,,New,6/6/23,376309404,Cumulative Number of Invitations,,Cumul Invite,SMMet_CumulInivit_v1r0,,Numeric,10,,N/A,,Yes,No,sum(d_512820379 = active ),,Study Manager,No,No,6/6/23,,,
1878,1878,332961895,Study Manager,581036703,Metrics,,,,,New,6/6/23,943911102,Cumulative Number of Passive Recruits,,Cumul Passive,SMMet_CumulPasRcrt_v1r0,,Numeric,6,,N/A,,Yes,No,"sum(d_512820379 = passive, verified )",,Study Manager,No,No,6/6/23,,,
1879,1879,332961895,Study Manager,581036703,Metrics,,,,,New,6/6/23,766328380,Cumulative Number of Verified Participants,,Cumul Verif,SMMet_CumulVerPt_v1r0,,Numeric,6,,N/A,,Yes,No,sum(d_821247024 = verified ) from start time,,Study Manager,No,No,6/6/23,,,
1880,1880,332961895,Study Manager,581036703,Metrics,,,,,New,6/6/23,364983714,Response Ratio - Proportion of Rerified among Invited,,RR Verif/Invited,SMMet_ResponseRatio_v1r0,,Numeric,6,,N/A,,Yes,No,sum(d_821247024 = verified )/sum(d_512820379 = active ),,Study Manager,No,No,6/6/23,,,
1881,1881,332961895,Study Manager,581036703,Metrics,,,,,New,6/6/23,371456538,Number of Invitations per Week,,Invited/Wk,SMMet_InvitationPerWk_v1r0,,Numeric,6,,N/A,,Yes,No,d_512820379 = active per week,,Study Manager,No,No,6/6/23,,,
1882,1882,332961895,Study Manager,581036703,Metrics,,,,,New,6/6/23,351360037,Number of Verified per Week,,Verif/wk,SMMet_VerifPerWk_v1r0,,Numeric,6,,N/A,,Yes,No,sum(d_821247024 = verified ) per week,,Study Manager,No,No,6/6/23,,,
1883,1883,332961895,Study Manager,581036703,Metrics,,,,,New,6/6/23,208787653,Cumulative Number of Participants with Any Baseline Specimens,,Cumul Any Base Spec,SMMet_CumulSpecimen_v1r0,,Numeric,6,,N/A,,Yes,No,sum(d_173836415_d_266600170_d_592099155==534621077 & biospeDonation),,Study Manager,No,No,6/6/23,Not yet in Flattened Tables but will be in Participants Table,,
1884,1884,332961895,Study Manager,581036703,Metrics,,,,,New,6/6/23,631412891,Proportion of Participants with Any Baseline Specimen among Invited,,Any Base Spec Among Invited,SMMet_SpecRRInvited_v1r0,,Numeric,6,,N/A,,Yes,No,Cumulative Specimens defined as any baseline blood or urine or mouthwash collected/Cumulative Invitations,,Study Manager,No,No,6/6/23,Not yet in Flattened Tables but will be in Participants Table,,
1885,1885,332961895,Study Manager,581036703,Metrics,,,,,New,6/6/23,161579135,Proportion of Participants with Any Baseline Specimen among Verified,,Any Base Spec Among Verified,SMMet_SpecRRVerified_v1r0,,Numeric,6,,N/A,,Yes,No,Cumulative Specimens defined as any baseline blood or urine or mouthwash collected/Cumulative verified,,Study Manager,No,No,6/6/23,Not yet in Flattened Tables but will be in Participants Table,,
1886,1886,332961895,Study Manager,581036703,Metrics,,,,,New,6/6/23,436503027,Number of Participants with Any Baseline Specimen per Week,,Any Base Spec/Wk,SMMet_SpecimenPerWk_v1r0,,Numeric,6,,N/A,,Yes,No,per week sum(d_173836415_d_266600170_d_592099155==534621077 & biospeDonation),,Study Manager,No,No,6/6/23,Not yet in Flattened Tables but will be in Participants Table,,
1887,1887,332961895,Study Manager,581036703,Metrics,,,,,New,6/6/23,558917383,"Number of Follow-Up Eligibile Participants, i.e. Verified - Withdrawn",,F/U Elig,SMMet_AvailForFollowUp_v1r0,,Numeric,6,,N/A,,Yes,No,total verified-sum(um(d_747006172 == 353358909 & d_831041022 == 104430631)),,Study Manager,No,No,6/6/23,Not yet in Flattened Tables but will be in Participants Table,,
1888,1888,290739590,Communications Tracking,487649453,Notification,,,,,,,588865165,notification_time: Autogenerated time notification was sent to recipient,,Time notification was sent,CTN_NotifTime_v1r0,,IS0,24,,example: 2020-07-17T15:21:26.763Z,,Yes,No,,,Master Data Dictionary,No,No,1/3/24,Notification Table,,
1889,1889,290739590,Communications Tracking,487649453,Notification,,,,,,,427337935,notification_title: Title of notification,,Title of notification,CTN_NotifTitle_v1r0,,Char,100,,example: """"Please complete a short survey about your samples"""",,Yes,No,,,Master Data Dictionary,No,No,1/3/24,Notification Table,,
1890,1890,290739590,Communications Tracking,487649453,Notification,,,,,,,679176350,notification_body: Contents of notification,,Contents of notification,CTN_NotifBody_v1r0,,Char,5000,,N/A,,Yes,Yes,,,Master Data Dictionary,No,No,1/3/24,Notification Table,,
1891,1891,290739590,Communications Tracking,487649453,Notification,,,,,,,881254965,uid: Unique ID,,Unique ID,CTN_UID_v1r0,,Char,28,,example: LpOsllPuFyVjYQmABt1dsM6oXLy5,,Yes,No,,,Master Data Dictionary,No,No,1/3/24,Notification Table,,
1892,1892,290739590,Communications Tracking,487649453,Notification,,,,,,,152833378,notificationSpecificationsID: Notification Specifications ID,,Notification Specifications ID,CTN_NotifSpecID_v1r0,,Char,36,,example: 044c14df-38cd-4b61-b808-df5465007fbd,,Yes,No,,,Master Data Dictionary,No,No,1/3/24,Notification Table,,
1893,1893,290739590,Communications Tracking,487649453,Notification,,,,,,,203748661,id: Notification ID,,Notification ID,CTN_ID_v1r0,,Char,36,,example: 044c14df-38cd-4b61-b808-df5465007fbd,,Yes,No,,,Master Data Dictionary,No,No,1/3/24,Notification Table,,
1894,1894,290739590,Communications Tracking,487649453,Notification,,,,,,,794681594,notificationType: Notification Type,,Notification Type,CTN_NotifType_v1r0,,Char,10,,example: email,,Yes,No,,,Master Data Dictionary,No,No,1/3/24,Notification Table,,
1895,1895,290739590,Communications Tracking,487649453,Notification,,,,,,,643126196,category: Notification Category,,Notification Category,CTN_Category_v1r0,,Char,120,,example: Baseline Clinical Biospecimen Survey Reminder,,Yes,No,,,Master Data Dictionary,No,No,1/3/24,Notification Table,,
1896,1896,290739590,Communications Tracking,487649453,Notification,,,,,,,620451066,attempt: Contact Attempt,,Contact Attempt,CTN_Attempt_v1r0,,Char,12,,example: 1st contact,,Yes,No,Goes up to 10 contact attempts,,Master Data Dictionary,No,No,1/3/24,Notification Table,,
1897,1897,290739590,Communications Tracking,487649453,Notification,,,,,,,919936693,read: Read Status,,Read Status,CTN_ReadStatus_v1r0,,Char,5,,example: TRUE,,Yes,No,,,Master Data Dictionary,No,No,1/3/24,Notification Table,,
1898,1898,290739590,Communications Tracking,708990554,SendGrid,,,,,,,961542949,delivered_status: Status of delivery (when an email has been accepted at the receiving server),,Status of Delivery,CTSG_DeliveredStatus_v1r0,,Char,4,,example: TRUE,,Yes,No,FALSE is null,,Master Data Dictionary,No,No,1/3/24,SendGrid Table,,
1899,1899,290739590,Communications Tracking,708990554,SendGrid,,,,,,,210884245,sg_message_id: SendGrid Message ID,,SG Message ID,CTSG_MsgID_v1r0,,Char,74,,example: WKYVp6WCR4G1GNJbjLmb2g.filterdrecv-canary-595b33ccbd-9dtgh-3-657MN04C-18.9,,Yes,No,,,Master Data Dictionary,No,No,1/3/24,SendGrid Table,,
1900,1900,290739590,Communications Tracking,708990554,SendGrid,,,,,,,270884875,delivered_timestamp: Autogenerated date/time of delivery (when an email has been accepted at the receiving server),,D/T of Delivery,CTSG_DeliveredTm_v1r0,,Date/Time,10,,example: 1701892812,,Yes,No,,,Master Data Dictionary,No,No,1/3/24,SendGrid Table,,
1901,1901,290739590,Communications Tracking,708990554,SendGrid,,,,,,,624384052,sg_event_id: unique ID associated with SendGrid event,,SendGrid Event ID,CTSG_EventID_v1r0,,Char,100,,example: OBNZlcmVkLTVtMjAxMzI7NTItQ1VMZXvsdBlTelJKYlBCc3lZSnlPQS0bNp,,Yes,No,,,Master Data Dictionary,No,No,1/3/24,SendGrid Table,,
1902,1902,290739590,Communications Tracking,708990554,SendGrid,,,,,,,650318908,notification_id: Notification ID,,Notification ID,CTSG_NotifID_v1r0,,Char,36,,example: 044c14df-38cd-4b61-b808-df5465007fbd,,Yes,No,,,Master Data Dictionary,No,No,1/3/24,SendGrid Table,,
1903,1903,290739590,Communications Tracking,708990554,SendGrid,,,,,,,957066681,delivered_date: Date of delivery (when an email has been accepted at the receiving server),,Date of Delivery,CTSG_DeliveredDt_v1r0,,IS0,24,,example: 2023-12-06T20:00:12.000Z,,Yes,No,,,Master Data Dictionary,No,No,1/3/24,SendGrid Table,,
1904,1904,290739590,Communications Tracking,708990554,SendGrid,,,,,,,464044428,processed_timestamp: Autogenerated timestamp that indicates whether an individual message has been received and prepared to be delivered by SendGrid,,Time Msg Received & Prep for SG Delivery,CTSG_ProcessedTm_v1r0,,Date/Time,10,,example: 1701892812,,Yes,No,,,Master Data Dictionary,No,No,1/3/24,SendGrid Table,,
1905,1905,290739590,Communications Tracking,708990554,SendGrid,,,,,,,609097744,processed_date: Date that the individual message has been received and prepared to be delivered by SendGrid,,Date Msg Received & Prep for SG Delivery,CTSG_ProcessedDt_v1r0,,IS0,24,,example: 2023-12-06T20:00:12.000Z,,Yes,No,,,Master Data Dictionary,No,No,1/3/24,SendGrid Table,,
1906,1906,290739590,Communications Tracking,708990554,SendGrid,,,,,,,108427288,processed_status: Status of if the message is being received and prepared to be delivered by SendGrid,,Status of Msg Received & Prep for SG Delivery,CTSG_ProcessedStat_v1r0,,Char,4,,example: TRUE,,Yes,No,FALSE is null,,Master Data Dictionary,No,No,1/3/24,SendGrid Table,,
1907,1907,290739590,Communications Tracking,708990554,SendGrid,,,,,,,895690836,open_date: Date message was opened,,Date Msg Opened,CTSG_OpenDt_v1r0,,IS0,24,,example: 2023-12-06T20:00:12.000Z,,Yes,No,,,Master Data Dictionary,No,No,1/3/24,SendGrid Table,,
1908,1908,290739590,Communications Tracking,708990554,SendGrid,,,,,,,431016617,open_timestamp: Autogenerated date/time message was opened,,D/T Msg Opened,CTSG_OpenTm_v1r0,,Date/Time,10,,example: 1701892812,,Yes,No,,,Master Data Dictionary,No,No,1/3/24,SendGrid Table,,
1909,1909,290739590,Communications Tracking,708990554,SendGrid,,,,,,,144538509,open_status: Status if whether email was opened,,Email Opened Status,CTSG_OpenStatus_v1r0,,Char,4,,example: TRUE,,Yes,No,FALSE is null,,Master Data Dictionary,No,No,1/3/24,SendGrid Table,,
1910,1910,290739590,Communications Tracking,708990554,SendGrid,,,,,,,637711912,dropped_date: Date email was dropped by SendGrid and will not be sent to recipient for delivery,,Date SG Dropped Email,CTSG_DroppedDt_v1r0,,IS0,24,,example: 2023-12-06T20:00:12.000Z,,Yes,No,,,Master Data Dictionary,No,No,1/3/24,SendGrid Table,,
1911,1911,290739590,Communications Tracking,708990554,SendGrid,,,,,,,403401964,dropped_status: Status if email was dropped by SendGrid,,SG Dropped Email - Status,CTSG_DroppedStatus_v1r0,,Char,4,,example: TRUE,,Yes,No,FALSE is null,,Master Data Dictionary,No,No,1/3/24,SendGrid Table,,
1912,1912,290739590,Communications Tracking,708990554,SendGrid,,,,,,,653907367,dropped_timestamp: Autogenerated date/time email was dropped by SendGrid,,D/T SG Dropped Email,CTSG_DroppedDT_v1r0,,Date/Time,10,,example: 1701892812,,Yes,No,,,Master Data Dictionary,No,No,1/3/24,SendGrid Table,,
1913,1913,290739590,Communications Tracking,708990554,SendGrid,,,,,,,153004469,dropped_reason: Reason why message was dropped (dropdown categories),,Reason Msg Dropped,CTSG_DroppedReason_v1r0,,Char,50,,example: Unsubscribed Address,,Yes,No,,,Master Data Dictionary,No,No,1/3/24,SendGrid Table,,
1914,1914,290739590,Communications Tracking,708990554,SendGrid,,,,,,,999062114,unsubscribe_date: Date recipient unsubscribed from email list,,Date Recipient Unsub From Email List,CTSG_UnsubDt_v1r0,,IS0,24,,example: 2023-12-06T20:00:12.000Z,,Yes,No,,,Master Data Dictionary,No,No,1/3/24,SendGrid Table,,
1915,1915,290739590,Communications Tracking,708990554,SendGrid,,,,,,,108082847,unsubscribe_status: Status if recipient unsubscribed from email list,,Recipient Unsub From Email List - Status,CTSG_UnsubStatus_v1r0,,Char,4,,example: TRUE,,Yes,No,FALSE is null,,Master Data Dictionary,No,No,1/3/24,SendGrid Table,,
1916,1916,290739590,Communications Tracking,708990554,SendGrid,,,,,,,121031661,unsubscribe_timestamp: Autogenerated date/time recipient unsubscribed from email list,,D/T Recipient Unsub From Email List,CTSG_UnsubDT_v1r0,,Date/Time,10,,example: 1701892812,,Yes,No,,,Master Data Dictionary,No,No,1/3/24,SendGrid Table,,
1917,1917,129084651,Survey,726699695,Background and Overall Health,,,,,,,479353866,"Based on the information you provided when you enrolled in this study, you are [Age from Enrollment Questionnaire] years old today. Is that correct?",,Age Confirm,SrvBOH_AgeCon_v1r0,AGECOR,Num,1,104430631,0 = No,,Yes,No,,,,,,,,Required Multiple Choice,
1918,1918,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,
1919,1919,129084651,Survey,726699695,Background and Overall Health,,,,,,,150344905,How old are you today?,,Age,SrvBOH_Age_v1r0,AGE,Num,2,,N/A,,Yes,Yes,Range check min=40 max=70,,,,,8/28/23,,Text only Response,Added range check to Notes
