conceptId_Primary Source,Primary Source,conceptId_Secondary Source,Secondary Source,conceptID_Source_Question,Source Question,conceptId_Question Text,Question Text,Variable Label,Variable Name,Connect Value for Select all that apply questions,Variable Type,Variable Length,conceptId_Format/Value,Connect Value,,Old Quest Value,Required,PII,Notes,,,,,Date added or modified,Question_Type,QuestID - radio button or multi-answer format questions questions.
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,
,Survey,,Background and Overall Health,,Digestive System Problems- Has a doctor or other health professional ever told you that you have or had any of these conditions? Select all that apply.,,Barrett's Esophagus,Barrett's Esophagus,SrvBOH_Barretts_v1r0,1,Num,1,,0=No,,,No,No,,,,,,,Optional Select All that Apply,MHGROUP3
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,
,Survey,,Background and Overall Health,,Digestive System Problems- Has a doctor or other health professional ever told you that you have or had any of these conditions? Select all that apply.,,Irritable Bowel Syndrome,Irritable Bowel Syndrome,SrvBOH_IBS_v1r0,2,Num,1,,0=No,,,No,No,,,,,,,Optional Select All that Apply,MHGROUP3
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,
,Survey,,Background and Overall Health,,Digestive System Problems- Has a doctor or other health professional ever told you that you have or had any of these conditions? Select all that apply.,,Inflammatory Bowel Disease,Inflammatory Bowel Disease,SrvBOH_IBD_v1r0,3,Num,1,,0=No,,,No,No,,,,,,,Optional Select All that Apply,MHGROUP3
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,
,Survey,,Background and Overall Health,,Digestive System Problems- Has a doctor or other health professional ever told you that you have or had any of these conditions? Select all that apply.,,Diverticulitis or Diverticulosis,Diverticulitis or Diverticulosis,SrvBOH_Divert_v1r0,4,Num,1,,0=No,,,No,No,,,,,,,Optional Select All that Apply,MHGROUP3
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,
,Survey,,Background and Overall Health,,Digestive System Problems- Has a doctor or other health professional ever told you that you have or had any of these conditions? Select all that apply.,,Ulcerative Colitis,Ulcerative Colitis,SrvBOH_UC_v1r0,5,Num,1,,0=No,,,No,No,,,,,,,Optional Select All that Apply,MHGROUP3
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,
,Survey,,Background and Overall Health,,Digestive System Problems- Has a doctor or other health professional ever told you that you have or had any of these conditions? Select all that apply.,,Crohn's Disease,Crohn's Disease,SrvBOH_Chrons_v1r0,6,Num,1,,0=No,,,No,No,,,,,,,Optional Select All that Apply,MHGROUP3
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,
,Survey,,Background and Overall Health,,Digestive System Problems- Has a doctor or other health professional ever told you that you have or had any of these conditions? Select all that apply.,,Celiac Disease (also known as Gluten-Sensitive Enteropathy),Celiac Disease (also known as Gluten-Sensitive Enteropathy),SrvBOH_Celiac_v1r0,7,Num,1,,0=No,,,No,No,,,,,,,Optional Select All that Apply,MHGROUP3
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,
,Survey,,Background and Overall Health,,Digestive System Problems- Has a doctor or other health professional ever told you that you have or had any of these conditions? Select all that apply.,,Gallstones (Biliary Stones),Gallstones (Biliary Stones),SrvBOH_Gallstones_v1r0,8,Num,1,,0=No,,,No,No,,,,,,,Optional Select All that Apply,MHGROUP3
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,
,Survey,,Background and Overall Health,,Digestive System Problems- Has a doctor or other health professional ever told you that you have or had any of these conditions? Select all that apply.,,Liver Cirrhosis,Liver Cirrhosis,SrvBOH_Cirrhosis_v1r0,9,Num,1,,0=No,,,No,No,,,,,,,Optional Select All that Apply,MHGROUP3
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,
,Survey,,Background and Overall Health,,Digestive System Problems- Has a doctor or other health professional ever told you that you have or had any of these conditions? Select all that apply.,,Pancreatitis,Pancreatitis,SrvBOH_Pancreatitis_v1r0,10,Num,1,,0=No,,,No,No,,,,,,,Optional Select All that Apply,MHGROUP3
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,
,Survey,,Background and Overall Health,,Digestive System Problems- Has a doctor or other health professional ever told you that you have or had any of these conditions? Select all that apply.,,None of the above,NO DIGESTIVE SYSTEM PROBLEMS,SrvBOH_NoDIgestive_v1r0,88,Num,1,,0=No,,,No,No,Only can be selected if no other variables selected in MHGROUP3,,,,,9/23/21,Optional Select All that Apply,MHGROUP3
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,
,Survey,,Background and Overall Health,,How old were you when a doctor or other health professional first told you that you have or had Esophageal Acid Reflux (GERD) ?,,Age at diagnosis,Esophageal Acid Reflux (GERD) diagnosis age,SrvBOH_GERDAge_v1r0,GERD_AGE ,Num,2,,N/A,,,No,No,Only display if MHGROUP3= Esophageal Acid Reflux (GERD),,,,,9/28/21,Or (xor=) Question (either/or text boxes without radio button),GERD 
,Survey,,Background and Overall Health,,How old were you when a doctor or other health professional first told you that you have or had Esophageal Acid Reflux (GERD) ?,,Year at diagnosis,Esophageal Acid Reflux (GERD) diagnosis year,SrvBOH_GERDYear_v1r0,GERD_YEAR,Year,4,,N/A,,,No,No,Only display if MHGROUP3= Esophageal Acid Reflux (GERD),,,,,9/28/21,Or (xor=) Question (either/or text boxes without radio button),GERD
,Survey,,Background and Overall Health,,How old were you when a doctor or other health professional first told you that you have or had Barrett's Esophagus?,,Age at diagnosis,Barrett's Esophagus diagnosis age,SrvBOH_BarrettsAge_v1r0,BARESO_AGE,Num,2,,N/A,,,No,No,Only display if MHGROUP3= Barrett's Esophagus,,,,,9/28/21,Or (xor=) Question (either/or text boxes without radio button),BARESO
,Survey,,Background and Overall Health,,How old were you when a doctor or other health professional first told you that you have or had Barrett's Esophagus?,,Year at diagnosis,Barrett's Esophagus diagnosis year,SrvBOH_BarrettsYr_v1r0,BARESO_YEAR ,Year,4,,N/A,,,No,No,Only display if MHGROUP3= Barrett's Esophagus,,,,,9/28/21,Or (xor=) Question (either/or text boxes without radio button),BARESO 
,Survey,,Background and Overall Health,,How old were you when a doctor or other health professional first told you that you have or had Irritable Bowel Syndrome diagnosis age?,,Age at diagnosis,Irritable Bowel Syndrome diagnosis age,SrvBOH_IBSAge_v1r0,IBS_AGE,Num,2,,N/A,,,No,No,Only display if MHGROUP3= Irritable Bowel Syndrome diagnosis age,,,,,9/28/21,Or (xor=) Question (either/or text boxes without radio button),IBS
,Survey,,Background and Overall Health,,How old were you when a doctor or other health professional first told you that you have or had Irritable Bowel Syndrome diagnosis age?,,Year at diagnosis,Irritable Bowel Syndrome diagnosis year,SrvBOH_IBSYear_v1r0,IBS_YEAR,Year,4,,N/A,,,No,No,Only display if MHGROUP3= Irritable Bowel Syndrome diagnosis age,,,,,9/28/21,Or (xor=) Question (either/or text boxes without radio button),IBS
,Survey,,Background and Overall Health,,How old were you when a doctor or other health professional first told you that you have or had Inflammatory Bowel Disease?,,Age at diagnosis,Inflammatory Bowel Disease diagnosis age,SrvBOH_IBDAge_v1r0,IBD_AGE ,Num,2,,N/A,,,No,No,Only display if MHGROUP3= Inflammatory Bowel Disease,,,,,9/28/21,Or (xor=) Question (either/or text boxes without radio button),IBD 
,Survey,,Background and Overall Health,,How old were you when a doctor or other health professional first told you that you have or had Inflammatory Bowel Disease?,,Year at diagnosis,Inflammatory Bowel Disease diagnosis year,SrvBOH_IBDYear_v1r0,IBD_YEAR,Year,4,,N/A,,,No,No,Only display if MHGROUP3= Inflammatory Bowel Disease,,,,,9/28/21,Or (xor=) Question (either/or text boxes without radio button),IBD
,Survey,,Background and Overall Health,,How old were you when a doctor or other health professional first told you that you have or had Diverticulitis or Diverticulosis?,,Age at diagnosis,Diverticulitis or Diverticulosis age,SrvBOH_DivertAge_v1r0,DIVERT_AGE,Num,2,,N/A,,,No,No,Only display if MHGROUP3= Diverticulitis or Diverticulosis,,,,,9/28/21,Or (xor=) Question (either/or text boxes without radio button),DIVERT
,Survey,,Background and Overall Health,,How old were you when a doctor or other health professional first told you that you have or had Diverticulitis or Diverticulosis?,,Year at diagnosis,Diverticulitis or Diverticulosis year,SrvBOH_DivertYear_v1r0,DIVERT_YEAR ,Year,4,,N/A,,,No,No,Only display if MHGROUP3= Diverticulitis or Diverticulosis,,,,,9/28/21,Or (xor=) Question (either/or text boxes without radio button),DIVERT 
,Survey,,Background and Overall Health,,How old were you when a doctor or other health professional first told you that you have or had Ulcerative Colitis?,,Age at diagnosis,Ulcerative Colitis age,SrvBOH_UVAge_v1r0,UC_AGE,Num,2,,N/A,,,No,No,Only display if MHGROUP3= Ulcerative Colitis,,,,,9/28/21,Or (xor=) Question (either/or text boxes without radio button),UC
,Survey,,Background and Overall Health,,How old were you when a doctor or other health professional first told you that you have or had Ulcerative Colitis?,,Year at diagnosis,Ulcerative Colitis year,SrvBOH_UCYear_v1r0,UC_YEAR,Year,4,,N/A,,,No,No,Only display if MHGROUP3= Ulcerative Colitis,,,,,9/28/21,Or (xor=) Question (either/or text boxes without radio button),UC
,Survey,,Background and Overall Health,,How old were you when a doctor or other health professional first told you that you have or had Crohn's Disease ?,,Age at diagnosis,Crohn's Disease age,SrvBOH_ChronsAge_v1r0,CD_AGE ,Num,2,,N/A,,,No,No,Only display if MHGROUP3= Crohn's Disease,,,,,9/28/21,Or (xor=) Question (either/or text boxes without radio button),CD 
,Survey,,Background and Overall Health,,How old were you when a doctor or other health professional first told you that you have or had Crohn's Disease ?,,Year at diagnosis,Crohn's Disease year,SrvBOH_ChronsYear_v1r0,CD_YEAR,Year,4,,N/A,,,No,No,Only display if MHGROUP3= Crohn's Disease,,,,,9/28/21,Or (xor=) Question (either/or text boxes without radio button),CD
,Survey,,Background and Overall Health,,How old were you when a doctor or other health professional first told you that you have or had Celiac Disease?,,Age at diagnosis,Celiac Disease (also known as Gluten-Sensitive Enteropathy) age,SrvBOH_CeliacAge_v1r0,CCD_AGE ,Num,2,,N/A,,,No,No,Only display if MHGROUP3= Celiac Disease,,,,,9/28/21,Or (xor=) Question (either/or text boxes without radio button),CCD
,Survey,,Background and Overall Health,,How old were you when a doctor or other health professional first told you that you have or had Celiac Disease?,,Year at diagnosis,Celiac Disease (also known as Gluten-Sensitive Enteropathy) year,SrvBOH_CeliacYear_v1r0,CCD_YEAR,Year,4,,N/A,,,No,No,Only display if MHGROUP3= Celiac Disease,,,,,9/28/21,Or (xor=) Question (either/or text boxes without radio button),CCD
,Survey,,Background and Overall Health,,How old were you when a doctor or other health professional first told you that you have or had Gallstones (Biliary Stones) ?,,Age at diagnosis,Gallstones (Biliary Stones) age,SrvBOH_GallstonesAge_v1r0,GALL_AGE,Num,2,,N/A,,,No,No,Only display if MHGROUP3= Gallstones (Biliary Stones),,,,,9/28/21,Or (xor=) Question (either/or text boxes without radio button),GALL
,Survey,,Background and Overall Health,,How old were you when a doctor or other health professional first told you that you have or had Gallstones (Biliary Stones) ?,,Year at diagnosis,Gallstones (Biliary Stones) year,SrvBOH_GallstonesYear_v1r0,GALL_YEAR ,Year,4,,N/A,,,No,No,Only display if MHGROUP3= Gallstones (Biliary Stones),,,,,9/28/21,Or (xor=) Question (either/or text boxes without radio button),GALL 
,Survey,,Background and Overall Health,,How old were you when a doctor or other health professional first told you that you have or had Liver Cirrhosis?,,Age at diagnosis,Liver Cirrhosis age,SrvBOH_CirrhosisAge_v1r0,LIVCIRR_AGE,Num,2,,N/A,,,No,No,Only display if MHGROUP3= Liver Cirrhosis,,,,,9/28/21,Or (xor=) Question (either/or text boxes without radio button),LIVCIRR
,Survey,,Background and Overall Health,,How old were you when a doctor or other health professional first told you that you have or had Liver Cirrhosis?,,Year at diagnosis,Liver Cirrhosis year,SrvBOH_CirrhosisYear_v1r0,LIVCIRR_YEAR,Year,4,,N/A,,,No,No,Only display if MHGROUP3= Liver Cirrhosis,,,,,9/28/21,Or (xor=) Question (either/or text boxes without radio button),LIVCIRR
,Survey,,Background and Overall Health,,How old were you when a doctor or other health professional first told you that you have or had Pancreatitis?,,Age at diagnosis,Pancreatitis age,SrvBOH_PancreatitisAge_v1r0,PANCREA_AGE,Num,2,,N/A,,,No,No,Only display if MHGROUP3= Pancreatitis,,,,,9/28/21,Or (xor=) Question (either/or text boxes without radio button),PANCREA
,Survey,,Background and Overall Health,,How old were you when a doctor or other health professional first told you that you have or had Pancreatitis?,,Year at diagnosis,Pancreatitis year,SrvBOH_PancreatitisYr_v1r0,PANCREA_YEAR,Year,4,,N/A,,,No,No,Only display if MHGROUP3= Pancreatitis,,,,,9/28/21,Or (xor=) Question (either/or text boxes without radio button),PANCREA
,Survey,,Background and Overall Health,,"Thyroid, Diabetes, Graves - Has a doctor or other health professional ever told you that you have or had any of these conditions? Select all that apply.",,Thyroid Disorder (Overactive or Underactive Thyroid),Thyroid Disorder (Overactive or Underactive Thyroid),SrvBOH_Thyroid_v1r0,0,Num,1,,0=No,,,No,No,,,,,,,Optional Select All that Apply,MHGROUP4
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,
,Survey,,Background and Overall Health,,"Thyroid, Diabetes, Graves - Has a doctor or other health professional ever told you that you have or had any of these conditions? Select all that apply.",,Diabetes,Diabetes,SrvBOH_Diabetes_v1r0,1,Num,1,,0=No,,,No,No,,,,,,,Optional Select All that Apply,MHGROUP4
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,
,Survey,,Background and Overall Health,,"Thyroid, Diabetes, Graves - Has a doctor or other health professional ever told you that you have or had any of these conditions? Select all that apply.",,Graves' Disease,Graves' Disease,SrvBOH_Graves_v1r0,2,Num,1,,0=No,,,No,No,,,,,,,Optional Select All that Apply,MHGROUP4
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,
,Survey,,Background and Overall Health,,"Thyroid, Diabetes, Graves - Has a doctor or other health professional ever told you that you have or had any of these conditions? Select all that apply.",,None of the above,NO MHGROUP4 conditions,SrvBOH_NoGroup4_v1r0,88,Num,1,,0=No,,,No,No,Only can be selected if no other variables selected in MHGROUP4,,,,,9/23/21,Optional Select All that Apply,MHGROUP4
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,
,Survey,,Background and Overall Health,,How old were you when a doctor or other health professional first told you that you have or had Thyroid Disorder?,,Age at diagnosis,Thyroid Disorder (Overactive or Underactive Thyroid) age,SrvBOH_ThyroidAge_v1r0,THYROID_AGE ,Num,2,,N/A,,,No,No,Only display if MHGROUP4 = Thyroid Disorder (Overactive or Underactive Thyroid),,,,,9/28/21,Or (xor=) Question (either/or text boxes without radio button),THYROID
,Survey,,Background and Overall Health,,How old were you when a doctor or other health professional first told you that you have or had Thyroid Disorder?,,Year at diagnosis,Thyroid Disorder (Overactive or Underactive Thyroid) year,SrvBOH_ThyroidYear_v1r0,THYROID_YEAR,Year,4,,N/A,,,No,No,Only display if MHGROUP4 = Thyroid Disorder (Overactive or Underactive Thyroid),,,,,9/28/21,Or (xor=) Question (either/or text boxes without radio button),THYROID
,Survey,,Background and Overall Health,,,,Which type of diabetes did a doctor or other health professional tell you that you have or had?,Diabetes type,SrvBOH_DiabetesType_v1r0,DM,Num,2,,0 = Type 1,,1 = Type 1,No,No,Only display if MHGROUP4 = diabetes,,,,,,Optional Multiple Choice,
,,,,,,,,,,,,,,1 = Type 2,,2 = Type 2,,,,,,,,,,
,,,,,,,,,,,,,,77 = Unavailable/Unknown,,77 = Don't know,,,,,,,,6/24/21,,
,Survey,,Background and Overall Health,,How old were you when a doctor or other health professional first told you that you have or had Diabetes?,,Age at diagnosis,Diabetes age,SrvBOH_DiabetesAge_v1r0,DM2_AGE,Num,2,,N/A,,,No,No,Only display if MHGROUP4 = diabetes,,,,,9/28/21,Or (xor=) Question (either/or text boxes without radio button),DM2
,Survey,,Background and Overall Health,,How old were you when a doctor or other health professional first told you that you have or had Diabetes?,,Year at diagnosis,Diabetes year,SrvBOH_DiabetesYear_v1r0,DM2_YEAR ,Year,4,,N/A,,,No,No,Only display if MHGROUP4 = diabetes,,,,,9/28/21,Or (xor=) Question (either/or text boxes without radio button),DM2
,Survey,,Background and Overall Health,,How old were you when a doctor or other health professional first told you that you have or hay Graves' Disease?,,Age at diagnosis,Graves' Disease age,SrvBOH_GravesAge_v1r0,GRAVES_AGE,Num,2,,N/A,,,No,No,Only display if MHGROUP4 = Grave's disease,,,,,9/28/21,Or (xor=) Question (either/or text boxes without radio button),GRAVES
,Survey,,Background and Overall Health,,How old were you when a doctor or other health professional first told you that you have or hay Graves' Disease?,,Year at diagnosis,Graves' Disease year,SrvBOH_GravesYear_v1r0,GRAVES_YEAR,Year,4,,N/A,,,No,No,Only display if MHGROUP4 = Grave's disease,,,,,9/28/21,Or (xor=) Question (either/or text boxes without radio button),GRAVES
,Survey,,Background and Overall Health,,Kidney Disease- Has a doctor or other health professional ever told you that you have or had any of these conditions? Select all that apply.,,Kidney Stones,Kidney Stones,SrvBOH_KS_v1r0,0,Num,1,,0=No,,,No,No,,,,,,,Optional Select All that Apply,MHGROUP5
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,
,Survey,,Background and Overall Health,,Kidney Disease- Has a doctor or other health professional ever told you that you have or had any of these conditions? Select all that apply.,,Chronic Kidney Disease (Also Known as Chronic Kidney Failure),Chronic Kidney Disease (Also Known as Chronic Kidney Failure),SrvBOH_CKD_v1r0,1,Num,1,,0=No,,,No,No,,,,,,,Optional Select All that Apply,MHGROUP5
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,
,Survey,,Background and Overall Health,,Kidney Disease- Has a doctor or other health professional ever told you that you have or had any of these conditions? Select all that apply.,,None of the above,NO MHGROUP5 conditions,SrvBOH_NoKidneyDis_v1r0,88,Num,1,,0=No,,,No,No,Only can be selected if no other variables selected in MHGROUP5,,,,,9/23/21,Optional Select All that Apply,MHGROUP5
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,
,Survey,,Background and Overall Health,,How old were you when a doctor or other health professional first told you that you have or had Kidney Stones?,,Age at diagnosis,Kidney Stones age,SrvBOH_KSAge_v1r0,KIDNEY_AGE ,Num,2,,N/A,,,No,No,Only display if MHGROUP5 = Kidney Stones,,,,,9/28/21,Or (xor=) Question (either/or text boxes without radio button),KIDNEY
,Survey,,Background and Overall Health,,How old were you when a doctor or other health professional first told you that you have or had Kidney Stones?,,Year at diagnosis,Kidney Stones year,SrvBOH_KSYear_v1r0,KIDNEY_YEAR,Year,4,,N/A,,,No,No,Only display if MHGROUP5 = Kidney Stones,,,,,9/28/21,Or (xor=) Question (either/or text boxes without radio button),KIDNEY
,Survey,,Background and Overall Health,,How old were you when a doctor or other health professional first told you that you have or had Chronic Kidney Disease?,,Age at diagnosis,Chronic Kidney Disease (Also Known as Chronic Kidney Failure) age,SrvBOH_CKDAge_v1r0,CKD_AGE,Num,2,,N/A,,,No,No,Only display if MHGROUP5 = Chronic Kidney Disease (Also Known as Chronic Kidney Failure),,,,,9/28/21,Or (xor=) Question (either/or text boxes without radio button),CKD
,Survey,,Background and Overall Health,,How old were you when a doctor or other health professional first told you that you have or had Chronic Kidney Disease?,,Year at diagnosis,Chronic Kidney Disease (Also Known as Chronic Kidney Failure) year,SrvBOH_CKDYear_v1r0,CKD_YEAR ,Year,4,,N/A,,,No,No,Only display if MHGROUP5 = Chronic Kidney Disease (Also Known as Chronic Kidney Failure),,,,,9/28/21,Or (xor=) Question (either/or text boxes without radio button),CKD
,Survey,,Background and Overall Health,,Systemic and Other Problems- Has a doctor or other health professional ever told you that you have or had any of these conditions? Select all that apply.,,Rheumatoid Arthritis,Rheumatoid Arthritis,SrvBOH_RA_v1r0,0,Num,1,,0=No,,,No,No,,,,,,,Optional Select All that Apply,MHGROUP6
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,
,Survey,,Background and Overall Health,,Systemic and Other Problems- Has a doctor or other health professional ever told you that you have or had any of these conditions? Select all that apply.,,Lupus,Lupus,SrvBOH_Lupus_v1r0,1,Num,1,,0=No,,,No,No,,,,,,,Optional Select All that Apply,MHGROUP6
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,
,Survey,,Background and Overall Health,,Systemic and Other Problems- Has a doctor or other health professional ever told you that you have or had any of these conditions? Select all that apply.,,Gout,Gout,SrvBOH_Gout_v1r0,2,Num,1,,0=No,,,No,No,,,,,,,Optional Select All that Apply,MHGROUP6
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,
,Survey,,Background and Overall Health,,Systemic and Other Problems- Has a doctor or other health professional ever told you that you have or had any of these conditions? Select all that apply.,,None of the above,NO MHGROUP6 conditions,SrvBOH_NoGroup6_v1r0,88,Num,1,,0=No,,,No,No,Only can be selected if no other variables selected in MHGROUP6,,,,,9/23/21,Optional Select All that Apply,MHGROUP6
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,
,Survey,,Background and Overall Health,,How old were you when a doctor or other health professional first told you that you have or had Rheumatoid Arthritis ?,,Age at diagnosis,Rheumatoid Arthritis age,SrvBOH_RAAge_V1r0,RA_AGE ,Num,2,,N/A,,,No,No,Only display if MHGROUP6 = Rheumatoid Arthritis,,,,,9/28/21,Or (xor=) Question (either/or text boxes without radio button),RA 
,Survey,,Background and Overall Health,,How old were you when a doctor or other health professional first told you that you have or had Rheumatoid Arthritis ?,,Year at diagnosis,Rheumatoid Arthritis year,SrvBOH_RAYear_v1r0,RA_YEAR,Year,4,,N/A,,,No,No,Only display if MHGROUP6 = Rheumatoid Arthritis,,,,,9/28/21,Or (xor=) Question (either/or text boxes without radio button),RA
,Survey,,Background and Overall Health,,How old were you when a doctor or other health professional first told you that you have or had Lupus?,,Age at diagnosis,Lupus age,SrvBOH_LupusAge_v1r0,LUPUS_AGE,Num,2,,N/A,,,No,No,Only display if MHGROUP6 = Lupus,,,,,9/28/21,Or (xor=) Question (either/or text boxes without radio button),LUPUS
,Survey,,Background and Overall Health,,How old were you when a doctor or other health professional first told you that you have or had Lupus?,,Year at diagnosis,Lupus year,SrvBOH_LupusYear_v1r0,LUPUS_YEAR ,Year,4,,N/A,,,No,No,Only display if MHGROUP6 = Lupus,,,,,9/28/21,Or (xor=) Question (either/or text boxes without radio button),LUPUS 
,Survey,,Background and Overall Health,,How old were you when a doctor or other health professional first told you that you have or had gout?,,Age at diagnosis,Gout age,SrvBOH_GoutAge_v1r0,GOUT_AGE,Num,2,,N/A,,,No,No,Only display if MHGROUP6 = Gout,,,,,10/13/21,Or (xor=) Question (either/or text boxes without radio button),GOUT
,Survey,,Background and Overall Health,,How old were you when a doctor or other health professional first told you that you have or had gout?,,Year at diagnosis,Gout year,SrvBOH_GoutYear_v1r0,GOUT_YEAR ,Year,4,,N/A,,,No,No,Only display if MHGROUP6 = Gout,,,,,10/13/21,Or (xor=) Question (either/or text boxes without radio button),GOUT 
,Survey,,Background and Overall Health,,Sexually Transmitted Diseases and Infections- Has a doctor or other health professional ever told you that you have or had any of these conditions? Select all that apply.,,Infectious Mononucleosis (“Mono” or “Kissing Disease”),Infectious Mononucleosis (“Mono” or “Kissing Disease”),SrvBOH_Mono_v1r0,0,Num,1,,0=No,,,No,No,,,,,,9/28/21,Optional Select All that Apply,MHGROUP7
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,
,Survey,,Background and Overall Health,,Sexually Transmitted Diseases and Infections- Has a doctor or other health professional ever told you that you have or had any of these conditions? Select all that apply.,,Shingles (Herpes Zoster),Shingles (Herpes Zoster),SrvBOH_Shingles_v1r0,1,Num,1,,0=No,,,No,No,,,,,,,Optional Select All that Apply,MHGROUP7
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,
,Survey,,Background and Overall Health,,Sexually Transmitted Diseases and Infections- Has a doctor or other health professional ever told you that you have or had any of these conditions? Select all that apply.,,Chronic Hepatitis B or C,Chronic Hepatitis B or C,SrvBOH_Hepatitis_v1r0,2,Num,1,,0=No,,,No,No,,,,,,,Optional Select All that Apply,MHGROUP7
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,
,Survey,,Background and Overall Health,,Sexually Transmitted Diseases and Infections- Has a doctor or other health professional ever told you that you have or had any of these conditions? Select all that apply.,,Gonorrhea,Gonorrhea,SrvBOH_Gonorrhea_v1r0,3,Num,1,,0=No,,,No,No,,,,,,,Optional Select All that Apply,MHGROUP7
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,
,Survey,,Background and Overall Health,,Sexually Transmitted Diseases and Infections- Has a doctor or other health professional ever told you that you have or had any of these conditions? Select all that apply.,,Chlamydia,Chlamydia,SrvBOH_Chlamydia_v1r0,4,Num,1,,0=No,,,No,No,,,,,,,Optional Select All that Apply,MHGROUP7
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,
,Survey,,Background and Overall Health,,Sexually Transmitted Diseases and Infections- Has a doctor or other health professional ever told you that you have or had any of these conditions? Select all that apply.,,Trichomoniasis,Trichomoniasis,SrvBOH_Trich_v1r0,5,Num,1,,0=No,,,No,No,,,,,,,Optional Select All that Apply,MHGROUP7
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,
,Survey,,Background and Overall Health,,Sexually Transmitted Diseases and Infections- Has a doctor or other health professional ever told you that you have or had any of these conditions? Select all that apply.,,Syphilis,Syphilis,SrvBOH_Syphilis_v1r0,6,Num,1,,0=No,,,No,No,,,,,,,Optional Select All that Apply,MHGROUP7
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,
,Survey,,Background and Overall Health,,Sexually Transmitted Diseases and Infections- Has a doctor or other health professional ever told you that you have or had any of these conditions? Select all that apply.,,Genital Warts,Genital Warts,SrvBOH_Warts_v1r0,7,Num,1,,0=No,,,No,No,,,,,,,Optional Select All that Apply,MHGROUP7
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,
,Survey,,Background and Overall Health,,Sexually Transmitted Diseases and Infections- Has a doctor or other health professional ever told you that you have or had any of these conditions? Select all that apply.,,HPV,HPV,SrvBOH_HPV_v1r0,8,Num,1,,0=No,,,No,No,,,,,,,Optional Select All that Apply,MHGROUP7
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,
,Survey,,Background and Overall Health,,Sexually Transmitted Diseases and Infections- Has a doctor or other health professional ever told you that you have or had any of these conditions? Select all that apply.,,HIV/AIDS,HIV/AIDS,SrvBOH_HIV_v1r0,9,Num,1,,0=No,,,No,No,,,,,,,Optional Select All that Apply,MHGROUP7
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,
,Survey,,Background and Overall Health,,Sexually Transmitted Diseases and Infections- Has a doctor or other health professional ever told you that you have or had any of these conditions? Select all that apply.,,None of the above,I have not had any of these conditions,SrvBOH_NoSTD_v1r0,88,Num,1,,0=No,,,No,No,Only can be selected if no other variables selected in MHGROUP7,,,,,9/23/21,Optional Select All that Apply,MHGROUP7
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,
,Survey,,Background and Overall Health,,How old were you when a doctor or other health professional first told you that you have or had Infectious Mononucleosis (â€œMonoâ€ or â€œKissing Diseaseâ€)?,,Age at diagnosis,"Infectious Mononucleosis (""Mono"" or ""Kissing Disease"") diagnosis age",SrvBOH_MonoAge_v1r0,MONO_AGE ,Num,2,,N/A,,,No,No,Only display if MHGROUP7= Mono,,,,,9/28/21,Or (xor=) Question (either/or text boxes without radio button),MONO 
,Survey,,Background and Overall Health,,How old were you when a doctor or other health professional first told you that you have or had Infectious Mononucleosis (â€œMonoâ€ or â€œKissing Diseaseâ€)?,,Year at diagnosis,"Infectious Mononucleosis (""Mono"" or ""Kissing Disease"") diagnosis year",SrvBOH_MonoYear_v1r0,MONO_YEAR,Year,4,,N/A,,,No,No,Only display if MHGROUP7= Mono,,,,,9/28/21,Or (xor=) Question (either/or text boxes without radio button),MONO
