conceptId_Primary Source,Primary Source,conceptId_Secondary Source,Secondary Source,conceptID_Source_Question,Source Question,conceptId_Question Text,Question Text,Variable Label,Variable Name,Quest Value for Select all that apply questions,Variable Type,Variable Length,conceptId_Format/Value,Connect Value,,Old Quest Value,Required,PII,Notes,,,,,Date Added or Modified,,Quest_Source Question
,,,,,,,,,,,,,,77 = Unavailable/Unknown,,77= Don't know,,,,,,,,,,
,Survey,,Where You Live and Work,,"Address 3- What [is/was] the main source of water that you [drink/drank] at [insert address from HOMEADD1 – HOMEADD3/current address/the 2nd address you provided/etc.]? Please think about water you used to make drinks such as coffee and tea, and  plain water that you  [drink/drank].       ",,"Address 3- What [is/was] the main source of water that you [drink/drank] at [insert address from HOMEADD1 – HOMEADD3/current address/the 2nd address you provided/etc.]? Please think about water you used to make drinks such as coffee and tea, and  plain water that you  [drink/drank]. Please describe [text box]       ",Other: Please describe,SrvLAW_HomeWtr3_3_Oth_v1r0,HOMEWTR3_3_OTH,Char,300,,N/A,,No,No,No,,,,,,3/10/22,,HOMEWTR3_3
,Survey,,Where You Live and Work,,Address 4- What [is/was] the source of water to [insert address from HOMEADD1 – HOMEADD3/ current address/the 2nd address you provided/etc.]?,,Address 4- What [is/was] the source of water to [insert address from HOMEADD1 – HOMEADD3/ current address/the 2nd address you provided/etc.]?,Primary water source,SrvLAW_4PrimaryWater1_v1r0,HOMEWTR1_4,Num,1,,0= A public or municipal water supply,,1= A public or municipal water supply,No,No,,,,,,3/10/22,,HOMEWTR1_4
,,,,,,,,,,,,,,"1= A rural water system, community well, or spring serving at least 25 people or 15 households",,"2= A rural water system, community well, or spring serving at least 25 people or 15 households",,,,,,,,,,
,,,,,,,,,,,,,,2= Private well or spring,,3= Private well or spring,,,,,,,,,,
,,,,,,,,,,,,,,55 = Other |__| ,,4= Other: Please describe,,,,,,,,,,
,,,,,,,,,,,,,,77 = Unavailable/Unknown,,77= Don't know,,,,,,,,,,
,Survey,,Where You Live and Work,,Address 4- What [is/was] the source of water to [insert address from HOMEADD1 – HOMEADD3/ current address/the 2nd address you provided/etc.]?,,Address 4- What [is/was] the source of water to [insert address from HOMEADD1 – HOMEADD3/ current address/the 2nd address you provided/etc.]? Please describe [text box],Other: Please describe,SrvLAW_HomeWtr1_4_Oth_v1r0,HOMEWTR1_4_OTH,Char,300,,N/A,,No,No,No,,,,,,3/10/22,,HOMEWTR1_4
,Survey,,Where You Live and Work,,,,Address 4- About how deep [is/was] your private well?,Deep private well,SrvLAW_DeepPrivWell4_v1r0,HOMEWTR2_4,Num,2,,0 = Less than 50 feet,,1= Less than 50 feet,No,No,,,,,,3/10/22,,
,,,,,,,,,,,,,,1 = 50 to 100 feet,,2= 50 – 100 feet,,,,,,,,,,
,,,,,,,,,,,,,,2 = 101 to 150 feet,,3= 101 – 150 feet,,,,,,,,,,
,,,,,,,,,,,,,,3 = 151 to 250 feet,,4= 151 – 250 feet,,,,,,,,,,
,,,,,,,,,,,,,,4 = 251 to 500 feet,,5= 251 – 500 feet,,,,,,,,,,
,,,,,,,,,,,,,,5 = More than 500 feet,,6= More than 500 feet,,,,,,,,,,
,,,,,,,,,,,,,,77 = Unavailable/Unknown,,77= Don't know,,,,,,,,,,
,Survey,,Where You Live and Work,,"Address 4- What [is/was] the main source of water that you [drink/drank] at [insert address from HOMEADD1 – HOMEADD3/current address/the 2nd address you provided/etc.]? Please think about water you used to make drinks such as coffee and tea, and  plain water that you  [drink/drank].       ",,"Address 4- What [is/was] the main source of water that you [drink/drank] at [insert address from HOMEADD1 – HOMEADD3/current address/the 2nd address you provided/etc.]? Please think about water you used to make drinks such as coffee and tea, and  plain water that you  [drink/drank].       ",Primary water source,SrvLAW_4PrimaryWater2_v1r0,HOMEWTR3_4,Num,1,,0= Water from the tap or refrigerator that has not been filtered or treated,,1= Water from the tap or refrigerator that has not been filtered or treated,No,No,,,,,,3/10/22,,HOMEWTR3_4
,,,,,,,,,,,,,,1= Water from a refrigerator that has a water filter,,2= Water from a refrigerator that has a water filter,,,,,,,,,,
,,,,,,,,,,,,,,2= Water that was filtered using a filter like Brita or PUR in a pitcher or on a faucet,,3= Water that was filtered using a filter like Brita or PUR in a pitcher or on a faucet,,,,,,,,,,
,,,,,,,,,,,,,,3= Water that was filtered using reverse osmosis (under sink or whole house),,4= Water that was filtered using reverse osmosis under sink or whole house=,,,,,,,,,,
,,,,,,,,,,,,,,4= Water that was filtered with another type of filter (under sink or whole house),,5= Water that was filtered with another type of filter under sink or whole house=,,,,,,,,,,
,,,,,,,,,,,,,,"5= Bottled water, including water from a store dispenser or delivered to your home",,"6= Bottled water, including water from a store dispenser or delivered to your home",,,,,,,,,,
,,,,,,,,,,,,,,55 = Other |__| ,,7= Other: Please describe,,,,,,,,,,
,,,,,,,,,,,,,,77 = Unavailable/Unknown,,77= Don't know,,,,,,,,,,
,Survey,,Where You Live and Work,,"Address 4- What [is/was] the main source of water that you [drink/drank] at [insert address from HOMEADD1 – HOMEADD3/current address/the 2nd address you provided/etc.]? Please think about water you used to make drinks such as coffee and tea, and  plain water that you  [drink/drank].       ",,"Address 4- What [is/was] the main source of water that you [drink/drank] at [insert address from HOMEADD1 – HOMEADD3/current address/the 2nd address you provided/etc.]? Please think about water you used to make drinks such as coffee and tea, and  plain water that you  [drink/drank]. Please describe [text box]      ",Other: Please describe,SrvLAW_HomeWtr3_4_Oth_v1r0,HOMEWTR3_4_OTH,,300,,N/A,,No,No,No,,,,,,3/10/22,,HOMEWTR3_4
,Survey,,Where You Live and Work,,Address 5- What [is/was] the source of water to [insert address from HOMEADD1 – HOMEADD3/ current address/the 2nd address you provided/etc.]?,,Address 5- What [is/was] the source of water to [insert address from HOMEADD1 – HOMEADD3/ current address/the 2nd address you provided/etc.]?,Primary water source,SrvLAW_5PrimaryWater1_v1r0,HOMEWTR1_5,Num,1,,0= A public or municipal water supply,,1= A public or municipal water supply,No,No,,,,,,3/10/22,,HOMEWTR1_5
,,,,,,,,,,,,,,"1= A rural water system, community well, or spring serving at least 25 people or 15 households",,"2= A rural water system, community well, or spring serving at least 25 people or 15 households",,,,,,,,,,
,,,,,,,,,,,,,,2= Private well or spring,,3= Private well or spring,,,,,,,,,,
,,,,,,,,,,,,,,55 = Other |__| ,,4= Other: Please describe,,,,,,,,,,
,,,,,,,,,,,,,,77 = Unavailable/Unknown,,77= Don't know,,,,,,,,,,
,Survey,,Where You Live and Work,,Address 5- What [is/was] the source of water to [insert address from HOMEADD1 – HOMEADD3/ current address/the 2nd address you provided/etc.]?,,Address 5- What [is/was] the source of water to [insert address from HOMEADD1 – HOMEADD3/ current address/the 2nd address you provided/etc.]? Please describe [text box],Other: Please describe,SrvLAW_HomeWtr1_5_Oth_v1r0,HOMEWTR1_5_OTH,,300,,N/A,,No,No,No,,,,,,3/10/22,,HOMEWTR1_5
,Survey,,Where You Live and Work,,,,Address 5- About how deep [is/was] your private well?,Deep private well,SrvLAW_DeepPrivWell5_v1r0,HOMEWTR2_5,Num,2,,0 = Less than 50 feet,,1= Less than 50 feet,No,No,,,,,,3/10/22,,
,,,,,,,,,,,,,,1 = 50 to 100 feet,,2= 50 – 100 feet,,,,,,,,,,
,,,,,,,,,,,,,,2 = 101 to 150 feet,,3= 101 – 150 feet,,,,,,,,,,
,,,,,,,,,,,,,,3 = 151 to 250 feet,,4= 151 – 250 feet,,,,,,,,,,
,,,,,,,,,,,,,,4 = 251 to 500 feet,,5= 251 – 500 feet,,,,,,,,,,
,,,,,,,,,,,,,,5 = More than 500 feet,,6= More than 500 feet,,,,,,,,,,
,,,,,,,,,,,,,,77 = Unavailable/Unknown,,77= Don't know,,,,,,,,,,
,Survey,,Where You Live and Work,,"Address 5- What [is/was] the main source of water that you [drink/drank] at [insert address from HOMEADD1 – HOMEADD3/current address/the 2nd address you provided/etc.]? Please think about water you used to make drinks such as coffee and tea, and  plain water that you  [drink/drank].       ",,"Address 5- What [is/was] the main source of water that you [drink/drank] at [insert address from HOMEADD1 – HOMEADD3/current address/the 2nd address you provided/etc.]? Please think about water you used to make drinks such as coffee and tea, and  plain water that you  [drink/drank].       ",Primary water source,SrvLAW_5PrimaryWater2_v1r0,HOMEWTR3_5,Num,1,,0= Water from the tap or refrigerator that has not been filtered or treated,,1= Water from the tap or refrigerator that has not been filtered or treated,No,No,,,,,,3/10/22,,HOMEWTR3_5
,,,,,,,,,,,,,,1= Water from a refrigerator that has a water filter,,2= Water from a refrigerator that has a water filter,,,,,,,,,,
,,,,,,,,,,,,,,2= Water that was filtered using a filter like Brita or PUR in a pitcher or on a faucet,,3= Water that was filtered using a filter like Brita or PUR in a pitcher or on a faucet,,,,,,,,,,
,,,,,,,,,,,,,,3= Water that was filtered using reverse osmosis (under sink or whole house),,4= Water that was filtered using reverse osmosis under sink or whole house=,,,,,,,,,,
,,,,,,,,,,,,,,4= Water that was filtered with another type of filter (under sink or whole house),,5= Water that was filtered with another type of filter under sink or whole house=,,,,,,,,,,
,,,,,,,,,,,,,,"5= Bottled water, including water from a store dispenser or delivered to your home",,"6= Bottled water, including water from a store dispenser or delivered to your home",,,,,,,,,,
,,,,,,,,,,,,,,55 = Other |__| ,,7= Other: Please describe,,,,,,,,,,
,,,,,,,,,,,,,,77 = Unavailable/Unknown,,77= Don't know,,,,,,,,,,
,Survey,,Where You Live and Work,,"Address 5- What [is/was] the main source of water that you [drink/drank] at [insert address from HOMEADD1 – HOMEADD3/current address/the 2nd address you provided/etc.]? Please think about water you used to make drinks such as coffee and tea, and  plain water that you  [drink/drank].       ",,"Address 5- What [is/was] the main source of water that you [drink/drank] at [insert address from HOMEADD1 – HOMEADD3/current address/the 2nd address you provided/etc.]? Please think about water you used to make drinks such as coffee and tea, and  plain water that you  [drink/drank]. Please describe [text box]       ",Other: Please describe,SrvLAW_HomeWtr3_5_Oth_v1r0,HOMEWTR3_5_OTH,,300,,N/A,,No,No,No,,,,,,3/10/22,,HOMEWTR3_5
,Survey,,Where You Live and Work,,Address 6- What [is/was] the source of water to [insert address from HOMEADD1 – HOMEADD3/ current address/the 2nd address you provided/etc.]?,,Address 6- What [is/was] the source of water to [insert address from HOMEADD1 – HOMEADD3/ current address/the 2nd address you provided/etc.]?,Primary water source,SrvLAW_6PrimaryWater1_v1r0,HOMEWTR1_6,Num,1,,0= A public or municipal water supply,,1= A public or municipal water supply,No,No,,,,,,3/10/22,,HOMEWTR1_6
,,,,,,,,,,,,,,"1= A rural water system, community well, or spring serving at least 25 people or 15 households",,"2= A rural water system, community well, or spring serving at least 25 people or 15 households",,,,,,,,,,
,,,,,,,,,,,,,,2= Private well or spring,,3= Private well or spring,,,,,,,,,,
,,,,,,,,,,,,,,55 = Other |__| ,,4= Other: Please describe,,,,,,,,,,
,,,,,,,,,,,,,,77 = Unavailable/Unknown,,77= Don't know,,,,,,,,,,
,Survey,,Where You Live and Work,,Address 6- What [is/was] the source of water to [insert address from HOMEADD1 – HOMEADD3/ current address/the 2nd address you provided/etc.]?,,Address 6- What [is/was] the source of water to [insert address from HOMEADD1 – HOMEADD3/ current address/the 2nd address you provided/etc.]? Please describe [text box],Other: Please describe,SrvLAW_HomeWtr1_6_Oth_v1r0,HOMEWTR1_6_OTH,,300,,N/A,,No,No,No,,,,,,3/10/22,,HOMEWTR1_6
,Survey,,Where You Live and Work,,,,Address 6- About how deep [is/was] your private well?,Deep private well,SrvLAW_DeepPrivWell6_v1r0,HOMEWTR2_6,Num,2,,0 = Less than 50 feet,,1= Less than 50 feet,No,No,,,,,,3/10/22,,
,,,,,,,,,,,,,,1 = 50 to 100 feet,,2= 50 – 100 feet,,,,,,,,,,
,,,,,,,,,,,,,,2 = 101 to 150 feet,,3= 101 – 150 feet,,,,,,,,,,
,,,,,,,,,,,,,,3 = 151 to 250 feet,,4= 151 – 250 feet,,,,,,,,,,
,,,,,,,,,,,,,,4 = 251 to 500 feet,,5= 251 – 500 feet,,,,,,,,,,
,,,,,,,,,,,,,,5 = More than 500 feet,,6= More than 500 feet,,,,,,,,,,
,,,,,,,,,,,,,,77 = Unavailable/Unknown,,77= Don't know,,,,,,,,,,
,Survey,,Where You Live and Work,,"Address 6- What [is/was] the main source of water that you [drink/drank] at [insert address from HOMEADD1 – HOMEADD3/current address/the 2nd address you provided/etc.]? Please think about water you used to make drinks such as coffee and tea, and  plain water that you  [drink/drank].       ",,"Address 6- What [is/was] the main source of water that you [drink/drank] at [insert address from HOMEADD1 – HOMEADD3/current address/the 2nd address you provided/etc.]? Please think about water you used to make drinks such as coffee and tea, and  plain water that you  [drink/drank].       ",Primary water source,SrvLAW_6PrimaryWater2_v1r0,HOMEWTR3_6,Num,1,,0= Water from the tap or refrigerator that has not been filtered or treated,,1= Water from the tap or refrigerator that has not been filtered or treated,No,No,,,,,,3/10/22,,HOMEWTR3_6
,,,,,,,,,,,,,,1= Water from a refrigerator that has a water filter,,2= Water from a refrigerator that has a water filter,,,,,,,,,,
,,,,,,,,,,,,,,2= Water that was filtered using a filter like Brita or PUR in a pitcher or on a faucet,,3= Water that was filtered using a filter like Brita or PUR in a pitcher or on a faucet,,,,,,,,,,
,,,,,,,,,,,,,,3= Water that was filtered using reverse osmosis (under sink or whole house),,4= Water that was filtered using reverse osmosis under sink or whole house=,,,,,,,,,,
,,,,,,,,,,,,,,4= Water that was filtered with another type of filter (under sink or whole house),,5= Water that was filtered with another type of filter under sink or whole house=,,,,,,,,,,
,,,,,,,,,,,,,,"5= Bottled water, including water from a store dispenser or delivered to your home",,"6= Bottled water, including water from a store dispenser or delivered to your home",,,,,,,,,,
,,,,,,,,,,,,,,55 = Other |__| ,,7= Other: Please describe,,,,,,,,,,
,,,,,,,,,,,,,,77 = Unavailable/Unknown,,77= Don't know,,,,,,,,,,
,Survey,,Where You Live and Work,,"Address 6- What [is/was] the main source of water that you [drink/drank] at [insert address from HOMEADD1 – HOMEADD3/current address/the 2nd address you provided/etc.]? Please think about water you used to make drinks such as coffee and tea, and  plain water that you  [drink/drank].       ",,"Address 6- What [is/was] the main source of water that you [drink/drank] at [insert address from HOMEADD1 – HOMEADD3/current address/the 2nd address you provided/etc.]? Please think about water you used to make drinks such as coffee and tea, and  plain water that you  [drink/drank]. Please describe [text box]       ",Other: Please describe,SrvLAW_HomeWtr3_6_Oth_v1r0,HOMEWTR3_6_OTH,,300,,N/A,,No,No,No,,,,,,3/10/22,,HOMEWTR3_6
,Survey,,Where You Live and Work,,Address 7- What [is/was] the source of water to [insert address from HOMEADD1 – HOMEADD3/ current address/the 2nd address you provided/etc.]?,,Address 7- What [is/was] the source of water to [insert address from HOMEADD1 – HOMEADD3/ current address/the 2nd address you provided/etc.]?,Primary water source,SrvLAW_7PrimaryWater1_v1r0,HOMEWTR1_7,Num,1,,0= A public or municipal water supply,,1= A public or municipal water supply,No,No,,,,,,3/10/22,,HOMEWTR1_7
,,,,,,,,,,,,,,"1= A rural water system, community well, or spring serving at least 25 people or 15 households",,"2= A rural water system, community well, or spring serving at least 25 people or 15 households",,,,,,,,,,
,,,,,,,,,,,,,,2= Private well or spring,,3= Private well or spring,,,,,,,,,,
,,,,,,,,,,,,,,55 = Other |__| ,,4= Other: Please describe,,,,,,,,,,
,,,,,,,,,,,,,,77 = Unavailable/Unknown,,77= Don't know,,,,,,,,,,
,Survey,,Where You Live and Work,,Address 7- What [is/was] the source of water to [insert address from HOMEADD1 – HOMEADD3/ current address/the 2nd address you provided/etc.]?,,Address 7- What [is/was] the source of water to [insert address from HOMEADD1 – HOMEADD3/ current address/the 2nd address you provided/etc.]? Please describe [text box],Other: Please describe,SrvLAW_HomeWtr1_7_Oth_v1r0,HOMEWTR1_7_OTH,,300,,N/A,,No,No,No,,,,,,3/10/22,,HOMEWTR1_7
,Survey,,Where You Live and Work,,,,Address 7- About how deep [is/was] your private well?,Deep private well,SrvLAW_DeepPrivWell7_v1r0,HOMEWTR2_7,Num,2,,0 = Less than 50 feet,,1= Less than 50 feet,No,No,,,,,,3/10/22,,
,,,,,,,,,,,,,,1 = 50 to 100 feet,,2= 50 – 100 feet,,,,,,,,,,
,,,,,,,,,,,,,,2 = 101 to 150 feet,,3= 101 – 150 feet,,,,,,,,,,
,,,,,,,,,,,,,,3 = 151 to 250 feet,,4= 151 – 250 feet,,,,,,,,,,
,,,,,,,,,,,,,,4 = 251 to 500 feet,,5= 251 – 500 feet,,,,,,,,,,
,,,,,,,,,,,,,,5 = More than 500 feet,,6= More than 500 feet,,,,,,,,,,
,,,,,,,,,,,,,,77 = Unavailable/Unknown,,77= Don't know,,,,,,,,,,
,Survey,,Where You Live and Work,,"Address 7- What [is/was] the main source of water that you [drink/drank] at [insert address from HOMEADD1 – HOMEADD3/current address/the 2nd address you provided/etc.]? Please think about water you used to make drinks such as coffee and tea, and  plain water that you  [drink/drank].       ",,"Address 7- What [is/was] the main source of water that you [drink/drank] at [insert address from HOMEADD1 – HOMEADD3/current address/the 2nd address you provided/etc.]? Please think about water you used to make drinks such as coffee and tea, and  plain water that you  [drink/drank].       ",Primary water source,SrvLAW_7PrimaryWater2_v1r0,HOMEWTR3_7,Num,1,,0= Water from the tap or refrigerator that has not been filtered or treated,,1= Water from the tap or refrigerator that has not been filtered or treated,No,No,,,,,,3/10/22,,HOMEWTR3_7
,,,,,,,,,,,,,,1= Water from a refrigerator that has a water filter,,2= Water from a refrigerator that has a water filter,,,,,,,,,,
,,,,,,,,,,,,,,2= Water that was filtered using a filter like Brita or PUR in a pitcher or on a faucet,,3= Water that was filtered using a filter like Brita or PUR in a pitcher or on a faucet,,,,,,,,,,
,,,,,,,,,,,,,,3= Water that was filtered using reverse osmosis (under sink or whole house),,4= Water that was filtered using reverse osmosis under sink or whole house=,,,,,,,,,,
,,,,,,,,,,,,,,4= Water that was filtered with another type of filter (under sink or whole house),,5= Water that was filtered with another type of filter under sink or whole house=,,,,,,,,,,
,,,,,,,,,,,,,,"5= Bottled water, including water from a store dispenser or delivered to your home",,"6= Bottled water, including water from a store dispenser or delivered to your home",,,,,,,,,,
,,,,,,,,,,,,,,55 = Other |__| ,,7= Other: Please describe,,,,,,,,,,
,,,,,,,,,,,,,,77 = Unavailable/Unknown,,77= Don't know,,,,,,,,,,
,Survey,,Where You Live and Work,,"Address 7- What [is/was] the main source of water that you [drink/drank] at [insert address from HOMEADD1 – HOMEADD3/current address/the 2nd address you provided/etc.]? Please think about water you used to make drinks such as coffee and tea, and  plain water that you  [drink/drank].       ",,"Address 7- What [is/was] the main source of water that you [drink/drank] at [insert address from HOMEADD1 – HOMEADD3/current address/the 2nd address you provided/etc.]? Please think about water you used to make drinks such as coffee and tea, and  plain water that you  [drink/drank]. Please describe [text box]      ",Other: Please describe,SrvLAW_HomeWtr3_7_Oth_v1r0,HOMEWTR3_7_OTH,,300,,N/A,,No,No,No,,,,,,3/10/22,,HOMEWTR3_7
,Survey,,Where You Live and Work,,Address 8- What [is/was] the source of water to [insert address from HOMEADD1 – HOMEADD3/ current address/the 2nd address you provided/etc.]?,,Address 8- What [is/was] the source of water to [insert address from HOMEADD1 – HOMEADD3/ current address/the 2nd address you provided/etc.]?,Primary water source,SrvLAW_8PrimaryWater1_v1r0,HOMEWTR1_8,Num,1,,0= A public or municipal water supply,,1= A public or municipal water supply,No,No,,,,,,3/10/22,,HOMEWTR1_8
,,,,,,,,,,,,,,"1= A rural water system, community well, or spring serving at least 25 people or 15 households",,"2= A rural water system, community well, or spring serving at least 25 people or 15 households",,,,,,,,,,
,,,,,,,,,,,,,,2= Private well or spring,,3= Private well or spring,,,,,,,,,,
,,,,,,,,,,,,,,55 = Other |__| ,,4= Other: Please describe,,,,,,,,,,
,,,,,,,,,,,,,,77 = Unavailable/Unknown,,77= Don't know,,,,,,,,,,
,Survey,,Where You Live and Work,,Address 8- What [is/was] the source of water to [insert address from HOMEADD1 – HOMEADD3/ current address/the 2nd address you provided/etc.]?,,Address 8- What [is/was] the source of water to [insert address from HOMEADD1 – HOMEADD3/ current address/the 2nd address you provided/etc.]? Please describe [text box],Other: Please describe,SrvLAW_HomeWtr1_8_Oth_v1r0,HOMEWTR1_8_OTH,,300,,N/A,,No,No,No,,,,,,3/10/22,,HOMEWTR1_8
,Survey,,Where You Live and Work,,,,Address 8- About how deep [is/was] your private well?,Deep private well,SrvLAW_DeepPrivWell8_v1r0,HOMEWTR2_8,Num,2,,0 = Less than 50 feet,,1= Less than 50 feet,No,No,,,,,,3/10/22,,
,,,,,,,,,,,,,,1 = 50 to 100 feet,,2= 50 – 100 feet,,,,,,,,,,
,,,,,,,,,,,,,,2 = 101 to 150 feet,,3= 101 – 150 feet,,,,,,,,,,
,,,,,,,,,,,,,,3 = 151 to 250 feet,,4= 151 – 250 feet,,,,,,,,,,
,,,,,,,,,,,,,,4 = 251 to 500 feet,,5= 251 – 500 feet,,,,,,,,,,
,,,,,,,,,,,,,,5 = More than 500 feet,,6= More than 500 feet,,,,,,,,,,
,,,,,,,,,,,,,,77 = Unavailable/Unknown,,77= Don't know,,,,,,,,,,
,Survey,,Where You Live and Work,,"Address 8- What [is/was] the main source of water that you [drink/drank] at [insert address from HOMEADD1 – HOMEADD3/current address/the 2nd address you provided/etc.]? Please think about water you used to make drinks such as coffee and tea, and  plain water that you  [drink/drank].       ",,"Address 8- What [is/was] the main source of water that you [drink/drank] at [insert address from HOMEADD1 – HOMEADD3/current address/the 2nd address you provided/etc.]? Please think about water you used to make drinks such as coffee and tea, and  plain water that you  [drink/drank].       ",Primary water source,SrvLAW_8PrimaryWater2_v1r0,HOMEWTR3_8,Num,1,,0= Water from the tap or refrigerator that has not been filtered or treated,,1= Water from the tap or refrigerator that has not been filtered or treated,No,No,,,,,,3/10/22,,HOMEWTR3_8
,,,,,,,,,,,,,,1= Water from a refrigerator that has a water filter,,2= Water from a refrigerator that has a water filter,,,,,,,,,,
,,,,,,,,,,,,,,2= Water that was filtered using a filter like Brita or PUR in a pitcher or on a faucet,,3= Water that was filtered using a filter like Brita or PUR in a pitcher or on a faucet,,,,,,,,,,
,,,,,,,,,,,,,,3= Water that was filtered using reverse osmosis (under sink or whole house),,4= Water that was filtered using reverse osmosis under sink or whole house=,,,,,,,,,,
,,,,,,,,,,,,,,4= Water that was filtered with another type of filter (under sink or whole house),,5= Water that was filtered with another type of filter under sink or whole house=,,,,,,,,,,
,,,,,,,,,,,,,,"5= Bottled water, including water from a store dispenser or delivered to your home",,"6= Bottled water, including water from a store dispenser or delivered to your home",,,,,,,,,,
,,,,,,,,,,,,,,55 = Other |__| ,,7= Other: Please describe,,,,,,,,,,
,,,,,,,,,,,,,,77 = Unavailable/Unknown,,77= Don't know,,,,,,,,,,
,Survey,,Where You Live and Work,,"Address 8- What [is/was] the main source of water that you [drink/drank] at [insert address from HOMEADD1 – HOMEADD3/current address/the 2nd address you provided/etc.]? Please think about water you used to make drinks such as coffee and tea, and  plain water that you  [drink/drank].       ",,"Address 8- What [is/was] the main source of water that you [drink/drank] at [insert address from HOMEADD1 – HOMEADD3/current address/the 2nd address you provided/etc.]? Please think about water you used to make drinks such as coffee and tea, and  plain water that you  [drink/drank]. Please describe [text box]      ",Other: Please describe,SrvLAW_HomeWtr3_8_Oth_v1r0,HOMEWTR3_8_OTH,,300,,N/A,,No,No,No,,,,,,3/10/22,,HOMEWTR3_8
,Survey,,Where You Live and Work,,Address 9- What [is/was] the source of water to [insert address from HOMEADD1 – HOMEADD3/ current address/the 2nd address you provided/etc.]?,,Address 9- What [is/was] the source of water to [insert address from HOMEADD1 – HOMEADD3/ current address/the 2nd address you provided/etc.]?,Primary water source,SrvLAW_9PrimaryWater1_v1r0,HOMEWTR1_9,Num,1,,0= A public or municipal water supply,,1= A public or municipal water supply,No,No,,,,,,1/19/22,,HOMEWTR1_9
,,,,,,,,,,,,,,"1= A rural water system, community well, or spring serving at least 25 people or 15 households",,"2= A rural water system, community well, or spring serving at least 25 people or 15 households",,,,,,,,,,
,,,,,,,,,,,,,,2= Private well or spring,,3= Private well or spring,,,,,,,,,,
,,,,,,,,,,,,,,55 = Other |__| ,,4= Other: Please describe,,,,,,,,,,
,,,,,,,,,,,,,,77 = Unavailable/Unknown,,77= Don't know,,,,,,,,,,
,Survey,,Where You Live and Work,,Address 9- What [is/was] the source of water to [insert address from HOMEADD1 – HOMEADD3/ current address/the 2nd address you provided/etc.]?,,Address 9- What [is/was] the source of water to [insert address from HOMEADD1 – HOMEADD3/ current address/the 2nd address you provided/etc.]? Please describe [text box],Other: Please describe,SrvLAW_HomeWtr1_9_Oth_v1r0,HOMEWTR1_9_OTH,,300,,N/A,,No,No,No,,,,,,3/10/22,,HOMEWTR1_9
,Survey,,Where You Live and Work,,,,Address 9- About how deep [is/was] your private well?,Deep private well,SrvLAW_DeepPrivWell9_v1r0,HOMEWTR2_9,Num,2,,0 = Less than 50 feet,,1= Less than 50 feet,No,No,,,,,,3/10/22,,
,,,,,,,,,,,,,,1 = 50 to 100 feet,,2= 50 – 100 feet,,,,,,,,,,
,,,,,,,,,,,,,,2 = 101 to 150 feet,,3= 101 – 150 feet,,,,,,,,,,
,,,,,,,,,,,,,,3 = 151 to 250 feet,,4= 151 – 250 feet,,,,,,,,,,
,,,,,,,,,,,,,,4 = 251 to 500 feet,,5= 251 – 500 feet,,,,,,,,,,
,,,,,,,,,,,,,,5 = More than 500 feet,,6= More than 500 feet,,,,,,,,,,
,,,,,,,,,,,,,,77 = Unavailable/Unknown,,77= Don't know,,,,,,,,,,
,Survey,,Where You Live and Work,,"Address 9- What [is/was] the main source of water that you [drink/drank] at [insert address from HOMEADD1 – HOMEADD3/current address/the 2nd address you provided/etc.]? Please think about water you used to make drinks such as coffee and tea, and  plain water that you  [drink/drank].       ",,"Address 9- What [is/was] the main source of water that you [drink/drank] at [insert address from HOMEADD1 – HOMEADD3/current address/the 2nd address you provided/etc.]? Please think about water you used to make drinks such as coffee and tea, and  plain water that you  [drink/drank].       ",Primary water source,SrvLAW_9PrimaryWater2_v1r0,HOMEWTR3_9,Num,1,,0= Water from the tap or refrigerator that has not been filtered or treated,,1= Water from the tap or refrigerator that has not been filtered or treated,No,No,,,,,,3/10/22,,HOMEWTR3_9
,,,,,,,,,,,,,,1= Water from a refrigerator that has a water filter,,2= Water from a refrigerator that has a water filter,,,,,,,,,,
,,,,,,,,,,,,,,2= Water that was filtered using a filter like Brita or PUR in a pitcher or on a faucet,,3= Water that was filtered using a filter like Brita or PUR in a pitcher or on a faucet,,,,,,,,,,
,,,,,,,,,,,,,,3= Water that was filtered using reverse osmosis (under sink or whole house),,4= Water that was filtered using reverse osmosis under sink or whole house=,,,,,,,,,,
,,,,,,,,,,,,,,4= Water that was filtered with another type of filter (under sink or whole house),,5= Water that was filtered with another type of filter under sink or whole house=,,,,,,,,,,
,,,,,,,,,,,,,,"5= Bottled water, including water from a store dispenser or delivered to your home",,"6= Bottled water, including water from a store dispenser or delivered to your home",,,,,,,,,,
,,,,,,,,,,,,,,55 = Other |__| ,,7= Other: Please describe,,,,,,,,,,
,,,,,,,,,,,,,,77 = Unavailable/Unknown,,77= Don't know,,,,,,,,,,
,Survey,,Where You Live and Work,,"Address 9- What [is/was] the main source of water that you [drink/drank] at [insert address from HOMEADD1 – HOMEADD3/current address/the 2nd address you provided/etc.]? Please think about water you used to make drinks such as coffee and tea, and  plain water that you  [drink/drank].       ",,"Address 9- What [is/was] the main source of water that you [drink/drank] at [insert address from HOMEADD1 – HOMEADD3/current address/the 2nd address you provided/etc.]? Please think about water you used to make drinks such as coffee and tea, and  plain water that you  [drink/drank]. Please describe [text box]       ",Other: Please describe,SrvLAW_HomeWtr3_9_Oth_v1r0,HOMEWTR3_9_OTH,,300,,N/A,,No,No,No,,,,,,3/10/22,,HOMEWTR3_9
