conceptId_Primary Source,Primary Source,conceptId_Secondary Source,Secondary Source,conceptID_Source_Question,Source Question,conceptId_Question Text,Question Text,Variable Label,Variable Name,Connect Value for Select all that apply questions,Variable Type,Variable Length,conceptId_Format/Value,Connect Value,,Old Quest Value,Required,PII,Notes,,,,,Date Added or Modified,,Quest_Source Question,,
,,,,,,,,,,,,,,1 = 16 to 30 minutes,,2= 15 minutes to 30 minutes,,,,,,,,,,,,
,,,,,,,,,,,,,,2 = 31 to 59 minutes,,3= 30 minutes to 1 hour,,,,,,,,,,,,
,,,,,,,,,,,,,,3 = 1 hour,,4= 1 to 2 hours,,,,,,,,,,,,
,,,,,,,,,,,,,,4 = 2 hours or more,,5= More than 2 hours,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"On days that you used chewing tobacco, snus, snuff, or dip  when you were age [X / 60] to age [Y / 69 / current age], what is the total amount of time you used them per day?  ","How much time chewing tobacco, snus, snuff, or dip  used, [X / 60] to age [Y / 69 / current age]",SrvSAS_CTTime6069_v1r0,CHEWLIFEG,Num,1,,0= 15 minutes or less,,1= 15 minutes or less,No,No,,,,,,2/28/22,,,,
,,,,,,,,,,,,,,1 = 16 to 30 minutes,,2= 15 minutes to 30 minutes,,,,,,,,,,,,
,,,,,,,,,,,,,,2 = 31 to 59 minutes,,3= 30 minutes to 1 hour,,,,,,,,,,,,
,,,,,,,,,,,,,,3 = 1 hour,,4= 1 to 2 hours,,,,,,,,,,,,
,,,,,,,,,,,,,,4 = 2 hours or more,,5= More than 2 hours,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"On days that you used chewing tobacco, snus, snuff, or dip  when you were age [X / 70] and older, what is the total amount of time you used them per day?  ","How much time chewing tobacco, snus, snuff, or dip  used, [X / 70] and older",SrvSAS_CTTime70_v1r0,CHEWLIFEH,Num,1,,0= 15 minutes or less,,1= 15 minutes or less,No,No,,,,,,2/28/22,,,,
,,,,,,,,,,,,,,1 = 16 to 30 minutes,,2= 15 minutes to 30 minutes,,,,,,,,,,,,
,,,,,,,,,,,,,,2 = 31 to 59 minutes,,3= 30 minutes to 1 hour,,,,,,,,,,,,
,,,,,,,,,,,,,,3 = 1 hour,,4= 1 to 2 hours,,,,,,,,,,,,
,,,,,,,,,,,,,,4 = 2 hours or more,,5= More than 2 hours,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,How many days have you smoked tobacco using a hookah or water pipe in your  life?,How many days smoked a hookah or water pipe  used in life,SrvSAS_DaysSmokeHookah_v1r0,HOOKAH1,Num,1,,0= 10 or less,,1= 10 or less,No,No,,,,,,11/23/21,,,,
,,,,,,,,,,,,,,1 = 11 to 49,,2= 11—49 ,,,,,,,,,,,,
,,,,,,,,,,,,,,2 = 50 to 99,,3= 50—99 ,,,,,,,,,,,,
,,,,,,,,,,,,,,3= 100 or more,,4= 100 or more,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,How old were you when you first smoked tobacco using a hookah or water pipe?,Age first smoked a hookah or water pipe ,SrvSAS_AgeHookahF_v1r0,HOOKAH2,Num,2,,N/A,,N/A,No,No,,,,,,12/6/21,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,Age started smoking hookah or water pipe on a regular basis,,Age started using on regular basis,Age started smoking hookah or water pipe on a regular basis ,SrvSAS_AgeHookahReg_v1r0,HOOKAH3_AGE ,Num,2,,N/A,,N/A,No,No,,,,,,10/29/21,,HOOKAH3,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,Age started smoking hookah or water pipe on a regular basis,,Age started smoking hookah or water pipe on a regular basis,"Age started smoking hookah or water pipe on a regular basis, Never smoked",SrvSAS_NeverHookah_v1r0,HOOKAH3,Num,2,,44 = Never,,,,,,,,,,11/23/21,,HOOKAH3,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,Do you smoke a hookah or water pipe now? ,Use hookah or water pipe  now,SrvSAS_HookahNow_v1r0,HOOKAH4,Num,1,,"0 = No, not at all ",,"1= Yes, every day",No,No,,,,,,11/24/21,,,,
,,,,,,,,,,,,,,"1 = Yes, but rarely",,"2= Yes, some day",,,,,,,,,,,,
,,,,,,,,,,,,,,"2 = Yes, but some days",,"3= Yes, but rarely ",,,,,,,,,,,,
,,,,,,,,,,,,,,"3 = Yes, every day",,"4= No, not at all",,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,When was the last time you smoked a hookah or water pipe?,Last smoked a hookah or water pipe ,SrvSAS_HookahLast_v1r0,HOOKAH5,Num,1,,0=  In the past month ,,1=  In the past month ,No,No,,,,,,10/25/21,,,,
,,,,,,,,,,,,,,"1= More than a month ago, but in the past year",,"2= More than a month ago, but in the past year",,,,,,,,,,,,
,,,,,,,,,,,,,,2= More than 1 year ago ,,3= More than 1 year ago ,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,On how many of the past 30 days have you smoked a hookah or water pipe?,Days smoked a hookah or water pipe in past 30 days ,SrvSAS_Hookah30_v1r0,HOOKAH6,Num,2,,N/A,,N/A,No,No,,,,,,12/6/21,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,How many months ago did you last smoke a hookah or water pipe?,Months ago last smoked a hookah or water pipe ,SrvSAS_HookahMo_v1r0,HOOKAH7A,Num,2,,N/A,,N/A,No,No,,,,,,12/6/21,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"Month - During that time, did you ever smoke a hookah or water pipe every day?","Use hookah or water pipe  every day, months",SrvSAS_HookahED_v1r0,HOOKAH7B,Num,1,,0 = No,,1 = No,No,No,,,,,,10/25/21,,,,
,,,,,,,,,,,,,,1 = Yes,,2 = Yes,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"Month- During that time, how many days (1 to 30) did you smoke a hookah or water pipe in a usual month? ","How many days smoked a hookah or water pipe  every day, usual month",SrvSAS_HookahNumDays_v1r0,HOOKAH7C,Num,2,,N/A,,N/A,No,No,,,,,,12/6/21,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,How old were you when you last smoked a hookah or water pipe ?,Age last smoked a hookah or water pipe ,SrvSAS_AgeHookahL_v1r0,HOOKAH8,Num,2,,N/A,,N/A,No,No,,,,,,12/6/21,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"Age last used - During that time, did you ever smoke a hookah or water pipe every day?","Use hookah or water pipe  every day, age last used",SrvSAS_HookahEDAgeL_v1r0,HOOKAH8C,Num,1,,0 = No,,1 = No,No,No,,,,,,10/25/21,,,,
,,,,,,,,,,,,,,1 = Yes,,2 = Yes,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"Age last used- During that time, how many days (1 to 30) did you use hookah or water pipe  in a usual month?","How many days smoked a hookah or water pipe  every day, age last used",SrvSAS_HookahDaysAgeL_v1r0,HOOKAH8D,Num,2,,N/A,,N/A,No,No,,,,,,12/6/21,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"On days that you [smoke/smoked], what is the total amount of time you [smoke/smoked] a hookah or water pipe per day? ",Total amount of time smoked a hookah or water pipe  per day,SrvSAS_TotTmHookah_v1r0,HOOKAH9A,Num,1,,0= 15 minutes or less,,1= 15 minutes or less,No,No,,,,,,2/28/22,,,,
,,,,,,,,,,,,,,1 = 16 to 30 minutes,,2= 15 minutes to 30 minutes,,,,,,,,,,,,
,,,,,,,,,,,,,,2 = 31 to 59 minutes,,3= 30 minutes to 1 hour,,,,,,,,,,,,
,,,,,,,,,,,,,,3 = 1 hour,,4= 1 to 2 hours,,,,,,,,,,,,
,,,,,,,,,,,,,,4 = 2 hours or more,,5= More than 2 hours,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,Did you ever smoke a hookah or water pipe every day?,Ever use hookah or water pipe  every day,SrvSAS_HookahUseED_v1r0,HOOKAH9B,Num,1,,0 = No,,1 = No,No,No,,,,,,10/25/21,,,,
,,,,,,,,,,,,,,1 = Yes,,2 = Yes,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,How old were you when you stopped smoking a hookah or water pipe every day?,Age stopped smoking hookah or water pipe  every day,SrvSAS_AgeStopHookah_v1r0,HOOKAH9D,Num,2,,N/A,,N/A,No,No,,,,,,12/6/21,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"When you were a daily smoker, what is the total amount of time you smoked a hookah or water pipe per day?",Total amount of time smoked a hookah or water pipe  per day when daily user,SrvSAS_TotTmHookahPD_v1r0,HOOKAH9C,Num,1,,0= 15 minutes or less,,1= 15 minutes or less,No,No,,,,,,2/28/22,,,,
,,,,,,,,,,,,,,1 = 16 to 30 minutes,,2= 15 minutes to 30 minutes,,,,,,,,,,,,
,,,,,,,,,,,,,,2 = 31 to 59 minutes,,3= 30 minutes to 1 hour,,,,,,,,,,,,
,,,,,,,,,,,,,,3 = 1 hour,,4= 1 to 2 hours,,,,,,,,,,,,
,,,,,,,,,,,,,,4 = 2 hours or more,,5= More than 2 hours,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"On days that you smoked a hookah or water pipe  when you were age [X] to age [Y / 17], what is the total amount of time you smoked per day?  ","How much time hookah or water pipe  used, Age [X] to age [Y / 17]",SrvSAS_HookahTm17_v1r0,HOOKAHLIFEA,Num,1,,0= 15 minutes or less,,1= 15 minutes or less,No,No,,,,,,2/28/22,,,,
,,,,,,,,,,,,,,1 = 16 to 30 minutes,,2= 15 minutes to 30 minutes,,,,,,,,,,,,
,,,,,,,,,,,,,,2 = 31 to 59 minutes,,3= 30 minutes to 1 hour,,,,,,,,,,,,
,,,,,,,,,,,,,,3 = 1 hour,,4= 1 to 2 hours,,,,,,,,,,,,
,,,,,,,,,,,,,,4 = 2 hours or more,,5= More than 2 hours,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"On days that you smoked a hookah or water pipe  when you were age [X / 18] to age [Y / 24], what is the total amount of time you smoked per day?  ","How much time hookah or water pipe  used, Age [X / 18] to age [Y / 24]",SrvSAS_HookahTm1824_v1r0,HOOKAHLIFEB,Num,1,,0= 15 minutes or less,,1= 15 minutes or less,No,No,,,,,,2/28/22,,,,
,,,,,,,,,,,,,,1 = 16 to 30 minutes,,2= 15 minutes to 30 minutes,,,,,,,,,,,,
,,,,,,,,,,,,,,2 = 31 to 59 minutes,,3= 30 minutes to 1 hour,,,,,,,,,,,,
,,,,,,,,,,,,,,3 = 1 hour,,4= 1 to 2 hours,,,,,,,,,,,,
,,,,,,,,,,,,,,4 = 2 hours or more,,5= More than 2 hours,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"On days that you smoked a hookah or water pipe  when you were age [X / 25] to age [Y / 29], what is the total amount of time you smoked per day?  ","How much time hookah or water pipe  used, [X / 25] to age [Y / 29]",SrvSAS_HookahTm2529_v1r0,HOOKAHLIFEC,Num,1,,0= 15 minutes or less,,1= 15 minutes or less,No,No,,,,,,2/28/22,,,,
,,,,,,,,,,,,,,1 = 16 to 30 minutes,,2= 15 minutes to 30 minutes,,,,,,,,,,,,
,,,,,,,,,,,,,,2 = 31 to 59 minutes,,3= 30 minutes to 1 hour,,,,,,,,,,,,
,,,,,,,,,,,,,,3 = 1 hour,,4= 1 to 2 hours,,,,,,,,,,,,
,,,,,,,,,,,,,,4 = 2 hours or more,,5= More than 2 hours,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"On days that you smoked a hookah or water pipe  when you were age [X / 30] to age [Y / 39 / current age], what is the total amount of time you smoked per day?  ","How much time hookah or water pipe  used, [X / 30] to age [Y / 39 / current age]",SrvSAS_HookahTm3039_v1r0,HOOKAHLIFED,Num,1,,0= 15 minutes or less,,1= 15 minutes or less,No,No,,,,,,2/28/22,,,,
,,,,,,,,,,,,,,1 = 16 to 30 minutes,,2= 15 minutes to 30 minutes,,,,,,,,,,,,
,,,,,,,,,,,,,,2 = 31 to 59 minutes,,3= 30 minutes to 1 hour,,,,,,,,,,,,
,,,,,,,,,,,,,,3 = 1 hour,,4= 1 to 2 hours,,,,,,,,,,,,
,,,,,,,,,,,,,,4 = 2 hours or more,,5= More than 2 hours,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"On days that you smoked a hookah or water pipe  when you were age [X / 40] to age [Y / 49 / current age], what is the total amount of time you smoked per day?  ","How much time hookah or water pipe  used, [X / 40] to age [Y / 49 / current age]",SrvSAS_HookahTm4049_v1r0,HOOKAHLIFEE,Num,1,,0= 15 minutes or less,,1= 15 minutes or less,No,No,,,,,,2/28/22,,,,
,,,,,,,,,,,,,,1 = 16 to 30 minutes,,2= 15 minutes to 30 minutes,,,,,,,,,,,,
,,,,,,,,,,,,,,2 = 31 to 59 minutes,,3= 30 minutes to 1 hour,,,,,,,,,,,,
,,,,,,,,,,,,,,3 = 1 hour,,4= 1 to 2 hours,,,,,,,,,,,,
,,,,,,,,,,,,,,4 = 2 hours or more,,5= More than 2 hours,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"On days that you smoked a hookah or water pipe  when you were age [X / 50] to age [Y / 59 / current age], what is the total amount of time you smoked per day?  ","How much time hookah or water pipe  used, [X / 50] to age [Y / 59 / current age]",SrvSAS_HookahTm5059_v1r0,HOOKAHLIFEF,Num,1,,0= 15 minutes or less,,1= 15 minutes or less,No,No,,,,,,2/28/22,,,,
,,,,,,,,,,,,,,1 = 16 to 30 minutes,,2= 15 minutes to 30 minutes,,,,,,,,,,,,
,,,,,,,,,,,,,,2 = 31 to 59 minutes,,3= 30 minutes to 1 hour,,,,,,,,,,,,
,,,,,,,,,,,,,,3 = 1 hour,,4= 1 to 2 hours,,,,,,,,,,,,
,,,,,,,,,,,,,,4 = 2 hours or more,,5= More than 2 hours,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"On days that you smoked a hookah or water pipe  when you were age [X / 60] to age [Y / 69 / current age], what is the total amount of time you smoked per day?  ","How much time hookah or water pipe  used, [X / 60] to age [Y / 69 / current age]",SrvSAS_HookahTm6069_v1r0,HOOKAHLIFEG,Num,1,,0= 15 minutes or less,,1= 15 minutes or less,No,No,,,,,,2/28/22,,,,
,,,,,,,,,,,,,,1 = 16 to 30 minutes,,2= 15 minutes to 30 minutes,,,,,,,,,,,,
,,,,,,,,,,,,,,2 = 31 to 59 minutes,,3= 30 minutes to 1 hour,,,,,,,,,,,,
,,,,,,,,,,,,,,3 = 1 hour,,4= 1 to 2 hours,,,,,,,,,,,,
,,,,,,,,,,,,,,4 = 2 hours or more,,5= More than 2 hours,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"On days that you smoked a hookah or water pipe  when you were age [X / 70] and older, what is the total amount of time you smoked per day?  ","How much time hookah or water pipe  used, [X / 70] and older",SrvSAS_HookahTm70_v1r0,HOOKAHLIFEH,Num,1,,0= 15 minutes or less,,1= 15 minutes or less,No,No,,,,,,2/28/22,,,,
,,,,,,,,,,,,,,1 = 16 to 30 minutes,,2= 15 minutes to 30 minutes,,,,,,,,,,,,
,,,,,,,,,,,,,,2 = 31 to 59 minutes,,3= 30 minutes to 1 hour,,,,,,,,,,,,
,,,,,,,,,,,,,,3 = 1 hour,,4= 1 to 2 hours,,,,,,,,,,,,
,,,,,,,,,,,,,,4 = 2 hours or more,,5= More than 2 hours,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,How many days have you smoked a tobacco pipe in your  life?,How many days smoked tobacco pipe in life,SrvSAS_TobPipeDays_v1r0,PIPE1,Num,1,,0= 10 or less,,1= 10 or less,No,No,,,,,,11/23/21,,,,
,,,,,,,,,,,,,,1 = 11 to 49,,2= 11—49 ,,,,,,,,,,,,
,,,,,,,,,,,,,,2 = 50 to 99,,3= 50—99 ,,,,,,,,,,,,
,,,,,,,,,,,,,,3= 100 or more,,4= 100 or more,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,How old were you when you first smoked a tobacco pipe? ,Age first used a tobacco pipe,SrvSAS_TobPipeAgeF_v1r0,PIPE2,Num,2,,N/A,,N/A,No,No,,,,,,12/6/21,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,Age first used a tobacco pipe on a regular basis,,Age started using on regular basis,Age first used a tobacco pipe on a regular basis,SrvSAS_TobPipeAgeReg_v1r0,PIPE3_AGE,Num,2,,N/A,,N/A,No,No,,,,,,10/29/21,,PIPE3,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,Age first used a tobacco pipe on a regular basis,,Age first used a tobacco pipe on a regular basis,"Age first used a tobacco pipe on a regular basis, Never used",SrvSAS_TobPipeNever_v1r0,PIPE3,Num,2,,44 = Never,,,,,,,,,,11/23/21,,PIPE3,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,Do you smoke a tobacco pipe now? ,Use a tobacco pipe now,SrvSAS_TobPipeNow_v1r0,PIPE4,Num,1,,"0 = No, not at all ",,"1= Yes, every day",No,No,,,,,,11/24/21,,,,
,,,,,,,,,,,,,,"1 = Yes, but rarely",,"2= Yes, some day",,,,,,,,,,,,
,,,,,,,,,,,,,,"2 = Yes, but some days",,"3= Yes, but rarely ",,,,,,,,,,,,
,,,,,,,,,,,,,,"3 = Yes, every day",,"4= No, not at all",,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,When was the last time you smoked a tobacco pipe?,Last use a tobacco pipe,SrvSAS_TobPipeLast_v1r0,PIPE5,Num,1,,0=  In the past month ,,1=  In the past month ,No,No,,,,,,10/25/21,,,,
,,,,,,,,,,,,,,"1= More than a month ago, but in the past year",,"2= More than a month ago, but in the past year",,,,,,,,,,,,
,,,,,,,,,,,,,,2= More than 1 year ago ,,3= More than 1 year ago ,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,On how many of the past 30 days have you smoked a tobacco pipe? ,Days used a tobacco pipe past 30 days,SrvSAS_TobPipe30_v1r0,PIPE6,Num,2,,N/A,,N/A,No,No,,,,,,12/6/21,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,How many months ago did you last smoke a tobacco pipe? ,Months ago last used a tobacco pipe,SrvSAS_TobPipeMoAgo_v1r0,PIPE7A,Num,2,,N/A,,N/A,No,No,,,,,,12/6/21,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"Month - During that time, did you ever smoke a tobacco pipe every day?","Use a tobacco pipe every day, months",SrvSAS_TobPipeED_v1r0,PIPE7B,Num,1,,0 = No,,1 = No,No,No,,,,,,10/25/21,,,,
,,,,,,,,,,,,,,1 = Yes,,2 = Yes,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"Month- During that time, how many days (1 to 30) did you smoke a tobacco pipe in a usual month? ","How many days used a tobacco pipe, usual month",SrvSAS_TobPipeDaysMo_v1r0,PIPE7C,Num,2,,N/A,,N/A,No,No,,,,,,12/6/21,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,How old were you when you last smoked a tobacco pipe?,Age last used a tobacco pipe,SrvSAS_TobPipeAgeL_v1r0,PIPE8,Num,2,,N/A,,N/A,No,No,,,,,,12/6/21,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"Age last used - During that time, did you ever smoke a tobacco pipe every day?","Use a tobacco pipe every day, age last used",SrvSAS_TobPipeUseED_v1r0,PIPE8C,Num,1,,0 = No,,1 = No,No,No,,,,,,10/25/21,,,,
,,,,,,,,,,,,,,1 = Yes,,2 = Yes,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"Age last used- During that time, how many days (1 to 30) did you smoke a tobacco pipe in a usual month? ","How many days used a tobacco pipe, age last used",SrvSAS_TobPipeNumDays_v1r0,PIPE8D,Num,2,,N/A,,N/A,No,No,,,,,,12/6/21,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"On days that you [smoke/smoked], how many pipe fills of tobacco [do/did] you smoke per day?",Number pipe fills smoked per day,SrvSAS_PipeFills_v1r0,PIPE9A,Num,2,,N/A,,N/A,No,No,,,,,,12/6/21,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,Did you ever smoke a tobacco pipe every day? ,Ever use a tobacco pipe every day,SrvSAS_TobPipeSmokeED_v1r0,PIPE9B,Num,1,,0 = No,,1 = No,No,No,,,,,,10/25/21,,,,
,,,,,,,,,,,,,,1 = Yes,,2 = Yes,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,How old were you when you stopped smoking a tobacco pipe every day? ,Age stopped using a tobacco pipe every day,SrvSAS_TobPipeAgeStop_v1r0,PIPE9D,Num,2,,N/A,,N/A,No,No,,,,,,12/6/21,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"When you were a daily smoker, how many pipe fills of tobacco did you smoke per day?","When daily user, number of pipe fills of  tobacco pipe smoked per day",SrvSAS_TobPipeFills_v1r0,PIPE9C,Num,2,,N/A,,N/A,No,No,,,,,,12/6/21,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"On days that you smoked when you were age [X] to age [Y / 17], about how many pipe fills of tobacco did you smoke per day? ","How many pipe fills of tobacco per day, Age [X] to age [Y / 17]",SrvSAS_PipeFills17_v1r0,PIPELIFEA ,Num,2,,N/A,,N/A,No,No,,,,,,12/6/21,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"On days that you smoked when you were age [X / 18] to age [Y / 24], about how many pipe fills of tobacco did you smoke per day? ","How many pipe fills of tobacco per day, Age [X / 18] to age [Y / 24]",SrvSAS_PipeFills1824_v1r0,PIPELIFEB,Num,2,,N/A,,N/A,No,No,,,,,,12/6/21,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"On days that you smoked when you were age [X / 25] to age [Y / 29], about how many pipe fills of tobacco did you smoke per day? ","How many pipe fills of tobacco per day, [X / 25] to age [Y / 29]",SrvSAS_PipeFills2529_v1r0,PIPELIFEC,Num,2,,N/A,,N/A,No,No,,,,,,12/6/21,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"On days that you smoked when you were age [X / 30] to age [Y / 39 / current age], about how many pipe fills of tobacco did you smoke per day? ","How many pipe fills of tobacco per day, [X / 30] to age [Y / 39 / current age]",SrvSAS_PipeFills3039_v1r0,PIPELIFED,Num,2,,N/A,,N/A,No,No,,,,,,12/6/21,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"On days that you smoked when you were age [X / 40] to age [Y / 49 / current age], about how many pipe fills of tobacco did you smoke per day? ","How many pipe fills of tobacco per day, [X / 40] to age [Y / 49 / current age]",SrvSAS_PipeFills4049_v1r0,PIPELIFEE,Num,2,,N/A,,N/A,No,No,,,,,,12/6/21,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"On days that you smoked when you were age [X / 50] to age [Y / 59 / current age], about how many pipe fills of tobacco did you smoke per day? ","How many pipe fills of tobacco per day, [X / 50] to age [Y / 59 / current age]",SrvSAS_PipeFills5059_v1r0,PIPELIFEF,Num,2,,N/A,,N/A,No,No,,,,,,12/6/21,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"On days that you smoked when you were age [X / 60] to age [Y / 69 / current age], about how many pipe fills of tobacco did you smoke per day? ","How many pipe fills of tobacco per day, [X / 60] to age [Y / 69 / current age]",SrvSAS_PipeFills6069_v1r0,PIPELIFEG,Num,2,,N/A,,N/A,No,No,,,,,,12/6/21,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"On days that you smoked when you were age [X / 70] and older, about how many pipe fills of tobacco did you smoke per day? ","How many pipe fills of tobacco per day, [X / 70] and older",SrvSAS_PipeFills70_v1r0,PIPELIFEH,Num,2,,N/A,,N/A,No,No,,,,,,12/6/21,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"In the past year, about how often were you around tobacco smoke from other people  smoking in your home or at work? ","Days around tobacco smoke of others, past year",SrvSAS_DaysAroundSmoke_v1r0,CURRSM,Num,1,,0= Every day,,1= Every day,No,No,,,,,,11/23/21,,,,
,,,,,,,,,,,,,,1= Most days of the week,,2= Most days of the week,,,,,,,,,,,,
,,,,,,,,,,,,,,2= A few days per week,,3= A few days per week,,,,,,,,,,,,
,,,,,,,,,,,,,,3= One day per week,,4= One day per week,,,,,,,,,,,,
,,,,,,,,,,,,,,4= A few days per month,,5= A few days per month,,,,,,,,,,,,
,,,,,,,,,,,,,,5= One day per month ,,6= One day per month ,,,,,,,,,,,,
,,,,,,,,,,,,,,6= A few days per year,,7= A few days per year,,,,,,,,,,,,
,,,,,,,,,,,,,,44 = Never,,8= Never,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"On days you were around other people’s tobacco smoke in the past year in your home or work, about how many hours per day were you around it?","Hours around tobacco smoke of others, past year",SrvSAS_HrsAroundSmoke_v1r0,CURRSM2,Num,1,,0=Less than 1 hour per day ,,1=Less than 1 hour per day ,No,No,,,,,,10/25/21,,,,
,,,,,,,,,,,,,,1=1 to 2 hours per day ,,2=1 to 2 hours per day ,,,,,,,,,,,,
,,,,,,,,,,,,,,2=3 to 5 hours per day ,,3=3 to 5 hours per day ,,,,,,,,,,,,
,,,,,,,,,,,,,,3=6 to 9 hours per day ,,4=6 to 9 hours per day ,,,,,,,,,,,,
,,,,,,,,,,,,,,4=10 to 15 hours per day ,,5=10 to 15 hours per day ,,,,,,,,,,,,
,,,,,,,,,,,,,,5=More than 15 hours per day ,,6=More than 15 hours per day ,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,"Thinking about your typical adult life, about how often were you around the tobacco smoke of others, for example in your home, work, or school ",,"Thinking about your typical adult life, about how often were you around the tobacco smoke of others, for example in your home, work, or school when you were up to the age of 17","Around tobacco smoke of others, up to Age 17",SrvSAS_AroundSmoke17_v1r0,SECSMLF2A,Num,2,,"0= Every day, at least two hours each day",,"1= Every day, at least two hours each day",No,No,,,,,,3/7/22,,GRID_SECSMLF2,,
,,,,,,,,,,,,,,"1= Every day, less than 2 hours each day",,"2= Every day, less than 2  hours each day",,,,,,,,,,,,
,,,,,,,,,,,,,,2= Most days of the week,,3= Most days of the week,,,,,,,,,,,,
,,,,,,,,,,,,,,3= A few days per week,,4= A few days per week,,,,,,,,,,,,
,,,,,,,,,,,,,,4= One day per week,,5= One day per week,,,,,,,,,,,,
,,,,,,,,,,,,,,5= A few days per month,,6= A few days per month,,,,,,,,,,,,
,,,,,,,,,,,,,,6= One day per month ,,7= One day per month ,,,,,,,,,,,,
,,,,,,,,,,,,,,7= A few days per year,,8= A few days per year,,,,,,,,,,,,
,,,,,,,,,,,,,,44 = Never,,9= Never,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,"Thinking about your typical adult life, about how often were you around the tobacco smoke of others, for example in your home, work, or school ",,"Thinking about your typical adult life, about how often were you around the tobacco smoke of others, for example in your home, work, or school when you were between 18 and 24 years of age","Around tobacco smoke of others, Age 18 to Age 24",SrvSAS_AroundSmoke1824_v1r0,SECSMLF2B,Num,2,,"0= Every day, at least two hours each day",,"1= Every day, at least two hours each day",No,No,,,,,,3/7/22,,GRID_SECSMLF2,,
,,,,,,,,,,,,,,"1= Every day, less than 2 hours each day",,"2= Every day, less than 2  hours each day",,,,,,,,,,,,
,,,,,,,,,,,,,,2= Most days of the week,,3= Most days of the week,,,,,,,,,,,,
