conceptId,Primary Source,conceptId,Secondary Source,conceptId,Source Question,conceptId,Question Text,Variable Label,Variable Name,Connect Value for Select all that apply questions,Variable Type,Variable Length,conceptId,Format/Value,conceptId,Old Quest Value,Required,PII,Notes,Derivation Notes,Dictionary,State Attribute,Default Variable,Date added or modified,Question Type,Quest_Src Question,
,Help Desk,,Withdrawal,,,,First Name extracted from HIPAA revocation form,First Name,HdWd_Fname_v1r0,,Char,50,,N/A,,,Yes,Yes,Legal first name for all non-KP sites. For KP sites it is their ID card name.,,Master Data Dictionary,No,No,,,,
,Help Desk,,Withdrawal,,,,Last Name extracted from HIPAA revocation form,Last Name,HdWd_Lname_v1r0,,Char,50,,N/A,,,Yes,Yes,Legal last name for all non-KP sites. For KP sites it is their ID card name.,,Master Data Dictionary,No,No,,,,
,Help Desk,,Withdrawal,,,,Middle Name extracted from HIPAA revocation form,Middle Name,HdWd_Mname_v1r0,,Char,50,,N/A,,,No,Yes,Legal middle name for all non-KP sites. For KP sites it is their ID card name.,,Master Data Dictionary,No,No,,,,
,Help Desk,,Withdrawal,,,,Suffix- HIPAA Revocation,Suffix,HdWd_Suffix_v1r0,,Num,1,,0=Jr.,,,No,No,Additional options may be added later.,,Master Data Dictionary,No,No,2/11/22,Same Question text as RcrtCS_Suffix_v1r0 and RcrtUP_Suffix_v1r0,,
,,,,,,,,,,,,,,1=Sr.,,,,,,,,,,,,,
,,,,,,,,,,,,,,2=I,,,,,,,,,,,,,
,,,,,,,,,,,,,,3=II,,,,,,,,,,,,,
,,,,,,,,,,,,,,4=III,,,,,,,,,,,,,
,,,,,,,,,,,,,,5=2nd,,,,,,,,,,,,,
,,,,,,,,,,,,,,6=3rd,,,,,,,,,,,,,
,Help Desk,,Withdrawal,,,,Withdraw consent,Withdraw consent,HdWd_WdConsent_v1r0,,Num,1,,0=No,,,Yes,No,Set by help desk agent via dashboard. Withdraw Consent also triggers Revoke HIPAA,,"Withdrawal, Study Manager Data Dictionary",No,Yes,4/22/21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,,
,Help Desk,,Withdrawal,297147359,Who requested the Refusal/Withdrawal,,Who requested the Refusal/Withdrawal,Who requested the Refusal/Withdrawal,HdWd_WhoRequestedRefWd_v1r0,,Num,1,,0=The participant (via the CSC directly or via a Connect site staff),,,Yes,No,This is a select one variable (not select all that apply). (Other may be a family member or other individual who makes the request on behalf of the participant and these are required to be vetted by the CCC before NORC enters them into the dashboard).,,Master Data Dictionary,No,,1/31/22,,,
,,,,,,,,,,,,,,1=The Connect Principal Investigator (or designate),,,,,,,,,,,,,
,,,,,,,,,,,,,,2=The Chair of the Connect IRB-of-record (NIH IRB),,,,,,,,,,,,,
,,,,,,,,,,,,,,3=Site PI listed on the site-specific consent form,,,,,,,,,,,,,
,,,,,,,,,,,,,,4=Chair of the Site IRB,,,,,,,,,,,,,
,,,,,,,,,,,,,,55=Other |__|,,,,,,,,,,,,,
,Help Desk,,Withdrawal,297147359,Who requested the Refusal/Withdrawal,,Who Requested the Refusal/Withdrawal- Other (specify):,Who Requested the Refusal/Withdrawal- Other (specify):,HdWd_RequestedRefWdOth_v1r0,,Char,800,,,,,Yes,No,Other may be a family member or other individual who makes the request on behalf of the participant and these are required to be vetted by the CCC before NORC enters them into the dashboard,,Master Data Dictionary,No,No,1/31/22,,,
,Help Desk,,Withdrawal,603278289,Who requested refusal of all future activities,,Who requested refusal of all future activities,Who requested data destruction,HdWd_WhoAllActivity_v1r0,,Num,1,,0=The participant (via the CSC directly or via a Connect site staff),,,Yes,No,This is a select one variable (not select all that apply). (Other may be a family member or other individual who makes the request on behalf of the participant and these are required to be vetted by the CCC before NORC enters them into the dashboard).,,Master Data Dictionary,No,,1/31/22,,,
,,,,,,,,,,,,,,1=The Connect Principal Investigator (or designate),,,,,,,,,,,,,
,,,,,,,,,,,,,,2=The Chair of the Connect IRB-of-record (NIH IRB),,,,,,,,,,,,,
,,,,,,,,,,,,,,3=Site PI listed on the site-specific consent form,,,,,,,,,,,,,
,,,,,,,,,,,,,,4=Chair of the Site IRB,,,,,,,,,,,,,
,,,,,,,,,,,,,,55=Other |__|,,,,,,,,,,,,,
,Help Desk,,Withdrawal,603278289,Who requested refusal of all future activities,,Who requested refusal of all future activities- Other (specify):,Who requested refusal of all future activities- Other (specify):,HdWd_ReqOtherAllActivity_v1r0,,Char,800,,,,,Yes,No,Other may be a family member or other individual who makes the request on behalf of the participant and these are required to be vetted by the CCC before NORC enters them into the dashboard,,Master Data Dictionary,No,No,1/31/22,,,
,Help Desk,,Withdrawal,175506524,Who requested HIPAA revocation,,Who requested HIPAA revocation,Who requested HIPAA revocation,HdWd_WhoHIPAARevoke_v1r0,,Num,1,,0=The participant (via the CSC directly or via a Connect site staff),,,Yes,No,This is a select one variable (not select all that apply). (Other may be a family member or other individual who makes the request on behalf of the participant and these are required to be vetted by the CCC before NORC enters them into the dashboard).,,Master Data Dictionary,No,,1/31/22,,,
,,,,,,,,,,,,,,1=The Connect Principal Investigator (or designate),,,,,,,,,,,,,
,,,,,,,,,,,,,,2=The Chair of the Connect IRB-of-record (NIH IRB),,,,,,,,,,,,,
,,,,,,,,,,,,,,3=Site PI listed on the site-specific consent form,,,,,,,,,,,,,
,,,,,,,,,,,,,,4=Chair of the Site IRB,,,,,,,,,,,,,
,,,,,,,,,,,,,,55=Other |__|,,,,,,,,,,,,,
,Help Desk,,Withdrawal,175506524,Who requested HIPAA revocation,,Who requested HIPAA revocation- Other (specify):,Who requested HIPAA revocation- Other (specify):,HdWd_ReqHIPAArevoke_v1r0,,Char,800,,,,,Yes,No,Other may be a family member or other individual who makes the request on behalf of the participant and these are required to be vetted by the CCC before NORC enters them into the dashboard,,Master Data Dictionary,No,No,1/31/22,,,
,Help Desk,,Withdrawal,299274441,Who withdrew consent,,Who withdrew consent,Who withdrew consent,HdWd_WhoWdrewConsent_v1r0,,Num,1,,0=The participant (via the CSC directly or via a Connect site staff),,,Yes,No,This is a select one variable (not select all that apply). (Other may be a family member or other individual who makes the request on behalf of the participant and these are required to be vetted by the CCC before NORC enters them into the dashboard).,,Master Data Dictionary,No,,1/31/22,,,
,,,,,,,,,,,,,,1=The Connect Principal Investigator (or designate),,,,,,,,,,,,,
,,,,,,,,,,,,,,2=The Chair of the Connect IRB-of-record (NIH IRB),,,,,,,,,,,,,
,,,,,,,,,,,,,,3=Site PI listed on the site-specific consent form,,,,,,,,,,,,,
,,,,,,,,,,,,,,4=Chair of the Site IRB,,,,,,,,,,,,,
,,,,,,,,,,,,,,55=Other |__|,,,,,,,,,,,,,
,Help Desk,,Withdrawal,299274441,Who withdrew consent,,Who withdrew consent- Other (specify):,Who withdrew consent- Other (specify):,HdWd_ReqWdrewConsent_v1r0,,Char,800,,,,,Yes,No,Other may be a family member or other individual who makes the request on behalf of the participant and these are required to be vetted by the CCC before NORC enters them into the dashboard,,Master Data Dictionary,No,No,1/31/22,,,
,Help Desk,,Withdrawal,524352591,Who requested data destruction,,Who requested data destruction,Who requested data destruction,HdWd_WhoDataDestruct_v1r0,,Num,1,,0=The participant (via the CSC directly or via a Connect site staff),,,Yes,No,This is a select one variable (not select all that apply). (Other may be a family member or other individual who makes the request on behalf of the participant and these are required to be vetted by the CCC before NORC enters them into the dashboard).,,Master Data Dictionary,No,,1/31/22,,,
,,,,,,,,,,,,,,1=The Connect Principal Investigator (or designate),,,,,,,,,,,,,
,,,,,,,,,,,,,,2=The Chair of the Connect IRB-of-record (NIH IRB),,,,,,,,,,,,,
,,,,,,,,,,,,,,3=Site PI listed on the site-specific consent form,,,,,,,,,,,,,
,,,,,,,,,,,,,,4=Chair of the Site IRB,,,,,,,,,,,,,
,,,,,,,,,,,,,,55=Other |__|,,,,,,,,,,,,,
,Help Desk,,Withdrawal,524352591,Who requested data destruction,,Who requested data destruction- Other (specify):,Who requested data destruction- Other (specify):,HdWd_RequDataDestruct_v1r0,,Char,800,,,,,Yes,No,Other may be a family member or other individual who makes the request on behalf of the participant and these are required to be vetted by the CCC before NORC enters them into the dashboard,,Master Data Dictionary,No,No,2/3/22,,,
,Help Desk,,Withdrawal,,,,Destroy data,Wants data destroyed,HdWd_Destroydata_v1r0,,Num,1,,0=No,,,Yes,No,Set by help desk agent via dashboard. Destroy data also triggers Withdraw Consent and Revoke HIPAA,,"Withdrawal, Study Manager Data Dictionary",No,Yes,4/22/21,,,
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,,
,Help Desk,,Withdrawal,,,,Destroy Data Categorical,Destroy Data Categorical,HdWd_DestroyDataCat_v1r0,,Num,1,,0=Not Requested,,,Yes,No,,Not requested: HdWd_DestroyData_v1r0 equals 0,Master Data Dictionary,No,No,6/7/21,,,
,,,,,,,,,,,,,,1=Requested but not signed,,,,,,Requested but not signed: HdWd_DestroyData_v1r0 equals 1 and HdWd_Datadestroysign_v1r0 equals 0,,,,,,,
,,,,,,,,,,,,,,2=Requested and signed,,,,,,Requested and signed: HdWd_DestroyData_v1r0 equals 1 and HdWd_Datadestroysign_v1r0 equals 1,,,,,,,
,Help Desk,,Withdrawal,,,,Data Destruction Form Version,Data Destruction Form Version,HdWd_DestroyDataVer_v1r0,,Char,,,N/A,,,Yes,No,Other version codes to be added as needed.,,Master Data Dictionary,No,No,4/9/21,,,
,Help Desk,,Withdrawal,,,,First Name extracted from Data Destruction form,First Name,HdWd_FnameDD_v1r0,,Char,50,,N/A,,,Yes,Yes,Legal first name for all non-KP sites. For KP sites it is their ID card name.,,Master Data Dictionary,No,No,4/9/21,,,
,Help Desk,,Withdrawal,,,,Last Name extracted from Data Destruction form,Last Name,HdWd_LnameDD_v1r0,,Char,50,,N/A,,,Yes,Yes,Legal last name for all non-KP sites. For KP sites it is their ID card name.,,Master Data Dictionary,No,No,4/9/21,,,
,Help Desk,,Withdrawal,,,,Middle Name extracted from Data Destruction form,Middle Name,HdWd_MnameDD_v1r0,,Char,50,,N/A,,,No,Yes,Legal middle name for all non-KP sites. For KP sites it is their ID card name.,,Master Data Dictionary,No,No,4/9/21,,,
,Help Desk,,Withdrawal,,,,Suffix- Data Destruction,Suffix,HdWd_SuffixDD_v1r0,,Num,1,,0=Jr.,,,No,No,Additional options may be added later.,,Master Data Dictionary,No,No,2/11/22,"Same question text as RcrtCS_Suffix_v1r0, RcrtUP_Suffix_v1r0 and HdWd_Suffix_v1r0",,
,,,,,,,,,,,,,,1=Sr.,,,,,,,,,,,,,
,,,,,,,,,,,,,,2=I,,,,,,,,,,,,,
,,,,,,,,,,,,,,3=II,,,,,,,,,,,,,
,,,,,,,,,,,,,,4=III,,,,,,,,,,,,,
,,,,,,,,,,,,,,5=2nd,,,,,,,,,,,,,
,,,,,,,,,,,,,,6=3rd,,,,,,,,,,,,,
,Help Desk,,Withdrawal,,,,Participant Deceased,Participant Deceased,HdWd_Deceased_v1r0,,Num,1,,0=No,,,Yes,No,Set by help desk agent via dashboard,,Master Data Dictionary,No,Yes,3/24/21,,,
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,,
,Help Desk,,Withdrawal,,,,Date Participant Deceased,Date Participant Deceased,HdWd_DeceasedDt_v1r0,,ISO,24,,example: 2020-07-17T15:21:26.763Z,,,Yes,No,ISO to be converted to SAS format,,Master Data Dictionary,No,No,3/24/21,,,
,Help Desk,,Withdrawal,,,,Autogenerated date/time stamp upon date entry of the form when the deceased date data was submitted,Date/time stamp upon date entry of the form when the deceased date data was submitted,HdWd_DeceasedDtEntry_v1r0,,ISO,24,,example: 2020-07-17T15:21:26.763Z,,,Yes,No,ISO to be converted to SAS format. This is date the deceased data was submitted on the SM dashboard,,Master Data Dictionary,No,No,9/29/21,,,
,Help Desk,,Withdrawal,,,,Source of Deceased Report,Source of Deceased Report,HdWd_SourceofReport_v1r0,,Num,1,,0 = Spouse/partner,,,Yes,No,,,Master Data Dictionary,No,Yes,3/24/21,,,
,,,,,,,,,,,,,,1 = Child,,,,,,,,,,,,,
,,,,,,,,,,,,,,2 = Other relative or proxy,,,,,,,,,,,,,
,,,,,,,,,,,,,,3 = IHCS Staff,,,,,,,,,,,,,
,,,,,,,,,,,,,,55 = Other,,,,,,,,,,,,,
,Help Desk,,Withdrawal,,,,Contact has been suspended,Contact has been suspended,HdWd_SuspendContact_v1r0,,Num,1,,0=No,,,No,No,Autopopulated if suspend date is given,,Master Data Dictionary,No,No,4/12/21,,,
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,,
,Help Desk,,Withdrawal,,,,Suspend all contact on case until DATE: MM/DD/YYYY,Suspend all contact on case until DATE: MM/DD/YYYY,HdWd_Suspend_v1r0,,ISO,24,,example: 2020-07-17T15:21:26.763Z,,,No,No,"ISO to be converted to SAS format. Notifications should stop until this date. If the message is supposed to go out between the start and stop dates for suspended contact, then the message should not go out. This applies to contact attempts 2-10 of the quex only/survey reminders.",,Master Data Dictionary,No,No,4/9/21,,,
,Help Desk,,Withdrawal,,,,Date of the start of suspend all contact,Date of the start of suspend all contact,HdWd_SuspendDt_v1r0,,ISO,24,,example: 2020-07-17T15:21:26.763Z,,,No,No,ISO to be converted to SAS format. Autoset to the date the suspension was entered by the help desk agent,,Master Data Dictionary,No,No,4/9/21,,,
,Help Desk,,Withdrawal,,,,Autoset when HdWd_WdConsent_v1r0 selected,Date withdrew consent,HdWd_WdConsentDt_v1r0,,ISO,24,,example: 2020-07-17T15:21:26.763Z,,,No,No,ISO to be converted to SAS format. The date of revocation won't be stored if withdrawal is also requested. Date withdrew consent will not be populated if the participant also requested data destruction on the same date.,,Master Data Dictionary,No,No,10/21/21,,,
,Help Desk,,Withdrawal,,,,Autoset when  HdWd_Activeparticipation_v1 selected,Date refused all future participation,HdWd_DateActivepart_v1r0,,ISO,24,,example: 2020-07-17T15:21:26.763Z,,,No,No,ISO to be converted to SAS format,,"Withdrawal, Study Manager Data Dictionary",No,No,4/9/21,,,
,Help Desk,,Withdrawal,,,,Autoset when HdWd_HIPAA revoked_v1r0 selected,Date requested to revoke HIPAA authorization,HdRef_DateHIPAArevoked_v1r0,,ISO,24,,example: 2020-07-17T15:21:26.763Z,,,No,No,ISO to be converted to SAS format. Will not be populated if the participant also withdrew or requested data destruction on the same date,,"Withdrawal, Study Manager Data Dictionary",No,No,10/21/21,,,
,Help Desk,,Withdrawal,,,,Autoset when  HdWd_Destroydata_v1r0 selected,Date requested data destroyed,HdRef_DateDatadestroy_v1r0,,ISO,24,,example: 2020-07-17T15:21:26.763Z,,,No,No,ISO to be converted to SAS format. The withdrawal and revocation date time stamps will not be stored if data destruction date is also requested,,"Withdrawal, Study Manager Data Dictionary",No,No,9/28/21,,,
,Help Desk,,Withdrawal,,,,HIPAA revocation signed,Signed HIPAA revocation form,HdWd_HIPAArevokesign_v1r0,,Num,1,,0=No,,,Yes,No,Set when form signed,,"Withdrawal, Study Manager Data Dictionary",No,Yes,7/19/21,,,
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,,
,Help Desk,,Withdrawal,,,,Autoset when HdWd_HIPAArevocationsigned_v1r0 selected,Date HIPAA revocation signed,HdWd_DateHIPAArevsign_v1r0,,ISO,24,,example: 2020-07-17T15:21:26.763Z,,,No,No,ISO to be converted to SAS format,,"Withdrawal, Study Manager Data Dictionary",No,No,,,,
,Help Desk,,Withdrawal,,,,Data destruction request signed,Signed data destruction request,HdWd_Datadestroysign_v1r0,,Num,1,,0=No,,,Yes,No,Set when form signed,,"Withdrawal, Study Manager Data Dictionary",No,Yes,7/19/21,,,
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,,
,Help Desk,,Withdrawal,,,,Autoset when HdWd_Datadestructionsigned_v1r0 selected,Date data destruction request signed,HdWd_DateDatadestsign_v1r0,,ISO,24,,example: 2020-07-17T15:21:26.763Z,,,No,No,ISO to be converted to SAS format,,"Withdrawal, Study Manager Data Dictionary",No,No,,,,
,Help Desk,,Refusal,,,,I am no longer interested in the study,I am no longer interested in the study,HdRef_NotInterested_v1r0,,Num,1,,0=No,,,Yes,No,,,Master Data Dictionary,No,Yes,5/25/21,,,
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,,
,Help Desk,,Refusal,,,,I am too busy/the study takes too much time,I am too busy/the study takes too much time,HdRef_TooMuchTime_v1r0,,Num,1,,0=No,,,Yes,No,,,Master Data Dictionary,No,Yes,5/25/21,,,
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,,
,Help Desk,,Refusal,,,,I think the payment or benefit to participant is not great enough,I think the payment or benefit to participant is not great enough,HdRef_Payment_v1r0,,Num,1,,0=No,,,Yes,No,,,Master Data Dictionary,No,Yes,5/25/21,,,
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,,
,Help Desk,,Refusal,,,,"I am too sick/my health is too poor""""""""to participate","I am too sick/my health is too poor""""""""to participate",HdRef_Sick_v1r0,,Num,1,,0=No,,,Yes,No,,,Master Data Dictionary,No,Yes,5/25/21,"Quotes are off, but fixing quotes shouldn't impact anything else, since the other place this shows up is ""I am too sick/my health is too poor to join"" so the word ""join"" vs. ""participate"" differentiates the text",,
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,,
,Help Desk,,Refusal,,,,"I do not have reliable access to the internet/a""""""""device","I do not have reliable access to the internet/a""""""""device",HdRef_NoInternet_v1r0,,Num,1,,0=No,,,Yes,No,,,Master Data Dictionary,No,Yes,5/25/21,"Quotes are off, and fixing this would impact RcrtSI_OptOut_v1r0_access",,
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,,
,Help Desk,,Refusal,,,,I am worried about receiving results from the study,Worried about receiving results from the study,HdRef_WorriedResults_v1r0,,Num,1,,0=No,,,Yes,No,,,Master Data Dictionary,No,Yes,3/24/21,,,
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,,
,Help Desk,,Refusal,,,,I am worried the study might find something concerning about me,I am worried the study might find something concerning about me,HdRef_Worried_v1r0,,Num,1,,0=No,,,Yes,No,,,Master Data Dictionary,No,Yes,5/25/21,,,
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,,
,Help Desk,,Refusal,,,,I am concerned about my privacy- Refusal,Concerned about privacy,HdRef_Privacy_v1r0,,Num,1,,0=No,,,Yes,No,,,Master Data Dictionary,No,Yes,1/31/22,,,
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,,
,Help Desk,,Refusal,,,,I do not trust the government- Refusal,I do not trust the government,HdRef_PrivacyB_v1r0,,Num,1,,0=No,,,Yes,No,,,Master Data Dictionary,No,Yes,1/31/22,,,
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,,
,Help Desk,,Refusal,,,,I do not trust research/researchers- Refusal,I do not trust research/researchers,HdRef_PrivacyC_v1r0,,Num,1,,0=No,,,Yes,No,,,Master Data Dictionary,No,Yes,1/31/22,,,
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,,
,Help Desk,,Refusal,,,,I do not want my information shared with other researchers- Refusal,I do not want my information shared with other researchers,HdRef_PrivacyD_v1r0,,Num,1,,0=No,,,Yes,No,,,Master Data Dictionary,No,Yes,1/31/22,Quotes are off and fixing this would impact RcrtSI_OptOut_v1r0_PrivacyF,,
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,,
,Help Desk,,Refusal,,,,"I am worried""""""""my""""""""information isn""""""""t secure or there will be a data breach","I am worried""""""""my""""""""information isn""""""""t secure or there will be a data breach",HdRef_PrivacyE_v1r0,,Num,1,,0=No,,,Yes,No,,,Master Data Dictionary,No,Yes,5/25/21,"Quotes are off but fixing this shouldn't impact anything because the other place we see this says """"I am worried my information will not be secure or there will be a data breach"""" which is slightly different",,
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,,
,Help Desk,,Refusal,,,,"I am worried about data being given to""my insurance company/effects on insurance (health, life, other)","I am worried about data being given to""my insurance company/effects on insurance (health, life, other)",HdRef_PrivacyF_v1r0,,Num,1,,0=No,,,Yes,No,,,Master Data Dictionary,No,Yes,5/25/21,Quotes are off and fixing this would impact RcrtSI_OptOut_v1r0_PrivacyH,,
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,,
,Help Desk,,Refusal,,,,"I am worried about data being given to""""""""my""""""""employer/potential employer","I am worried about data being given to""""""""my""""""""employer/potential employer",HdRef_PrivacyG_v1r0,,Num,1,,0=No,,,Yes,No,,,Master Data Dictionary,No,Yes,5/25/21,Quotes are off and fixing this would impact RcrtSI_OptOut_v1r0_PrivacyI,,
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,,
,Help Desk,,Refusal,,,,"I am worried that my""""""""information could be used to discriminate against me/my""""""""family","I am worried that my""""""""information could be used to discriminate against me/my""""""""family",HdRef_PrivacyH_v1r0,,Num,1,,0=No,,,Yes,No,,,Master Data Dictionary,No,Yes,5/25/21,Quotes are off and fixing this would impact RcrtSI_OptOut_v1r0_PrivacyJ,,
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,,
,Help Desk,,Refusal,,,,"I am worried that my""""""""information will be used by others to make a profit","I am worried that my""""""""information will be used by others to make a profit",HdRef_PrivacyI_v1r0,,Num,1,,0=No,,,Yes,No,,,Master Data Dictionary,No,Yes,5/25/21,Quotes are off and fixing this would impact RcrtSI_OptOut_v1r0_PrivacyK,,
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,,
,Help Desk,,Refusal,,,,I have other privacy concerns- Refusal,I have other privacy concerns,HdRef_PrivacyJ_v1r0,,Num,1,,0=No,,,Yes,No,,,Master Data Dictionary,No,Yes,1/31/22,,,
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,,
,Help Desk,,Refusal,,,,I am not able to complete the study activities online- Refusal,I am not able to complete the study activities online,HdRef_Online_v1r0,,Num,1,,0=No,,,Yes,No,,,Master Data Dictionary,No,Yes,1/31/22,,,
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,,
,Help Desk,,Refusal,,,,I do not like to do things online- Refusal,I do not like to do things online,HdRef_DislikeOnline_v1r0,,Num,1,,0=No,,,Yes,No,,,Master Data Dictionary,No,Yes,1/31/22,,,
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,,
,Help Desk,,Refusal,,,,I am concerned about COVID-19- Refusal,I am concerned about COVID-19,HdRef_COVID_v1r0,,Num,1,,0=No,,,Yes,No,,,Master Data Dictionary,No,Yes,1/31/22,,,
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,,
,Help Desk,,Refusal,,,,Participant is now unable to participate,Participant is now unable to participate,HdRef_Unable_v1r0,,Num,1,,0=No,,,Yes,No,,,Master Data Dictionary,No,Yes,5/25/21,,,
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,,
,Help Desk,,Refusal,,,,Participant is incarcerated,Participant is incarcerated,HdRef_Incarcerated_v1r0,,Num,1,,0=No,,,Yes,No,,,Master Data Dictionary,No,Yes,3/24/21,,,
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,,
,Help Desk,,Refusal,,,,Other reasons,Other reasons,HdRef_OthRsn_v1r0,,Num,1,,0=No,,,Yes,No,,,Master Data Dictionary,No,Yes,5/26/21,,,
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,,
,Help Desk,,Refusal,,,,Other reasons (specify),Other reasons (specify),HdRef_Other_v1r0,,Char,800,,N/A,,,Yes,No,,,Master Data Dictionary,No,Yes,,,,
,Help Desk,,Refusal,,,,Reason not given- Refusal,Reason not given,HdRef_NotGiven_v1r0,,Num,1,,0=No,,,Yes,No,,,Master Data Dictionary,No,Yes,1/31/22,,,
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,,
,Study Manager,,Metrics,,,,Disposition codes for participation status,Participation status,SMMet_PartStatus_v1r0,,Num,1,,0 = No Refusal,,,,,Developed for participant status on Study Manager dashboard.  Row of derivation is on same row as corresponding response variable.,HdRef_Basesrv_v1r0 equals0 AND HdRef_Baseblood_v1r0 equals 0 AND HdRef_Baseurine_v1r0 and HdRef_Basesaliva_v1r0 equals 0 AND HdRef_Allsrv_v1r0 equals 0 AND HdRef_Allsample_v1r0 equals 0 AND HdRef_BlSpecSrv_v1r0 equals 0 AND HdWd_WdConsent_v1r0 equals 0 AND HdWd_Activepart_v1r0 equals 0 AND HdWd_HIPAArevoked_v1r0 equals 0 AND HdWd_Destroydata_v1r0 equals 0 AND HdWd_Deceased_v1r0 equals 0,Master Data Dictionary,No,Yes,2/2/22,,,
,,,,,,,,,,,,,,1 = Refused some activities,,,,,,HdWd_WdConsent_v1r0 equals 0 AND HdWd_Activepart_v1r0 equals 0 AND HdWd_HIPAArevoked_v1r0 equals 0 AND HdWd_Destroydata_v1r0 equals 0 AND HdWd_Deceased_v1r0 equals 0,,,,,,,
,,,,,,,,,,,,,,2 = Refused all future activities,,,,,,HdWd_Activepart_v1r0 equals 1 AND HdWd_HIPAArevoked_v1r0 equals 0 And HdWd_WdConsent_v1r0 equals 0 AND HdWd_Deceased_v1r0 equals 0 AND HdWd_Destroydata_v1r0 equals 0,,,,,,,
,,,,,,,,,,,,,,3 = Revoked HIPAA only,,,,,,HdWd_HIPAArevoked_v1r0 equals 1 And HdWd_WdConsent_v1r0 equals 0 And HdWd_Deceased_v1r0 equals 0 AND HdWd_Destroydata_v1r0 equals 0,,,,,,,
,,,,,,,,,,,,,,4 = Withdrew consent,,,,,,HdWd_HIPAArevoked_v1r0 equals 1 AND HdWd_WdConsent_v1r0 equals1 AND HdWd_Deceased_v1r0 equals 0 AND HdWd_Destroydata_v1r0 equals 0,,,,,,,
,,,,,,,,,,,,,,5 = Destroyed data,,,,,,HdWd_Destroydata_v1r0 equals 1,,,,831041022,HdWd_Destroydata_v1r0,,
,,,,,,,,,,,,,,6 = Deceased,,,,,,HdWd_Deceased_v1r0 equals 1,,,,,,,
,Biospecimen,,BPTL – Receipts,238268405,Select Package Condition - Site Shipment,,Cold Packs - none,Cold Packs - none,BioBPTL_ColdPackNone_v1r0,,Num,1,,0=No,,,Yes,No,,Default to No upon package receipt ('Shipment Received - Site Shipment'= Yes) if this condition is not selected,BPTL,No,Yes,10/6/21,,,
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,,
,Biospecimen,,BPTL – Receipts,238268405,Select Package Condition - Site Shipment,,Cold Packs – insufficient,Cold Packs – insufficient,BioBPTL_ColdPackIns_v1r0,,Num,1,,0=No,,,Yes,No,,Default to No upon package receipt ('Shipment Received - Site Shipment'= Yes) if this condition is not selected,BPTL,No,Yes,10/6/21,,,
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,,
,Biospecimen,,BPTL – Receipts,238268405,Select Package Condition - Site Shipment,,Cold Packs - warm,Cold Packs - warm,BioBPTL_ColdPackWarm_v1r0,,Num,1,,0=No,,,Yes,No,,Default to No upon package receipt ('Shipment Received - Site Shipment'= Yes) if this condition is not selected,BPTL,No,Yes,10/6/21,,,
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,,
,Biospecimen,,BPTL – Receipts,238268405,Select Package Condition - Site Shipment,,Damaged Container (outer and/or inner),Damaged Container (outer and/or inner),BioBPTL_DamagedCont_v1r0,,Num,1,,0=No,,,Yes,No,,Default to No upon package receipt ('Shipment Received - Site Shipment'= Yes) if this condition is not selected,BPTL,No,Yes,10/6/21,,,
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,,
,Biospecimen,,BPTL – Receipts,238268405,Select Package Condition - Site Shipment,,Damaged Vials,Damaged Vials,BioBPTL_DamagedVials_v1r0,,Num,1,,0=No,,,Yes,No,,Default to No upon package receipt ('Shipment Received - Site Shipment'= Yes) if this condition is not selected,BPTL,No,Yes,10/6/21,,,
,,,,,,,,,,,,,,1=Yes,,,,,,,,,,,,,
