Formula for Index,Index,conceptId,Primary Source,conceptId,Secondary Source,conceptId,Current Source Question,V1 Source Question,GridID/Source Question Name,"Deprecated, New, or Revised","Date Deprecated, New, or Revised Variable Pushed to Prod",conceptId,Current Question Text,V2 Question Text,V1 Question Text,Variable Label,Variable Name,Connect Value for Select all that apply questions - Surveys Only,Variable Type,Variable Length,conceptId,Current Format/Value,R0 Format/Value,Required,PII,Notes,Derivation Notes,Dictionary,State Attribute,Default Variable,Date added or modified,GCP Document/Table,Question Type,IMS Review Notes
756,756,819848608,Biospecimen,683613884,EDTA Tube 3,248868659,Deviation? (Select all that apply),,,,,728366619,Deviation- Low volume - (tube/container partially filled but still usable),,,EDTAT3 Dev- Vol Low But Usable,BioCol_Dev_v1r0_LowVolEDTAT3,,Num,1,104430631,0 = No,,Yes if yes to deviation for a specimen and no other deviation selected,No,Default no,,"Biospecimen Clinical, Biospecimen Research",No,Yes,9/7/23,Biospecimen Table Nesed structure: d_Tube/Bag/Object_d_248868659_d_728366619,,Added new variable.
757,757,,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,
758,758,819848608,Biospecimen,838567176,Heparin Tube 1,248868659,Deviation? (Select all that apply),,,,,728366619,Deviation- Low volume - (tube/container partially filled but still usable),,,HT1 Dev- Vol Low But Usable,BioCol_Dev_v1r0_LowVolHT1,,Num,1,104430631,0 = No,,Yes if yes to deviation for a specimen and no other deviation selected,No,Default no,,"Biospecimen Clinical, Biospecimen Research",No,Yes,9/7/23,Biospecimen Table Nesed structure: d_Tube/Bag/Object_d_248868659_d_728366619,,Added new variable.
759,759,,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,
760,760,819848608,Biospecimen,958646668,Heparin Tube 2,248868659,Deviation? (Select all that apply),,,,,728366619,Deviation- Low volume - (tube/container partially filled but still usable),,,HT2 Dev- Vol Low But Usable,BioCol_Dev_v1r0_LowVolHT2,,Num,1,104430631,0 = No,,Yes if yes to deviation for a specimen and no other deviation selected,No,Default no,,"Biospecimen Clinical, Biospecimen Research",No,Yes,9/7/23,Biospecimen Table Nesed structure: d_Tube/Bag/Object_d_248868659_d_728366619,,Added new variable.
761,761,,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,
762,762,819848608,Biospecimen,299553921,Serum Separator Tube 1,248868659,Deviation? (Select all that apply),,,,,453343022,Deviation- Other,,,SST1 Dev - Oth,BioCol_Dev_v1r0_OtherSST1,,Num,1,104430631,0 = No,,Yes if yes to deviation for a specimen and no other deviation selected,No,Default no,,"Biospecimen Clinical, Biospecimen Research",No,Yes,9/7/23,Biospecimen Table Nesed structure: d_Tube/Bag/Object_d_248868659_d_453343022,,"Updated Variable Name from BioCol_Dev_v1r0_Other to BioCol_Dev_v1r0_OtherSST1. Updated Variable Label, Secondary Source and CID."
763,763,,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,
764,764,819848608,Biospecimen,703954371,Serum Separator Tube 2,248868659,Deviation? (Select all that apply),,,,,453343022,Deviation- Other,,,SST2 Dev - Oth,BioCol_Dev_v1r0_OtherSST2,,Num,1,104430631,0 = No,,Yes if yes to deviation for a specimen and no other deviation selected,No,Default no,,"Biospecimen Clinical, Biospecimen Research",No,Yes,9/7/23,Biospecimen Table Nesed structure: d_Tube/Bag/Object_d_248868659_d_453343022,,Added new Variable
765,765,,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,
766,766,819848608,Biospecimen,376960806,Serum Separator Tube 3,248868659,Deviation? (Select all that apply),,,,,453343022,Deviation- Other,,,SST3 Dev - Oth,BioCol_Dev_v1r0_OtherSST3,,Num,1,104430631,0 = No,,Yes if yes to deviation for a specimen and no other deviation selected,No,Default no,,"Biospecimen Clinical, Biospecimen Research",No,Yes,9/7/23,Biospecimen Table Nesed structure: d_Tube/Bag/Object_d_248868659_d_453343022,,Added new variable.
767,767,,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,
768,768,819848608,Biospecimen,232343615,Serum Separator Tube 4,248868659,Deviation? (Select all that apply),,,,,453343022,Deviation- Other,,,SST4 Dev - Oth,BioCol_Dev_v1r0_OtherSST4,,Num,1,104430631,0 = No,,Yes if yes to deviation for a specimen and no other deviation selected,No,Default no,,"Biospecimen Clinical, Biospecimen Research",No,Yes,9/7/23,Biospecimen Table Nesed structure: d_Tube/Bag/Object_d_248868659_d_453343022,,Added new variable.
769,769,,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,
770,770,819848608,Biospecimen,589588440,Serum Separator Tube 5,248868659,Deviation? (Select all that apply),,,,,453343022,Deviation- Other,,,SST5 Dev - Oth,BioCol_Dev_v1r0_OtherSST5,,Num,1,104430631,0 = No,,Yes if yes to deviation for a specimen and no other deviation selected,No,Default no,,"Biospecimen Clinical, Biospecimen Research",No,Yes,9/7/23,Biospecimen Table Nesed structure: d_Tube/Bag/Object_d_248868659_d_453343022,,Added new variable.
771,771,,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,
772,772,819848608,Biospecimen,652357376,ACD Tube 1,248868659,Deviation? (Select all that apply),,,,,453343022,Deviation- Other,,,ACDT1 Dev - Oth,BioCol_Dev_v1r0_OtherACDT1,,Num,1,104430631,0 = No,,Yes if yes to deviation for a specimen and no other deviation selected,No,Default no,,"Biospecimen Clinical, Biospecimen Research",No,Yes,9/7/23,Biospecimen Table Nesed structure: d_Tube/Bag/Object_d_248868659_d_453343022,,Added new variable.
773,773,,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,
774,774,819848608,Biospecimen,505347689,STRECK Tube 1,248868659,Deviation? (Select all that apply),,,,,453343022,Deviation- Other,,,STRECKT1 Dev - Oth,BioCol_Dev_v1r0_OtherSTRT1,,Num,1,104430631,0 = No,,Yes if yes to deviation for a specimen and no other deviation selected,No,Default no,,"Biospecimen Clinical, Biospecimen Research",No,Yes,9/7/23,Biospecimen Table Nesed structure: d_Tube/Bag/Object_d_248868659_d_453343022,,Added new variable.
775,775,,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,
776,776,819848608,Biospecimen,973670172,Urine Tube 1,248868659,Deviation? (Select all that apply),,,,,453343022,Deviation- Other,,,UT1 Dev - Oth,BioCol_Dev_v1r0_OtherUT1,,Num,1,104430631,0 = No,,Yes if yes to deviation for a specimen and no other deviation selected,No,Default no,,"Biospecimen Clinical, Biospecimen Research",No,Yes,9/7/23,Biospecimen Table Nesed structure: d_Tube/Bag/Object_d_248868659_d_453343022,,Added new variable.
777,777,,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,
778,778,819848608,Biospecimen,143615646,Mouthwash Tube 1,248868659,Deviation? (Select all that apply),,,,,453343022,Deviation- Other,,,MWT1 Dev - Oth,BioCol_Dev_v1r0_OtherMWT1,,Num,1,104430631,0 = No,,Yes if yes to deviation for a specimen and no other deviation selected,No,Default no,,"Biospecimen Clinical, Biospecimen Research",No,Yes,9/7/23,Biospecimen Table Nesed structure: d_Tube/Bag/Object_d_248868659_d_453343022,,Added new variable.
779,779,,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,
780,780,819848608,Biospecimen,454453939,EDTA Tube 1,248868659,Deviation? (Select all that apply),,,,,453343022,Deviation- Other,,,EDTAT1 Dev - Oth,BioCol_Dev_v1r0_OtherEDTAT1,,Num,1,104430631,0 = No,,Yes if yes to deviation for a specimen and no other deviation selected,No,Default no,,"Biospecimen Clinical, Biospecimen Research",No,Yes,9/7/23,Biospecimen Table Nesed structure: d_Tube/Bag/Object_d_248868659_d_453343022,,Added new variable.
781,781,,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,
782,782,819848608,Biospecimen,677469051,EDTA Tube 2,248868659,Deviation? (Select all that apply),,,,,453343022,Deviation- Other,,,EDTAT2 Dev - Oth,BioCol_Dev_v1r0_OtherEDTAT2,,Num,1,104430631,0 = No,,Yes if yes to deviation for a specimen and no other deviation selected,No,Default no,,"Biospecimen Clinical, Biospecimen Research",No,Yes,9/7/23,Biospecimen Table Nesed structure: d_Tube/Bag/Object_d_248868659_d_453343022,,Added new variable.
783,783,,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,
784,784,819848608,Biospecimen,683613884,EDTA Tube 3,248868659,Deviation? (Select all that apply),,,,,453343022,Deviation- Other,,,EDTAT3 Dev - Oth,BioCol_Dev_v1r0_OtherEDTAT3,,Num,1,104430631,0 = No,,Yes if yes to deviation for a specimen and no other deviation selected,No,Default no,,"Biospecimen Clinical, Biospecimen Research",No,Yes,9/7/23,Biospecimen Table Nesed structure: d_Tube/Bag/Object_d_248868659_d_453343022,,Added new variable.
785,785,,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,
786,786,819848608,Biospecimen,838567176,Heparin Tube 1,248868659,Deviation? (Select all that apply),,,,,453343022,Deviation- Other,,,HT1 Dev - Oth,BioCol_Dev_v1r0_OtherHT1,,Num,1,104430631,0 = No,,Yes if yes to deviation for a specimen and no other deviation selected,No,Default no,,"Biospecimen Clinical, Biospecimen Research",No,Yes,9/7/23,Biospecimen Table Nesed structure: d_Tube/Bag/Object_d_248868659_d_453343022,,Added new variable.
787,787,,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,
788,788,819848608,Biospecimen,958646668,Heparin Tube 2,248868659,Deviation? (Select all that apply),,,,,453343022,Deviation- Other,,,HT2 Dev - Oth,BioCol_Dev_v1r0_OtherHT2,,Num,1,104430631,0 = No,,Yes if yes to deviation for a specimen and no other deviation selected,No,Default no,,"Biospecimen Clinical, Biospecimen Research",No,Yes,9/7/23,Biospecimen Table Nesed structure: d_Tube/Bag/Object_d_248868659_d_453343022,,Added new variable.
789,789,,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,
790,790,819848608,Biospecimen,299553921,Serum Separator Tube 1,,,,,,,762124027,Discard Flag,,,SST1 Discard flag,BioCol_Discard_v1r0_SST1,,Num,1,104430631,0 = No,,Autoflag as yes if Deviation-broken equals YES,No,"Default is no, Autoflag as yes if CID 472864016, 956345366, 810960823, OR 684617815 = YES",,"Biospecimen Clinical, Biospecimen Research",No,Yes,9/7/23,Biospecimen Table Nested structure: d_Tube/Bag/Object_d_762124027,,"Updated Variable Name from BioCol_Discard_v1r0 to BioCol_Discard_v1r0_SST1. Updated Variable Label, Secondary Source and CID."
791,791,,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,
792,792,819848608,Biospecimen,703954371,Serum Separator Tube 2,,,,,,,762124027,Discard Flag,,,SST2 Discard flag,BioCol_Discard_v1r0_SST2,,Num,1,104430631,0 = No,,Yes if Deviation-broken equals YES,No,"Default is no, Autoflag as yes if CID 472864016, 956345366, 810960823, OR 684617815 = YES",,"Biospecimen Clinical, Biospecimen Research",No,Yes,9/7/23,Biospecimen Table Nested structure: d_Tube/Bag/Object_d_762124027,,Added new Variable
793,793,,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,
794,794,819848608,Biospecimen,376960806,Serum Separator Tube 3,,,,,,,762124027,Discard Flag,,,SST3 Discard flag,BioCol_Discard_v1r0_SST3,,Num,1,104430631,0 = No,,Yes if Deviation-broken equals YES,No,"Default is no, Autoflag as yes if CID 472864016, 956345366, 810960823, OR 684617815 = YES",,"Biospecimen Clinical, Biospecimen Research",No,Yes,9/7/23,Biospecimen Table Nested structure: d_Tube/Bag/Object_d_762124027,,Added new variable.
795,795,,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,
796,796,819848608,Biospecimen,232343615,Serum Separator Tube 4,,,,,,,762124027,Discard Flag,,,SST4 Discard flag,BioCol_Discard_v1r0_SST4,,Num,1,104430631,0 = No,,Yes if Deviation-broken equals YES,No,"Default is no, Autoflag as yes if CID 472864016, 956345366, 810960823, OR 684617815 = YES",,"Biospecimen Clinical, Biospecimen Research",No,Yes,9/7/23,Biospecimen Table Nested structure: d_Tube/Bag/Object_d_762124027,,Added new variable.
797,797,,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,
798,798,819848608,Biospecimen,589588440,Serum Separator Tube 5,,,,,,,762124027,Discard Flag,,,SST5 Discard flag,BioCol_Discard_v1r0_SST5,,Num,1,104430631,0 = No,,Yes if Deviation-broken equals YES,No,"Default is no, Autoflag as yes if CID 472864016, 956345366, 810960823, OR 684617815 = YES",,"Biospecimen Clinical, Biospecimen Research",No,Yes,9/7/23,Biospecimen Table Nested structure: d_Tube/Bag/Object_d_762124027,,Added new variable.
799,799,,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,
800,800,819848608,Biospecimen,652357376,ACD Tube 1,,,,,,,762124027,Discard Flag,,,ACDT1 Discard flag,BioCol_Discard_v1r0_ACDT1,,Num,1,104430631,0 = No,,Yes if Deviation-broken equals YES,No,"Default is no, Autoflag as yes if CID 472864016, 956345366, 810960823, OR 684617815 = YES",,"Biospecimen Clinical, Biospecimen Research",No,Yes,9/7/23,Biospecimen Table Nested structure: d_Tube/Bag/Object_d_762124027,,Added new variable.
801,801,,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,
802,802,819848608,Biospecimen,505347689,STRECK Tube 1,,,,,,,762124027,Discard Flag,,,STRECKT1 Discard flag,BioCol_Discard_v1r0_STRT1,,Num,1,104430631,0 = No,,Yes if Deviation-broken equals YES,No,"Default is no, Autoflag as yes if CID 472864016, 956345366, 810960823, OR 684617815 = YES",,"Biospecimen Clinical, Biospecimen Research",No,Yes,9/7/23,Biospecimen Table Nested structure: d_Tube/Bag/Object_d_762124027,,Added new variable.
803,803,,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,
804,804,819848608,Biospecimen,973670172,Urine Tube 1,,,,,,,762124027,Discard Flag,,,UT1 Discard flag,BioCol_Discard_v1r0_UT1,,Num,1,104430631,0 = No,,Yes if Deviation-broken equals YES,No,"Default is no, Autoflag as yes if CID 472864016, 956345366, 810960823, OR 684617815 = YES",,"Biospecimen Clinical, Biospecimen Research",No,Yes,9/7/23,Biospecimen Table Nested structure: d_Tube/Bag/Object_d_762124027,,Added new variable.
805,805,,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,
806,806,819848608,Biospecimen,143615646,Mouthwash Tube 1,,,,,,,762124027,Discard Flag,,,MWT1 Discard flag,BioCol_Discard_v1r0_MWT1,,Num,1,104430631,0 = No,,Yes if Deviation-broken equals YES,No,"Default is no, Autoflag as yes if CID 472864016, 956345366, 810960823, OR 684617815 = YES",,"Biospecimen Clinical, Biospecimen Research",No,Yes,9/7/23,Biospecimen Table Nested structure: d_Tube/Bag/Object_d_762124027,,Added new variable.
807,807,,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,
808,808,819848608,Biospecimen,454453939,EDTA Tube 1,,,,,,,762124027,Discard Flag,,,EDTAT1 Discard flag,BioCol_Discard_v1r0_EDTAT1,,Num,1,104430631,0 = No,,Yes if Deviation-broken equals YES,No,"Default is no, Autoflag as yes if CID 472864016, 956345366, 810960823, OR 684617815 = YES",,"Biospecimen Clinical, Biospecimen Research",No,Yes,9/7/23,Biospecimen Table Nested structure: d_Tube/Bag/Object_d_762124027,,Added new variable.
809,809,,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,
810,810,819848608,Biospecimen,677469051,EDTA Tube 2,,,,,,,762124027,Discard Flag,,,EDTAT2 Discard flag,BioCol_Discard_v1r0_EDTAT2,,Num,1,104430631,0 = No,,Yes if Deviation-broken equals YES,No,"Default is no, Autoflag as yes if CID 472864016, 956345366, 810960823, OR 684617815 = YES",,"Biospecimen Clinical, Biospecimen Research",No,Yes,9/7/23,Biospecimen Table Nested structure: d_Tube/Bag/Object_d_762124027,,Added new variable.
811,811,,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,
812,812,819848608,Biospecimen,683613884,EDTA Tube 3,,,,,,,762124027,Discard Flag,,,EDTAT3 Discard flag,BioCol_Discard_v1r0_EDTAT3,,Num,1,104430631,0 = No,,Yes if Deviation-broken equals YES,No,"Default is no, Autoflag as yes if CID 472864016, 956345366, 810960823, OR 684617815 = YES",,"Biospecimen Clinical, Biospecimen Research",No,Yes,9/7/23,Biospecimen Table Nested structure: d_Tube/Bag/Object_d_762124027,,Added new variable.
813,813,,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,
814,814,819848608,Biospecimen,838567176,Heparin Tube 1,,,,,,,762124027,Discard Flag,,,HT1 Discard flag,BioCol_Discard_v1r0_HT1,,Num,1,104430631,0 = No,,Yes if Deviation-broken equals YES,No,"Default is no, Autoflag as yes if CID 472864016, 956345366, 810960823, OR 684617815 = YES",,"Biospecimen Clinical, Biospecimen Research",No,Yes,9/7/23,Biospecimen Table Nested structure: d_Tube/Bag/Object_d_762124027,,Added new variable.
815,815,,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,
816,816,819848608,Biospecimen,958646668,Heparin Tube 2,,,,,,,762124027,Discard Flag,,,HT2 Discard flag,BioCol_Discard_v1r0_HT2,,Num,1,104430631,0 = No,,Yes if Deviation-broken equals YES,No,"Default is no, Autoflag as yes if CID 472864016, 956345366, 810960823, OR 684617815 = YES",,"Biospecimen Clinical, Biospecimen Research",No,Yes,9/7/23,Biospecimen Table Nested structure: d_Tube/Bag/Object_d_762124027,,Added new variable.
817,817,,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,
818,818,819848608,Biospecimen,299553921,Serum Separator Tube 1,,,,,,,338286049,Not Collected - Details (Optional),,,SST1 Not Collected Details,BioCol_NCDets_v1r0_SST1,,Char,800,,N/A,,No,No,"As long as PII isn't included in the notes, do we need to screen for this?",,"Biospecimen Clinical, Biospecimen Research",No,No,9/7/23,Biospecimen Table Nested structure: d_Tube/Bag/Object_d_338286049,,"Updated Variable Name from BioCol_NCDets_v1r0 to BioCol_NCDets_v1r0_SST1. Updated Variable Label, Secondary Source and CID."
819,819,819848608,Biospecimen,703954371,Serum Separator Tube 2,,,,,,,338286049,Not Collected - Details (Optional),,,SST2 Not Collected Details,BioCol_NCDets_v1r0_SST2,,Char,800,,N/A,,No,No,"As long as PII isn't included in the notes, do we need to screen for this?",,"Biospecimen Clinical, Biospecimen Research",No,No,9/7/23,Biospecimen Table Nested structure: d_Tube/Bag/Object_d_338286049,,Added new Variable
820,820,819848608,Biospecimen,376960806,Serum Separator Tube 3,,,,,,,338286049,Not Collected - Details (Optional),,,SST3 Not Collected Details,BioCol_NCDets_v1r0_SST3,,Char,800,,N/A,,No,No,"As long as PII isn't included in the notes, do we need to screen for this?",,"Biospecimen Clinical, Biospecimen Research",No,No,9/7/23,Biospecimen Table Nested structure: d_Tube/Bag/Object_d_338286049,,Added new variable.
821,821,819848608,Biospecimen,232343615,Serum Separator Tube 4,,,,,,,338286049,Not Collected - Details (Optional),,,SST4 Not Collected Details,BioCol_NCDets_v1r0_SST4,,Char,800,,N/A,,No,No,"As long as PII isn't included in the notes, do we need to screen for this?",,"Biospecimen Clinical, Biospecimen Research",No,No,9/7/23,Biospecimen Table Nested structure: d_Tube/Bag/Object_d_338286049,,Added new variable.
822,822,819848608,Biospecimen,589588440,Serum Separator Tube 5,,,,,,,338286049,Not Collected - Details (Optional),,,SST5 Not Collected Details,BioCol_NCDets_v1r0_SST5,,Char,800,,N/A,,No,No,"As long as PII isn't included in the notes, do we need to screen for this?",,"Biospecimen Clinical, Biospecimen Research",No,No,9/7/23,Biospecimen Table Nested structure: d_Tube/Bag/Object_d_338286049,,Added new variable.
823,823,819848608,Biospecimen,652357376,ACD Tube 1,,,,,,,338286049,Not Collected - Details (Optional),,,ACDT1 Not Collected Details,BioCol_NCDets_v1r0_ACDT1,,Char,800,,N/A,,No,No,"As long as PII isn't included in the notes, do we need to screen for this?",,"Biospecimen Clinical, Biospecimen Research",No,No,9/7/23,Biospecimen Table Nested structure: d_Tube/Bag/Object_d_338286049,,Added new variable.
824,824,819848608,Biospecimen,505347689,STRECK Tube 1,,,,,,,338286049,Not Collected - Details (Optional),,,STRECKT1 Not Collected Details,BioCol_NCDets_v1r0_STRT1,,Char,800,,N/A,,No,No,"As long as PII isn't included in the notes, do we need to screen for this?",,"Biospecimen Clinical, Biospecimen Research",No,No,9/7/23,Biospecimen Table Nested structure: d_Tube/Bag/Object_d_338286049,,Added new variable.
825,825,819848608,Biospecimen,973670172,Urine Tube 1,,,,,,,338286049,Not Collected - Details (Optional),,,UT1 Not Collected Details,BioCol_NCDets_v1r0_UT1,,Char,800,,N/A,,No,No,"As long as PII isn't included in the notes, do we need to screen for this?",,"Biospecimen Clinical, Biospecimen Research",No,No,9/7/23,Biospecimen Table Nested structure: d_Tube/Bag/Object_d_338286049,,Added new variable.
826,826,819848608,Biospecimen,143615646,Mouthwash Tube 1,,,,,,,338286049,Not Collected - Details (Optional),,,MWT1 Not Collected Details,BioCol_NCDets_v1r0_MWT1,,Char,800,,N/A,,No,No,"As long as PII isn't included in the notes, do we need to screen for this?",,"Biospecimen Clinical, Biospecimen Research",No,No,9/7/23,Biospecimen Table Nested structure: d_Tube/Bag/Object_d_338286049,,Added new variable.
827,827,819848608,Biospecimen,454453939,EDTA Tube 1,,,,,,,338286049,Not Collected - Details (Optional),,,EDTAT1 Not Collected Details,BioCol_NCDets_v1r0_EDTAT1,,,,,,,,,,,,,,,,,
828,828,819848608,Biospecimen,677469051,EDTA Tube 2,,,,,,,338286049,Not Collected - Details (Optional),,,EDTAT2 Not Collected Details,BioCol_NCDets_v1r0_EDTAT2,,,,,,,,,,,,,,,,,
829,829,819848608,Biospecimen,683613884,EDTA Tube 3,,,,,,,338286049,Not Collected - Details (Optional),,,EDTAT3 Not Collected Details,BioCol_NCDets_v1r0_EDTAT3,,,,,,,,,,,,,,,,,
830,830,819848608,Biospecimen,838567176,Heparin Tube 1,,,,,,,338286049,Not Collected - Details (Optional),,,HT1 Not Collected Details,BioCol_NCDets_v1r0_HT1,,,,,,,,,,,,,,,,,
831,831,819848608,Biospecimen,958646668,Heparin Tube 2,,,,,,,338286049,Not Collected - Details (Optional),,,HT2 Not Collected Details,BioCol_NCDets_v1r0_HT2,,,,,,,,,,,,,,,,,
832,832,819848608,Biospecimen,173836415,Collection Details,266600170,0 = Baseline,,,,,561681068,Autogenerated date/time stamp for research collection of blood sample,,,BL D/T Rsrch Blood Collected,BioFin_ResearchBldTmBL_v1r0,,ISO,24,,example: 2020-07-17T15:21:26.763Z,,Yes if BioFin_BaseBloodCol_v1r0 equals 1,No,"ISO to be converted to SAS format. Nested under Collection Environment. Set by us for research, not used for Clinical.",,"Biospecimen Clinical, Biospecimen Research, Study Manager Data Dictionary",No,No,9/7/23,"Participants Table Nested structure: d_173836415_d_266600170_d_561681068 (2nd CID will change depending on BL/F-U1,2,3)",,Updated Secondary Source to Collection Details and Variable name BioFin_ResearchBldTime_v1r0 with BioFin_ResearchBldTmBL_v1r0
833,833,819848608,Biospecimen,173836415,Collection Details,496823485,1 = Follow-up 1,,,,,561681068,Autogenerated date/time stamp for research collection of blood sample,,,F1 D/T Rsrch Blood Collected,BioFin_ResearchBldTmF1_v1r0,,ISO,24,,example: 2020-07-17T15:21:26.763Z,,Yes if BioFin_BaseBloodCol_v1r0 equals 1,No,"ISO to be converted to SAS format. Nested under Collection Environment. Set by us for research, not used for Clinical.",,"Biospecimen Clinical, Biospecimen Research, Study Manager Data Dictionary",No,No,9/7/23,"Participants Table Nested structure: d_173836415_d_266600170_d_561681068 (2nd CID will change depending on BL/F-U1,2,3)",,Added new variable.
834,834,819848608,Biospecimen,173836415,Collection Details,650465111,2 = Follow-up 2,,,,,561681068,Autogenerated date/time stamp for research collection of blood sample,,,F2 D/T Rsrch Blood Collected,BioFin_ResearchBldTmF2_v1r0,,ISO,24,,example: 2020-07-17T15:21:26.763Z,,Yes if BioFin_BaseBloodCol_v1r0 equals 1,No,"ISO to be converted to SAS format. Nested under Collection Environment. Set by us for research, not used for Clinical.",,"Biospecimen Clinical, Biospecimen Research, Study Manager Data Dictionary",No,No,9/7/23,"Participants Table Nested structure: d_173836415_d_266600170_d_561681068 (2nd CID will change depending on BL/F-U1,2,3)",,Added new variable.
835,835,819848608,Biospecimen,173836415,Collection Details,303552867,3 = Follow-up 3,,,,,561681068,Autogenerated date/time stamp for research collection of blood sample,,,F3 D/T Rsrch Blood Collected,BioFin_ResearchBldTmF3_v1r0,,ISO,24,,example: 2020-07-17T15:21:26.763Z,,Yes if BioFin_BaseBloodCol_v1r0 equals 1,No,"ISO to be converted to SAS format. Nested under Collection Environment. Set by us for research, not used for Clinical.",,"Biospecimen Clinical, Biospecimen Research, Study Manager Data Dictionary",No,No,9/7/23,"Participants Table Nested structure: d_173836415_d_266600170_d_561681068 (2nd CID will change depending on BL/F-U1,2,3)",,Added new variable.
836,836,819848608,Biospecimen,173836415,Collection Details,266600170,0 = Baseline,,,,,982213346,Date/time stamp sent by the site for clinical collection of blood sample,,,BL D/T Clin Blood Collection,BioClin_ClinBloodTmBL_v1r0,,ISO,24,,example: 2020-07-17T15:21:26.763Z,,Yes if BioFin_BaseBloodCol_v1r0 equals 1,No,"Set by us for research; for clinical- from site EMR, sent to NCI via API.",,"Biospecimen Clinical, Biospecimen Research, Study Manager Data Dictionary",No,No,3/21/24,"Participants Table Nested structure: d_173836415_d_266600170_d_982213346 (2nd CID will change depending on BL/F-U1,2,3)",,Updated Secondary Source to Collection Details and Variable name BioClin_ClinBloodTime_v1r0 with BioClin_ClinBloodTmBL_v1r0
837,837,819848608,Biospecimen,173836415,Collection Details,496823485,1 = Follow-up 1,,,,,982213346,Date/time stamp sent by the site for clinical collection of blood sample,,,F1 D/T Clin Blood Collection,BioClin_ClinBloodTmF1_v1r0,,ISO,24,,example: 2020-07-17T15:21:26.763Z,,Yes if BioFin_BaseBloodCol_v1r0 equals 1,No,"Set by us for research; for clinical- from site EMR, sent to NCI via API.",,"Biospecimen Clinical, Biospecimen Research, Study Manager Data Dictionary",No,No,3/21/24,"Participants Table Nested structure: d_173836415_d_266600170_d_982213346 (2nd CID will change depending on BL/F-U1,2,3)",,Added new variable.
838,838,819848608,Biospecimen,173836415,Collection Details,650465111,2 = Follow-up 2,,,,,982213346,Date/time stamp sent by the site for clinical collection of blood sample,,,F2 D/T Clin Blood Collection,BioClin_ClinBloodTmF2_v1r0,,ISO,24,,example: 2020-07-17T15:21:26.763Z,,Yes if BioFin_BaseBloodCol_v1r0 equals 1,No,"Set by us for research; for clinical- from site EMR, sent to NCI via API.",,"Biospecimen Clinical, Biospecimen Research, Study Manager Data Dictionary",No,No,3/21/24,"Participants Table Nested structure: d_173836415_d_266600170_d_982213346 (2nd CID will change depending on BL/F-U1,2,3)",,Added new variable.
839,839,819848608,Biospecimen,173836415,Collection Details,303552867,3 = Follow-up 3,,,,,982213346,Date/time stamp sent by the site for clinical collection of blood sample,,,F3 D/T Clin Blood Collection,BioClin_ClinBloodTmF3_v1r0,,ISO,24,,example: 2020-07-17T15:21:26.763Z,,Yes if BioFin_BaseBloodCol_v1r0 equals 1,No,"Set by us for research; for clinical- from site EMR, sent to NCI via API.",,"Biospecimen Clinical, Biospecimen Research, Study Manager Data Dictionary",No,No,3/21/24,"Participants Table Nested structure: d_173836415_d_266600170_d_982213346 (2nd CID will change depending on BL/F-U1,2,3)",,Added new variable.
